Time [yyyy-MM-dd HH:mm:ss],Discharge at (Waal2_A_ 3377_91) [m³/s],Discharge at (Waal2_B_A_A_A_ 6036_293) [m³/s],Discharge at (Waal2_B_A_A_B_ 2057_629) [m³/s],Discharge at (Waal2_B_A_B_A_ 2772_111) [m³/s],Discharge at (Waal3_A_ 345_8185) [m³/s],Discharge at (Waal3_B_A_ 837_949) [m³/s]
1999-12-27 00:00:00,4277_4,4277_7,4277_8,4253_8,4254,4254_1
1999-12-27 01:00:00,1167_8,1067_2,1058,1082_2,1106,1114_3
1999-12-27 02:00:00,1225,1187_6,1177_9,1160_5,1154_1,1151_9
1999-12-27 03:00:00,1330_1,1250,1231_8,1202_1,1187,1181_2
1999-12-27 04:00:00,1514_7,1372_6,1336_4,1279_2,1246_3,1233_4
1999-12-27 05:00:00,1732_1,1546,1493_1,1405_5,1351,1328_9
1999-12-27 06:00:00,1980_4,1754_2,1685_7,1569_1,1494_2,1463_4
1999-12-27 07:00:00,2217_8,1974_3,1896_6,1758_6,1668,1630
1999-12-27 08:00:00,2427_5,2185_3,2104_6,1955_3,1856_1,1813_7
1999-12-27 09:00:00,2603_5,2372_2,2292_8,2141_1,2040_2,1996_4
1999-12-27 10:00:00,2750_1,2533_4,2457_6,2308_3,2210_3,2167_3
1999-12-27 11:00:00,2870_9,2670_3,2599_6,2455_5,2363_2,2322_6
1999-12-27 12:00:00,2969,2785_5,2720_8,2583_2,2497_9,2460_2
1999-12-27 13:00:00,3051_2,2883_8,2825_4,2694_4,2616_6,2582_4
1999-12-27 14:00:00,3119_1,2965_1,2912_1,2787_3,2716_5,2685_2
1999-12-27 15:00:00,3178_8,3036_6,2988,2869_1,2804_5,2775_9
1999-12-27 16:00:00,3230_3,3099_3,3054_7,2941_3,2882_1,2856_1
1999-12-27 17:00:00,3274_7,3154_2,3113_3,3005_3,2950_9,2927_1
1999-12-27 18:00:00,3313_4,3202_8,3165_5,3063,3011_5,2990
1999-12-27 19:00:00,3347_1,3245_7,3211_6,3113_7,3064_2,3044_4
1999-12-27 20:00:00,3376_9,3283_3,3251_9,3158_3,3110_5,3092_4
1999-12-27 21:00:00,3403_2,3316_8,3287_9,3198_4,3152_7,3136_1
1999-12-27 22:00:00,3426_6,3346_3,3319_8,3234_2,3190_7,3175_5
1999-12-27 23:00:00,3447_6,3372_8,3348_4,3266_4,3225_1,3211_3
1999-12-28 00:00:00,3466_9,3396_9,3374_5,3295_7,3256_7,3244
1999-12-28 01:00:00,3484_9,3418_5,3397_8,3322_2,3285_5,3273_8
1999-12-28 02:00:00,3501_1,3438_4,3419_4,3346_7,3312_3,3300_8
1999-12-28 03:00:00,3515_5,3456_8,3439_3,3369_1,3336_9,3325_6
1999-12-28 04:00:00,3528_7,3473_8,3457_6,3389_7,3359_4,3348_2
1999-12-28 05:00:00,3540_7,3489_2,3474_1,3408_1,3380,3368_8
1999-12-28 06:00:00,3551_6,3503_3,3489_3,3425_2,3398_9,3387_9
1999-12-28 07:00:00,3561_5,3516_2,3503_2,3440_8,3416_4,3405_4
1999-12-28 08:00:00,3570_6,3528_1,3516,3455_1,3432_2,3421_4
1999-12-28 09:00:00,3579,3538_8,3527_5,3468_5,3447_1,3436_3
1999-12-28 10:00:00,3586_7,3548_7,3538,3481_2,3461_1,3450_5
1999-12-28 11:00:00,3593_9,3558,3547_9,3493,3474_2,3463_9
1999-12-28 12:00:00,3600_7,3566_9,3557_5,3504_5,3485_9,3476
1999-12-28 13:00:00,3607_2,3575_4,3566_5,3515_3,3496_8,3487_3
1999-12-28 14:00:00,3613_4,3583_3,3575,3525_3,3507_1,3497_8
1999-12-28 15:00:00,3619_1,3590_7,3582_9,3534_5,3516_6,3507_8
1999-12-28 16:00:00,3624_5,3597_7,3590_3,3543,3525_5,3517_1
1999-12-28 17:00:00,3629_5,3604_2,3597_2,3551,3533_9,3525_9
1999-12-28 18:00:00,3634_1,3610_2,3603_7,3558_5,3541_9,3534_3
1999-12-28 19:00:00,3638_4,3615_9,3609_8,3565_6,3549_6,3542_4
1999-12-28 20:00:00,3642_6,3621_6,3615_8,3572_8,3556_7,3549_9
1999-12-28 21:00:00,3646_7,3627,3621_7,3579_6,3563_4,3557_1
1999-12-28 22:00:00,3650_6,3632_2,3627_2,3585_9,3569_8,3563_9
1999-12-28 23:00:00,3654_3,3637,3632_3,3591_8,3576_1,3570_5
1999-12-29 00:00:00,3657_7,3641_4,3637,3597_2,3582_3,3576_9
1999-12-29 01:00:00,3660_9,3645_6,3641_4,3602_3,3588_1,3583_1
1999-12-29 02:00:00,3663_9,3649_5,3645_5,3607,3593_6,3588_9
1999-12-29 03:00:00,3666_7,3653_1,3649_4,3611_5,3598_8,3594_4
1999-12-29 04:00:00,3669_3,3656_6,3653_1,3615_8,3603_8,3599_6
1999-12-29 05:00:00,3671_8,3659_8,3656_6,3619_7,3608_4,3604_4
1999-12-29 06:00:00,3674_2,3662_9,3659_8,3623_4,3612_7,3609
1999-12-29 07:00:00,3676_4,3665_7,3662_8,3626_9,3616_8,3613_3
1999-12-29 08:00:00,3678_5,3668_4,3665_6,3630_2,3620_6,3617_3
1999-12-29 09:00:00,3680_4,3670_9,3668_3,3633_2,3624_1,3621
1999-12-29 10:00:00,3682_3,3673_2,3670_8,3635_9,3627_4,3624_5
1999-12-29 11:00:00,3684,3675_4,3673_1,3638_5,3630_5,3627_7
1999-12-29 12:00:00,3685_6,3677_5,3675_3,3640_9,3633_3,3630_7
1999-12-29 13:00:00,3687_1,3679_4,3677_3,3643_1,3636,3633_5
1999-12-29 14:00:00,3688_5,3681_2,3679_2,3645_3,3638_5,3636_2
1999-12-29 15:00:00,3689_8,3682_9,3681,3647_3,3640_9,3638_7
1999-12-29 16:00:00,3691_1,3684_5,3682_7,3649_2,3643_2,3641_1
1999-12-29 17:00:00,3692_2,3686,3684_3,3651,3645_3,3643_3
1999-12-29 18:00:00,3693_3,3687_4,3685_8,3652_7,3647_3,3645_4
1999-12-29 19:00:00,3694_4,3688_7,3687_2,3654_3,3649_2,3647_4
1999-12-29 20:00:00,3695_3,3689_9,3688_5,3655_8,3651,3649_3
1999-12-29 21:00:00,3696_3,3691_1,3689_7,3657_3,3652_7,3651_1
1999-12-29 22:00:00,3697_1,3692_2,3690_9,3658_6,3654_3,3652_8
1999-12-29 23:00:00,3697_9,3693_3,3692_1,3660,3655_8,3654_4
1999-12-30 00:00:00,3698_7,3694_3,3693_1,3661_2,3657_3,3655_9
1999-12-30 01:00:00,3699_4,3695_2,3694_1,3662_3,3658_6,3657_4
1999-12-30 02:00:00,3700_1,3696_1,3695_1,3663_4,3659_9,3658_7
1999-12-30 03:00:00,3700_7,3697,3696,3664_5,3661_2,3660
1999-12-30 04:00:00,3701_3,3697_8,3696_8,3665_5,3662_3,3661_2
1999-12-30 05:00:00,3701_9,3698_5,3697_6,3666_4,3663_4,3662_4
1999-12-30 06:00:00,3702_4,3699_2,3698_3,3667_3,3664_5,3663_5
1999-12-30 07:00:00,3703,3699_9,3699_1,3668_1,3665_5,3664_6
1999-12-30 08:00:00,3703_4,3700_5,3699_7,3668_9,3666_5,3665_6
1999-12-30 09:00:00,3703_9,3701_1,3700_4,3669_7,3667_4,3666_6
1999-12-30 10:00:00,3704_3,3701_7,3701,3670_4,3668_3,3667_5
1999-12-30 11:00:00,3704_7,3702_3,3702_5,3790_5,3525_7,3654_4
1999-12-30 12:00:00,3714_6,3709,3706_9,3673_1,3669_1,3666_8
1999-12-30 13:00:00,3708_1,3704,3702_9,3671_3,3669_3,3668_1
1999-12-30 14:00:00,3707,3703_9,3703_1,3672_1,3670_6,3669_6
1999-12-30 15:00:00,3706_6,3704,3703_3,3672_7,3671_3,3670_5
1999-12-30 16:00:00,3706_7,3704_3,3703_6,3673_3,3672_1,3671_3
1999-12-30 17:00:00,3706_8,3704_6,3704,3673_8,3672_7,3672_1
1999-12-30 18:00:00,3707,3705,3704_4,3674_4,3673_4,3672_8
1999-12-30 19:00:00,3707_2,3705_3,3704_8,3674_9,3674,3673_4
1999-12-30 20:00:00,3707_4,3705_7,3705_2,3675_4,3674_5,3674
1999-12-30 21:00:00,3707_7,3706,3705_6,3675_8,3675,3674_6
1999-12-30 22:00:00,3707_9,3706_4,3705_9,3676_3,3675_5,3675_1
1999-12-30 23:00:00,3708_1,3706_7,3706_3,3676_7,3676,3675_6
1999-12-31 00:00:00,3708_3,3707,3706_6,3677_1,3676_4,3676
1999-12-31 01:00:00,3708_5,3707_3,3706_9,3677_5,3676_8,3676_5
1999-12-31 02:00:00,3708_7,3707_5,3707_2,3677_8,3677_2,3676_9
1999-12-31 03:00:00,3708_9,3707_8,3707_5,3678_2,3677_6,3677_3
1999-12-31 04:00:00,3709_1,3708,3707_7,3678_5,3678,3677_6
1999-12-31 05:00:00,3709_3,3708_3,3708,3678_8,3678_3,3678
1999-12-31 06:00:00,3709_4,3708_5,3708_2,3679_1,3678_6,3678_3
1999-12-31 07:00:00,3709_6,3708_7,3708_4,3679_3,3678_9,3678_6
1999-12-31 08:00:00,3709_7,3708_9,3708_7,3679_6,3679_2,3678_9
1999-12-31 09:00:00,3709_9,3709_1,3708_9,3679_8,3679_4,3679_2
1999-12-31 10:00:00,3710,3709_3,3709,3680_1,3679_7,3679_5
1999-12-31 11:00:00,3710_2,3709_4,3709_2,3680_3,3679_9,3679_7
1999-12-31 12:00:00,3710_3,3709_6,3709_4,3680_5,3680_2,3680
1999-12-31 13:00:00,3710_4,3709_7,3709_6,3680_7,3680_4,3680_2
1999-12-31 14:00:00,3710_5,3709_9,3709_7,3680_9,3680_6,3680_4
1999-12-31 15:00:00,3710_6,3710,3709_9,3681,3680_8,3680_6
1999-12-31 16:00:00,3710_7,3710_2,3710,3681_2,3680_9,3680_8
1999-12-31 17:00:00,3710_8,3710_3,3710_1,3681_4,3681_1,3681
1999-12-31 18:00:00,3710_9,3710_4,3710_3,3681_5,3681_3,3681_1
1999-12-31 19:00:00,3711,3710_5,3710_4,3681_7,3681_4,3681_3
1999-12-31 20:00:00,3711_1,3710_6,3710_5,3681_8,3681_6,3681_5
1999-12-31 21:00:00,3711_1,3710_7,3710_6,3681_9,3681_7,3681_6
1999-12-31 22:00:00,3711_2,3710_8,3710_7,3682,3681_9,3681_7
1999-12-31 23:00:00,3711_3,3710_9,3710_8,3682_2,3682,3681_9
2000-01-01 00:00:00,3711_3,3711,3710_9,3682_3,3682_1,3682
2000-01-01 01:00:00,3711_4,3711_1,3711,3682_4,3682_2,3682_1
2000-01-01 02:00:00,3711_6,3711_2,3711_1,3682_5,3682_3,3682_2
2000-01-01 03:00:00,3711_7,3711_4,3711_3,3682_7,3682_5,3682_4
2000-01-01 04:00:00,3711_8,3711_5,3711_4,3682_8,3682_6,3682_5
2000-01-01 05:00:00,3711_8,3711_5,3711_5,3682_9,3682_8,3682_7
2000-01-01 06:00:00,3711_5,3711_4,3711_3,3682_9,3682_8,3682_7
2000-01-01 07:00:00,3710_8,3711,3711,3682_7,3682_6,3682_6
2000-01-01 08:00:00,3710,3710_4,3710_5,3682_3,3682_3,3682_4
2000-01-01 09:00:00,3708_8,3709_5,3709_7,3681_7,3681_9,3682
