Time [yyyy-MM-dd HH:mm:ss],Discharge at (Waal3_B_B_A_A_ 14673_47) [m³/s],Discharge at (Waal3_B_B_A_B_ 652_328) [m³/s],Discharge at (Waal4_A_B_ 2030_25) [m³/s],Discharge at (Waal5_A_ 4828_75) [m³/s],Discharge at (Waal5_B_A_ 5170_071) [m³/s],Discharge at (Waal5_B_B_A_B_ 5965_607) [m³/s],Discharge at (Waal5_B_B_B_A_ 5201_176) [m³/s],Discharge at (Waal6_B_A_ 792_782) [m³/s],Discharge at (Waal6_B_B_A_ 730_4595) [m³/s],Discharge at (Waal6_A_ 2392_345) [m³/s],Discharge at (Waal6_B_B_B_A_ 239_5765) [m³/s],Discharge at (Waal6_B_B_B_B_A_ 1661_122) [m³/s]
1999-12-27 00:00:00,4254_4,4254_6,3096_4,3096_7,3096_8,3096_9,3097,3097_2,3097_3,3097_2,3097_3,3100_6
1999-12-27 01:00:00,1179_1,1167_9,940_83,534_93,252_83,33_402,-284_32,-3525_5,-3760_3,-3128_8,-3862_1,-4056_3
1999-12-27 02:00:00,1155_9,1154_1,989_57,608_93,394_02,-296_17,-1685_7,-2808_5,-2876_2,-2699_6,-2905_7,-2960_5
1999-12-27 03:00:00,1140_5,1136_4,1009_5,708_05,467_36,-1022,-1614,-2057_1,-2091_9,-2006_7,-2108_1,-2141_1
1999-12-27 04:00:00,1143_6,1137_7,1022_9,713_32,102_18,-910_92,-1185_8,-1336_9,-1347_3,-1321_6,-1352_1,-1360_4
1999-12-27 05:00:00,1167,1158_1,1036_5,617_88,188_26,-422_5,-626_21,-741_26,-749_48,-729_37,-753_29,-759_52
1999-12-27 06:00:00,1217_6,1204,1046_6,708_92,527_46,371_12,322_94,245_19,223_8,263_81,208_98,139_87
1999-12-27 07:00:00,1296_7,1277_1,1064_6,825_74,735_71,617_4,539_2,455_52,444_83,467_98,438_94,421_79
1999-12-27 08:00:00,1404_4,1378_4,1105_9,890_1,802_19,688_67,633_72,571_21,561_98,581_55,556_79,541_38
1999-12-27 09:00:00,1535_7,1503_9,1169_5,944_56,864_55,763_38,715_4,662_38,654_66,671_05,650_33,637_89
1999-12-27 10:00:00,1681_1,1645_3,1253_8,1005_6,927_26,831_89,788_12,741,734_23,748_62,730_44,719_87
1999-12-27 11:00:00,1830_4,1792_2,1356,1077,995_31,899_36,856_98,812_65,806_36,819_74,802_85,793_25
1999-12-27 12:00:00,1979_7,1940_8,1470_8,1161,1072_2,970_28,926_69,882_29,876_07,889_33,872_61,863_19
1999-12-27 13:00:00,2125_2,2086_9,1599_2,1257_5,1159_6,1048,1001,954_12,947_62,961_48,944_01,934_12
1999-12-27 14:00:00,2255_9,2219_2,1732_4,1364_3,1256_5,1133_2,1081_6,1030_6,1023_6,1038_6,1019_7,1008_9
1999-12-27 15:00:00,2375_8,2341,1866_7,1480_4,1363_2,1227_4,1169_9,1113_8,1106_1,1122_4,1101_8,1089_9
1999-12-27 16:00:00,2484_1,2451_7,1997_1,1605,1479_1,1330_4,1266_3,1204_3,1195_9,1213_8,1191_2,1177_9
1999-12-27 17:00:00,2581_6,2551_4,2119_1,1733_4,1601_7,1441_8,1371,1302_7,1293_5,1313_1,1288_4,1273_6
1999-12-27 18:00:00,2668_3,2640_2,2233_2,1860_3,1726_5,1559_2,1482_5,1408_6,1398_6,1419_8,1393,1377
1999-12-27 19:00:00,2746_4,2720_6,2341_1,1983_5,1850_3,1680,1602_3,1535_1,1526_8,1544_7,1522_2,1509_9
1999-12-27 20:00:00,2817_5,2793_9,2441_4,2102_2,1972_5,1806_7,1732_4,1669,1661_3,1677_9,1657,1645_8
1999-12-27 21:00:00,2881_2,2859_6,2533_9,2215_4,2091_9,1931_2,1857_9,1795_7,1788_2,1804_3,1784,1773_2
1999-12-27 22:00:00,2938_6,2919,2618_6,2320_7,2204_5,2050_6,1977_1,1912_6,1905_4,1921_3,1901_3,1891_4
1999-12-27 23:00:00,2989_2,2971_3,2695_3,2417_4,2308_8,2161_7,2088_2,2022_6,2015_3,2031_4,2011_2,2001_3
1999-12-28 00:00:00,3035_1,3018_7,2764_9,2504_9,2404_1,2265_6,2193_3,2128_6,2121_4,2137_1,2117_3,2107_7
1999-12-28 01:00:00,3077_6,3062_5,2827_7,2583_4,2490_9,2361_8,2291_5,2228_5,2221_6,2236_8,2217_6,2208_6
1999-12-28 02:00:00,3116,3102,2884_4,2654_9,2569_9,2450,2382_4,2321_9,2315_2,2329_8,2311_4,2303
1999-12-28 03:00:00,3150_8,3137_9,2936,2720_3,2641_8,2530_8,2466_3,2408_5,2402_1,2416,2398_6,2390_7
1999-12-28 04:00:00,3182_8,3170_8,2982_7,2781,2710_7,2604_2,2543_3,2488_5,2482_5,2495_6,2479_1,2471_8
1999-12-28 05:00:00,3212_7,3201_4,3025_5,2837_3,2773_8,2669_5,2612_9,2561_6,2556,2568_3,2552_9,2546_2
1999-12-28 06:00:00,3240_7,3230_2,3065_3,2889_4,2831_4,2730_1,2676_9,2628_6,2623_3,2634_8,2620_4,2614_3
1999-12-28 07:00:00,3266_7,3256_8,3102_5,2936_5,2882,2785_9,2736_2,2690_5,2685_5,2696_4,2682_8,2677_2
1999-12-28 08:00:00,3291_1,3281_9,3137_1,2978_4,2924_8,2837_3,2790_2,2744_6,2739_2,2750_8,2736_2,2729_2
1999-12-28 09:00:00,3314,3305_4,3169_6,3016_6,2964_6,2884_7,2838_3,2792_5,2787_1,2798_7,2784,2777
1999-12-28 10:00:00,3335_6,3327_5,3199_7,3052_2,3002_2,2928_9,2883_9,2839,2833_6,2845_1,2830_6,2823_8
1999-12-28 11:00:00,3355_8,3348_2,3227_7,3085_6,3037_8,2970_7,2927_3,2883_7,2878_5,2889_6,2875_5,2868_9
1999-12-28 12:00:00,3374_7,3367_5,3253_7,3117_1,3071_7,3010_1,2968_5,2926_4,2921_4,2932_2,2918_5,2912_2
1999-12-28 13:00:00,3392_1,3385_4,3278_1,3147_5,3104_6,3046_6,3007_2,2967,2962_1,2972_5,2959_3,2953_4
1999-12-28 14:00:00,3408_2,3401_8,3300_8,3176_5,3135_7,3080_9,3043_7,3005_9,3001_1,3011_2,2998_4,2992_5
1999-12-28 15:00:00,3423_1,3417_2,3322_4,3203_8,3165_3,3113_7,3079_1,3044_4,3040,3049_2,3037_4,3032
1999-12-28 16:00:00,3437_2,3431_6,3344_6,3229_5,3193_1,3144_7,3112_3,3080,3075_9,3084_5,3073_5,3068_6
1999-12-28 17:00:00,3450_9,3445_7,3366_5,3253_9,3219_5,3174,3143_4,3113_1,3109_3,3117_4,3107,3102_6
1999-12-28 18:00:00,3464_2,3459_4,3387_6,3277_2,3244_6,3201_6,3172_7,3144_2,3140_6,3148_2,3138_4,3134_3
1999-12-28 19:00:00,3477,3472_7,3407_5,3299_8,3268_8,3228_9,3199_4,3173,3169_7,3176_8,3167_7,3164
1999-12-28 20:00:00,3489_3,3485_3,3426,3321_9,3292_6,3255_7,3224_5,3199_7,3196_6,3203_2,3194_7,3191_4
1999-12-28 21:00:00,3500_8,3497_1,3443,3343_1,3315_7,3281_7,3249_1,3225_2,3222_1,3228_6,3220_4,3217_3
1999-12-28 22:00:00,3511_6,3508_2,3458_7,3363_3,3337_8,3306_4,3272_9,3249_8,3246_8,3253,3245_1,3242_2
1999-12-28 23:00:00,3521_8,3518_6,3473_1,3382,3358_4,3329_6,3295_8,3273_5,3270_6,3276_6,3268_9,3266_2
1999-12-29 00:00:00,3531_3,3528_4,3486_4,3399_6,3377_7,3351_2,3317_7,3296_2,3293_5,3299_3,3291_8,3289_3
1999-12-29 01:00:00,3540_4,3537_6,3498_7,3416_2,3396,3371_7,3338_5,3317_9,3315_3,3320_9,3313_7,3311_3
1999-12-29 02:00:00,3548_9,3546_3,3510_1,3431_9,3413_2,3391,3358_5,3338_7,3336_2,3341_6,3334_7,3332_4
1999-12-29 03:00:00,3556_9,3554_5,3520_3,3446_7,3429_4,3409_1,3377_4,3358_5,3356_1,3361_2,3354_6,3352_6
1999-12-29 04:00:00,3564_2,3562,3529_7,3460_6,3444_6,3426,3395_3,3377_3,3375,3379_9,3373_6,3371_7
1999-12-29 05:00:00,3571_1,3569,3538_5,3473_7,3458_9,3441_8,3412_2,3395_1,3392_9,3397_6,3391_6,3389_9
1999-12-29 06:00:00,3577_6,3575_5,3546_8,3486_1,3472_3,3456_5,3428,3411_8,3409_7,3414_2,3408_5,3407
1999-12-29 07:00:00,3583_6,3581_7,3554_5,3497_7,3484_9,3470_3,3442_9,3427_5,3425_6,3429_8,3424_4,3423_1
1999-12-29 08:00:00,3589_3,3587_5,3561_8,3508_6,3496_7,3483_1,3456_8,3442_3,3440_4,3444_4,3439_3,3438_2
1999-12-29 09:00:00,3594_6,3592_9,3568_7,3518_9,3507_7,3495_1,3469_8,3456_1,3454_3,3458_1,3453_3,3452_4
1999-12-29 10:00:00,3599_6,3598,3575_1,3528_5,3518_1,3506_4,3482,3469,3467_4,3470_9,3466_4,3465_7
1999-12-29 11:00:00,3604_2,3602_7,3581_2,3537_5,3527_8,3516_9,3493_4,3481_2,3479_6,3482_9,3478_7,3478_2
1999-12-29 12:00:00,3608_6,3607_2,3586_8,3546,3536_9,3526_7,3504_1,3492_6,3491_1,3494_2,3490_2,3489_8
1999-12-29 13:00:00,3612_7,3611_3,3592,3554,3545_5,3535_9,3514_1,3503_2,3501_9,3504_8,3501_1,3500_8
1999-12-29 14:00:00,3616_5,3615_2,3597,3561_5,3553_5,3544_5,3523_5,3513_3,3512,3514_8,3511_2,3511_1
1999-12-29 15:00:00,3620_1,3618_9,3601_6,3568_5,3561,3552_6,3532_4,3522_7,3521_5,3524_1,3520_8,3520_8
1999-12-29 16:00:00,3623_5,3622_3,3606,3575_1,3568_1,3560_2,3540_7,3531_6,3530_4,3532_9,3529_7,3529_9
1999-12-29 17:00:00,3626_7,3625_6,3610_1,3581_3,3574_7,3567_3,3548_5,3539_9,3538_8,3541_2,3538_2,3538_4
1999-12-29 18:00:00,3629_7,3628_7,3614_1,3587_1,3580_9,3573_9,3555_9,3547_7,3546_7,3548_9,3546_1,3546_5
1999-12-29 19:00:00,3632_6,3631_6,3617_8,3592_5,3586_7,3580_2,3562_8,3555_1,3554_2,3556_2,3553_6,3554
1999-12-29 20:00:00,3635_3,3634_4,3621_4,3597_7,3592_2,3586,3569_4,3562_1,3561_2,3563_1,3560_6,3561_2
1999-12-29 21:00:00,3637_9,3637,3624_8,3602_5,3597_4,3591_5,3575_5,3568_6,3567_8,3569_6,3567_2,3567_9
1999-12-29 22:00:00,3640_3,3639_5,3628,3607_1,3602_2,3596_7,3581_3,3574_8,3574,3575_7,3573_5,3574_2
