Time [yyyy-MM-dd HH:mm:ss];Discharge at (PanKan2_B_A_B_ 92_347) [m³/s];Discharge at (PanKan2_B_A_A_ 1638_979) [m³/s];Discharge at (PanKan2_A_ 2774_544) [m³/s]
27-12-99 00:00;1817.7;1817.7;1815.2
27-12-99 01:00;287.6;286.98;274.58
27-12-99 02:00;351.95;351.42;349.81
27-12-99 03:00;418.6;420.6;439.72
27-12-99 04:00;510.73;515.63;558.14
27-12-99 05:00;618.36;625.33;682.1
27-12-99 06:00;725.55;733.69;796.01
27-12-99 07:00;825.68;834.23;896.81
27-12-99 08:00;915.04;923.25;982.37
27-12-99 09:00;996.41;1003.8;1056.3
27-12-99 10:00;1067.7;1074.5;1120.9
27-12-99 11:00;1129.6;1135.7;1176.7
27-12-99 12:00;1183.6;1189.1;1225.3
27-12-99 13:00;1232.3;1237.2;1269.4
27-12-99 14:00;1274.9;1279.4;1308.3
27-12-99 15:00;1313.4;1317.5;1343.6
27-12-99 16:00;1347.9;1351.7;1375.2
27-12-99 17:00;1378;1381.4;1402.1
27-12-99 18:00;1404.3;1407.4;1426.1
27-12-99 19:00;1426.5;1429.5;1447.1
27-12-99 20:00;1445.5;1448.3;1464.6
27-12-99 21:00;1462.7;1465.3;1480.1
27-12-99 22:00;1478.3;1480.6;1494.2
27-12-99 23:00;1492.3;1494.5;1506.9
28-12-99 00:00;1505.1;1507.1;1518.5
28-12-99 01:00;1516.8;1518.6;1529
28-12-99 02:00;1527.3;1529.1;1538.5
28-12-99 03:00;1536.9;1538.5;1547.1
28-12-99 04:00;1545.5;1547;1554.9
28-12-99 05:00;1553.4;1554.8;1562
28-12-99 06:00;1560.6;1561.9;1568.4
28-12-99 07:00;1567.1;1568.3;1574.2
28-12-99 08:00;1573;1574.2;1579.6
28-12-99 09:00;1578.5;1579.5;1584.5
28-12-99 10:00;1583.5;1584.5;1589
28-12-99 11:00;1588.1;1589;1593.1
28-12-99 12:00;1592.4;1593.3;1597
28-12-99 13:00;1596.3;1597.2;1600.5
