Time [yyyy-MM-dd HH:mm:ss],Discharge at (Nederrijn2_B_B_A_ 1043_884) [m³/s],Discharge at (Nederrijn2_B_B_B_A_ 3155_013) [m³/s],Discharge at (Nederrijn3_A_ 1522_502) [m³/s],Discharge at (Nederrijn4_A_ 1522_81) [m³/s],Discharge at (Nederrijn5_A_ 3806_452) [m³/s],Discharge at (Nederrijn5_B_A_ 3245_921) [m³/s],Discharge at (Lek1_A_ 399_223) [m³/s],Discharge at (Lek1_B_A_B_ 6060_533) [m³/s],Discharge at (Lek1_B_B_A_ 3149_479) [m³/s],Discharge at (Lek1_B_B_B_A_ 1724_873) [m³/s],Discharge at (Lek2_A_ 1409_16) [m³/s],Discharge at (Lek5_A_ 1460_289) [m³/s],Discharge at (Lek5_B_A_ 777_6195) [m³/s],Discharge at (Lek5_B_B_A_ 6124_281) [m³/s],Discharge at (Lek5_B_B_B_ 1435_666) [m³/s],Discharge at (Lek7_A_A_ 1924_84) [m³/s],Discharge at (Lek7_A_B_ 5142_297) [m³/s],Discharge at (Lek7_B_A_ 3611_169) [m³/s]
1999-12-27 00:00:00,1034_1,1035_2,1040_6,1040_7,1040_8,1040_8,2199_9,2200_2,2200_4,2200_5,2200_7,2200_8,2200_9,2201_5,2201_7,2204_7,2204_8,2204_9
1999-12-27 01:00:00,179_76,263_84,389_19,372_3,499_74,536_41,485_97,190_57,145_78,165_99,212_82,210_14,204_3,164_31,159_15,71_681,-0_48655,1_5058
1999-12-27 02:00:00,196_64,244_63,387_36,405_79,446_27,460_51,468_18,320_17,238_49,206_44,188_1,188_65,188_95,172_17,162_36,102_07,-0_21331,0_23461
1999-12-27 03:00:00,211_09,239_66,365_39,397_97,428_58,437_82,448_44,376_43,323_59,285_49,224_83,201_13,195_7,171_84,164_25,121_16,24_866,2_6364
1999-12-27 04:00:00,233_31,245_52,345_41,381_82,413_11,421_49,434_65,399_17,368_03,338_36,271_89,234_32,224_11,178_76,169_46,134_27,54_554,13_837
1999-12-27 05:00:00,267_32,262_53,329_42,364_52,396_53,405_19,424_07,408_63,389_71,367_95,310_41,270_98,259_27,198_06,185_54,148_53,83_57,32_777
1999-12-27 06:00:00,311_29,289_85,318_51,349_08,380_21,389_21,414_34,410_67,398_74,382_85,337_12,302_09,291_12,225_41,210_6,168_4,108_32,57_089
1999-12-27 07:00:00,362_06,326_51,313_66,337_26,365_7,374_71,404_68,408_33,400_68,389,353_66,324_35,314_98,253_68,238_44,193_22,133_21,81_282
1999-12-27 08:00:00,414_83,369_27,315_16,329_76,353_8,362_39,395_03,403_62,399,390_48,363_39,339_69,331_98,278_68,264_52,220_18,159_32,108_54
1999-12-27 09:00:00,463_85,413_71,323_29,327_27,345_23,352_91,385_67,397_5,395_11,389_02,368_53,349_8,343_56,298_86,286_47,245_9,186_92,139_83
1999-12-27 10:00:00,508_33,456_92,337_87,330_25,340_59,346_86,377_01,390_64,389_92,385_74,370_54,355_97,351,314_45,303_93,268_39,214_61,171_8
1999-12-27 11:00:00,548_09,497_68,358_26,338_9,340_37,344_72,369_49,383_59,384_06,381_37,370_4,359_27,355_39,325_94,317_21,287_18,239_98,200_55
1999-12-27 12:00:00,583_31,535_21,383_34,353_14,344_86,346_85,363_55,376_84,378_06,376_48,368_82,360_5,357_51,334_15,327_04,302_12,261_1,225_12
1999-12-27 13:00:00,615,569_91,412_01,372_64,354_21,353_42,359_54,370_78,372_39,371_61,366_48,360_4,358_17,339_96,334_27,313_77,278_34,245_48
1999-12-27 14:00:00,642_17,600_4,442_3,396_03,368_27,364_56,357_94,365_95,367_46,367_11,363_73,359_32,357_64,343_47,338_84,321_88,289_8,255_66
1999-12-27 15:00:00,666_67,628_03,473_33,422_56,386_55,379_8,358_87,362_64,363_68,363_47,361_11,357_86,356_59,345_37,341_52,326_76,293_85,253_84
1999-12-27 16:00:00,688_72,653_14,504_01,450_95,408_35,398_79,362_48,361_17,361_39,361_03,358_99,356_35,355_31,345_76,342_25,327_52,289_66,242_91
1999-12-27 17:00:00,708_48,675_84,533_81,479_61,432_79,420_78,369_03,361_77,360_84,360_03,357_61,355_02,354_03,344_58,340_86,323_81,279_05,228_3
1999-12-27 18:00:00,725_98,696_09,561_91,506_75,457_94,444_42,378_45,364_72,362_29,360_74,357_17,353_98,352_81,341_77,337_33,316_26,265_37,213_35
1999-12-27 19:00:00,741_23,714_19,587_92,533_15,481_45,467_24,390_38,370_15,365_93,363_33,357_81,353_34,351_76,337_54,331_95,306_08,250_87,199_19
1999-12-27 20:00:00,753_98,729_63,612_22,558_66,505_3,489_97,404_15,378_01,371_82,367_91,359_67,353_28,351_05,332_32,325_33,294_7,236_98,186_55
1999-12-27 21:00:00,765_82,743_63,634_54,582_98,529_4,513_31,419_55,388_01,379_82,374_41,362_82,353_94,350_89,326_83,318_38,283_57,224_77,175_89
1999-12-27 22:00:00,776_66,756_42,654_97,605_85,553_02,536_51,436_44,399_93,389_72,382_69,367_29,355_49,351_5,321_68,311_8,273_66,214_58,167_27
1999-12-27 23:00:00,786_64,768_06,673_64,627_19,575_73,559_07,454_5,413_58,401_37,392_66,373_15,358_15,353_12,317_62,306_41,265_57,206_44,160_34
1999-12-28 00:00:00,795_96,778_76,690_75,647_02,597_28,580_64,473_07,428_71,414_58,404_17,380_45,362_14,356_07,315_14,302_78,259_67,200_57,155_34
1999-12-28 01:00:00,804_64,788_64,706_58,665_4,617_52,601_12,492_13,444_88,429_01,417,389_18,367_58,360_47,314_6,301_17,256_11,197,152_21
1999-12-28 02:00:00,812_78,797_84,721_18,682_31,636_48,620_34,511_44,461_85,444_36,430_81,399_18,374_47,366_41,316_15,301_76,254_9,195_45,150_7
1999-12-28 03:00:00,820_4,806_39,734_68,697_99,654_14,638_41,530_6,479_33,460_42,445_54,410_37,382_91,373_96,319_71,304_42,255_79,195_62,150_47
1999-12-28 04:00:00,827_52,814_39,747_2,712_53,670_69,655_42,549_5,497_02,476_9,460_87,422_61,392_79,382_96,325_16,309_05,258_62,197_39,151_4
1999-12-28 05:00:00,834_16,821_88,758_73,726_04,686_17,671_42,567_93,514_67,493_52,476_55,435_67,403_72,393_12,332_17,315_28,263,200_55,153_51
1999-12-28 06:00:00,840_43,828_91,769_4,738_57,700_74,686_66,585_79,532_12,510_13,492_42,449_29,415_45,404_14,340_37,322_73,268_55,204_78,156_49
1999-12-28 07:00:00,846_37,835_52,779_35,750_19,714_34,700_85,603_04,549_16,526_42,508_05,463_07,427_45,415_54,349_46,331_05,274_93,209_77,160_12
1999-12-28 08:00:00,851_82,841_67,788_6,761_04,727,714_06,619_49,565_63,542_28,523_38,476_87,439_39,426_95,358_82,339_67,281_73,214_61,163_57
1999-12-28 09:00:00,856_95,847_42,797_29,771_18,738_82,726_41,634_95,581_41,557_5,538_14,490_15,451,438_07,368_12,348_22,288_46,219_11,166_49
1999-12-28 10:00:00,861_79,852_83,805_38,780_64,749_87,737_97,649_55,596_24,571_91,552_27,503_26,461_68,448_32,376_88,356_29,294_98,224_07,170_11
1999-12-28 11:00:00,866_35,857_92,812_99,789_48,760_2,748_8,663_65,610_31,585_54,565_68,515_78,471_39,457_62,384_84,363_59,300_83,228_31,173_5
