Time [yyyy-MM-dd HH:mm:ss],Discharge at (IJssel02_B_B_A_ 3619_515) [m³/s],Discharge at (IJssel03_A_ 1902_705) [m³/s],Discharge at (IJssel03_B_A_ 12138_99) [m³/s],Discharge at (IJssel03_B_B_A_ 737_346) [m³/s],Discharge at (IJssel03_B_B_B_A_ 6637_052) [m³/s],Discharge at (IJssel05_A_ 2707_838) [m³/s],Discharge at (IJssel06_A_ 1051_84) [m³/s],Discharge at (IJssel06_B_A_ 364_542) [m³/s],Discharge at (IJssel06_B_B_A_ 2361_287) [m³/s],Discharge at (IJssel06_B_B_B_A_ 2280_073) [m³/s],Discharge at (IJssel06_B_B_B_B_A_ 718_224) [m³/s],Discharge at (IJssel07_A_ 327_8685) [m³/s],Discharge at (IJssel07_B_A_ 2387_697) [m³/s],Discharge at (IJssel09_A_ 2872_768) [m³/s]
1999-12-27 00:00:00,783_88,820_34,820_65,824_61,833_69,-126_93,873_27,873_29,873_3,878_32,878_33,878_5,878_53,878_97
1999-12-27 01:00:00,273_29,321_97,176_99,178_85,204_03,103_91,110_68,108_74,103_28,95_765,92_762,76_118,59_301,20_412
1999-12-27 02:00:00,246_29,315_14,206_03,201_38,187_67,143_81,134_66,126_41,108_68,99_871,97_407,76_146,61_51,28_779
1999-12-27 03:00:00,232_11,302_7,231_04,225_72,200_86,152_36,150_56,143_23,123_35,108_85,105_3,79_493,67_136,31_153
1999-12-27 04:00:00,230_97,290_94,247_12,242_76,217_82,162_51,160_61,153_97,135_01,119_24,115_18,84_658,72_633,33_004
1999-12-27 05:00:00,243_03,282_66,256_37,253_07,232_39,174_24,170_6,164_15,145_55,129_52,125_23,91_747,79_173,0_46245
1999-12-27 06:00:00,264_63,278_47,261_07,258_62,243_14,186_8,181_2,174_71,156_01,139_9,135_52,99_968,86_668,-55_741
1999-12-27 07:00:00,289_97,278_14,263_41,261_48,250_32,198_99,191_92,185_39,166_55,150_37,145_94,108_49,93_837,-92_871
1999-12-27 08:00:00,317_92,281_41,265_26,263_6,255_33,210_31,202_48,196_02,177_21,160_93,156_41,116_83,98_994,-113
1999-12-27 09:00:00,349_16,287_8,267_64,266_05,259_29,221_3,209_57,205_01,187_55,171_27,166_67,124_01,100_78,-115_74
1999-12-27 10:00:00,382_18,297_09,271_17,269_49,263_18,233_99,210_88,206_4,192_3,178_97,174_75,129_23,101_3,-103_87
1999-12-27 11:00:00,413_89,309_14,276_26,274_41,267_84,243_16,216_5,211_8,197_37,184_23,180_04,133_04,104_57,-78_099
1999-12-27 12:00:00,443_41,323_48,283_22,281_11,273_56,250_79,222_57,217_73,202_79,189_05,184_71,137_19,111_07,-38_659
1999-12-27 13:00:00,470_8,339_73,292_24,289_84,280_72,257_84,228_58,223_63,208_23,193_96,189_52,143_29,120_61,14_832
1999-12-27 14:00:00,495_14,356_98,302_96,300_23,289_22,264_5,234_19,229_15,213_41,198_99,194_55,151_43,132_71,59_128
1999-12-27 15:00:00,517_47,375_1,315_44,312_4,299_31,271_48,240,234_88,219,204_87,200_58,161_34,145_62,87_221
1999-12-27 16:00:00,537_76,393_57,329_39,326_07,310_9,279_06,246_35,241_17,225_28,211_66,207_56,171_6,157_81,104_28
1999-12-27 17:00:00,556_13,411_84,344_51,340_94,323_84,287_53,253_55,248_3,232_39,219_23,215_29,181_67,169,115_32
1999-12-27 18:00:00,572_52,430_07,360_48,356_7,337_92,297_07,261_72,256_37,240_34,227_43,223_6,191_35,179_24,126_66
1999-12-27 19:00:00,587_09,447_89,377_01,373_09,352_9,307_73,270_88,265_41,249_09,236_2,232_41,200_89,189_15,137_52
1999-12-27 20:00:00,599_57,465_14,393_78,389_78,368_58,319_46,281_01,275_38,258_64,245_59,241_8,210_54,198_95,147_95
1999-12-27 21:00:00,610_57,481_64,410_48,406_42,384_61,332_16,292_08,286_28,269_01,255_65,251_83,220_43,208_77,158_11
1999-12-27 22:00:00,620_33,497_31,427_13,423_05,400_79,345_72,304_05,298_06,280_2,266_42,262_53,230_69,218_87,168_07
1999-12-27 23:00:00,629_01,512_14,443_56,439_5,417_13,359_93,316_81,310_65,292_16,277_87,273_9,241_43,229_34,177_94
1999-12-28 00:00:00,636_71,526_09,459_61,455_62,433_39,374_71,330_26,323_94,304_82,289_99,285_9,252_67,240_27,187_9
1999-12-28 01:00:00,643_53,539_21,475_15,471_25,449_39,389_86,344_31,337_86,318_13,302_73,298_48,264_42,251_74,198_04
