Time [yyyy-MM-dd HH:mm:ss];Water level at (51_A_B_ 4214_795) [m AD];Water level at (branch1_B_ 1434_988) [m AD];Water level at (Bovenrijn_A_ 2156_515) [m AD]
27-12-99 00:00;8.6986;8.5496;7.8012
27-12-99 01:00;8.2854;8.1141;7.8748
27-12-99 02:00;8.4985;8.3169;8.0086
27-12-99 03:00;8.8817;8.6595;8.2614
27-12-99 04:00;9.3008;9.0676;8.6261
27-12-99 05:00;9.6907;9.4606;9.0077
27-12-99 06:00;10.048;9.8237;9.3676
27-12-99 07:00;10.361;10.145;9.6975
27-12-99 08:00;10.623;10.417;9.9835
27-12-99 09:00;10.847;10.65;10.231
27-12-99 10:00;11.038;10.85;10.445
27-12-99 11:00;11.202;11.021;10.629
27-12-99 12:00;11.345;11.171;10.789
27-12-99 13:00;11.473;11.305;10.932
27-12-99 14:00;11.588;11.426;11.059
27-12-99 15:00;11.691;11.533;11.174
27-12-99 16:00;11.783;11.63;11.277
27-12-99 17:00;11.865;11.716;11.369
27-12-99 18:00;11.939;11.794;11.453
27-12-99 19:00;12.006;11.865;11.529
27-12-99 20:00;12.067;11.929;11.598
27-12-99 21:00;12.123;11.987;11.661
27-12-99 22:00;12.173;12.04;11.719
27-12-99 23:00;12.22;12.089;11.772
28-12-99 00:00;12.263;12.135;11.82
28-12-99 01:00;12.303;12.176;11.865
28-12-99 02:00;12.339;12.215;11.907
28-12-99 03:00;12.373;12.25;11.945
28-12-99 04:00;12.404;12.283;11.98
28-12-99 05:00;12.432;12.313;12.012
28-12-99 06:00;12.459;12.342;12.042
28-12-99 07:00;12.483;12.368;12.07
28-12-99 08:00;12.505;12.392;12.096
28-12-99 09:00;12.526;12.414;12.12
28-12-99 10:00;12.545;12.435;12.143
28-12-99 11:00;12.563;12.454;12.164
28-12-99 12:00;12.579;12.471;12.183
28-12-99 13:00;12.594;12.488;12.202
28-12-99 14:00;12.608;12.503;12.219
28-12-99 15:00;12.622;12.517;12.235
28-12-99 16:00;12.634;12.531;12.25
28-12-99 17:00;12.646;12.543;12.265
28-12-99 18:00;12.656;12.554;12.278
28-12-99 19:00;12.667;12.565;12.291
28-12-99 20:00;12.676;12.575;12.302
28-12-99 21:00;12.685;12.585;12.313
28-12-99 22:00;12.693;12.594;12.324
28-12-99 23:00;12.701;12.602;12.333
29-12-99 00:00;12.709;12.61;12.343
29-12-99 01:00;12.716;12.617;12.351
29-12-99 02:00;12.722;12.624;12.359
29-12-99 03:00;12.729;12.631;12.367
29-12-99 04:00;12.735;12.637;12.374
29-12-99 05:00;12.74;12.643;12.38
29-12-99 06:00;12.745;12.648;12.386
29-12-99 07:00;12.75;12.654;12.392
29-12-99 08:00;12.755;12.658;12.398
29-12-99 09:00;12.759;12.663;12.403
29-12-99 10:00;12.763;12.667;12.408
29-12-99 11:00;12.767;12.672;12.413
29-12-99 12:00;12.771;12.675;12.417
29-12-99 13:00;12.775;12.679;12.421
29-12-99 14:00;12.778;12.683;12.425
29-12-99 15:00;12.781;12.686;12.429
29-12-99 16:00;12.784;12.689;12.432
29-12-99 17:00;12.787;12.692;12.436
29-12-99 18:00;12.79;12.695;12.439
29-12-99 19:00;12.792;12.698;12.442
29-12-99 20:00;12.795;12.7;12.445
29-12-99 21:00;12.797;12.702;12.447
29-12-99 22:00;12.799;12.705;12.45
29-12-99 23:00;12.801;12.707;12.452
30-12-99 00:00;12.803;12.709;12.454
30-12-99 01:00;12.805;12.711;12.457
30-12-99 02:00;12.807;12.713;12.459
30-12-99 03:00;12.809;12.715;12.461
30-12-99 04:00;12.81;12.716;12.462
30-12-99 05:00;12.812;12.718;12.464
30-12-99 06:00;12.813;12.719;12.466
30-12-99 07:00;12.815;12.721;12.467
30-12-99 08:00;12.816;12.722;12.469
30-12-99 09:00;12.817;12.723;12.47
30-12-99 10:00;12.818;12.725;12.472
30-12-99 11:00;12.819;12.726;12.473
30-12-99 12:00;12.82;12.727;12.474
30-12-99 13:00;12.82;12.727;12.474
30-12-99 14:00;12.821;12.728;12.475
30-12-99 15:00;12.822;12.729;12.476
30-12-99 16:00;12.823;12.729;12.477
30-12-99 17:00;12.824;12.73;12.478
30-12-99 18:00;12.825;12.731;12.479
30-12-99 19:00;12.826;12.732;12.48
30-12-99 20:00;12.826;12.733;12.481
30-12-99 21:00;12.827;12.734;12.482
30-12-99 22:00;12.828;12.734;12.483
30-12-99 23:00;12.828;12.735;12.483
31-12-99 00:00;12.829;12.736;12.484
31-12-99 01:00;12.829;12.736;12.485
31-12-99 02:00;12.83;12.737;12.485
31-12-99 03:00;12.831;12.737;12.486
31-12-99 04:00;12.831;12.738;12.486
31-12-99 05:00;12.831;12.738;12.487
31-12-99 06:00;12.832;12.739;12.487
31-12-99 07:00;12.832;12.739;12.488
31-12-99 08:00;12.833;12.74;12.488
31-12-99 09:00;12.833;12.74;12.489
31-12-99 10:00;12.833;12.74;12.489
31-12-99 11:00;12.834;12.741;12.489
31-12-99 12:00;12.834;12.741;12.49
31-12-99 13:00;12.834;12.741;12.49
31-12-99 14:00;12.835;12.742;12.49
31-12-99 15:00;12.835;12.742;12.491
31-12-99 16:00;12.835;12.742;12.491
31-12-99 17:00;12.835;12.742;12.491
31-12-99 18:00;12.836;12.743;12.492
31-12-99 19:00;12.836;12.743;12.492
31-12-99 20:00;12.836;12.743;12.492
31-12-99 21:00;12.836;12.743;12.492
31-12-99 22:00;12.836;12.743;12.493
31-12-99 23:00;12.837;12.744;12.493
01-01-00 00:00;12.837;12.744;12.493
01-01-00 01:00;12.837;12.744;12.493
01-01-00 02:00;12.837;12.744;12.493
01-01-00 03:00;12.837;12.744;12.494
01-01-00 04:00;12.838;12.745;12.494
01-01-00 05:00;12.837;12.745;12.494
01-01-00 06:00;12.837;12.744;12.494
01-01-00 07:00;12.837;12.744;12.493
01-01-00 08:00;12.836;12.743;12.493
01-01-00 09:00;12.835;12.742;12.492
01-01-00 10:00;12.834;12.741;12.491
01-01-00 11:00;12.832;12.739;12.489
01-01-00 12:00;12.83;12.738;12.487
01-01-00 13:00;12.828;12.736;12.486
01-01-00 14:00;12.826;12.733;12.483
01-01-00 15:00;12.824;12.731;12.481
01-01-00 16:00;12.821;12.728;12.479
01-01-00 17:00;12.818;12.725;12.476
01-01-00 18:00;12.815;12.722;12.473
01-01-00 19:00;12.812;12.719;12.47
01-01-00 20:00;12.809;12.716;12.466
01-01-00 21:00;12.805;12.713;12.463
01-01-00 22:00;12.801;12.709;12.459
01-01-00 23:00;12.798;12.705;12.455
02-01-00 00:00;12.794;12.701;12.452
02-01-00 01:00;12.79;12.697;12.447
02-01-00 02:00;12.786;12.693;12.443
02-01-00 03:00;12.782;12.689;12.439
02-01-00 04:00;12.778;12.685;12.435
02-01-00 05:00;12.774;12.681;12.431
02-01-00 06:00;12.771;12.678;12.428
02-01-00 07:00;12.769;12.676;12.425
02-01-00 08:00;12.767;12.674;12.423
02-01-00 09:00;12.766;12.673;12.421
02-01-00 10:00;12.766;12.673;12.421
02-01-00 11:00;12.767;12.673;12.421
02-01-00 12:00;12.768;12.674;12.421
02-01-00 13:00;12.769;12.675;12.422
02-01-00 14:00;12.771;12.677;12.424
02-01-00 15:00;12.774;12.68;12.427
02-01-00 16:00;12.777;12.683;12.429
02-01-00 17:00;12.781;12.687;12.433
02-01-00 18:00;12.785;12.691;12.437
02-01-00 19:00;12.79;12.695;12.441
02-01-00 20:00;12.795;12.7;12.446
02-01-00 21:00;12.8;12.706;12.451
02-01-00 22:00;12.806;12.711;12.457
02-01-00 23:00;12.812;12.717;12.463
03-01-00 00:00;12.818;12.724;12.469
03-01-00 01:00;12.825;12.73;12.476
03-01-00 02:00;12.831;12.737;12.482
03-01-00 03:00;12.838;12.744;12.489
03-01-00 04:00;12.845;12.751;12.496
03-01-00 05:00;12.851;12.757;12.503
03-01-00 06:00;12.857;12.763;12.509
03-01-00 07:00;12.862;12.768;12.514
03-01-00 08:00;12.866;12.772;12.519
03-01-00 09:00;12.869;12.776;12.523
03-01-00 10:00;12.872;12.778;12.526
03-01-00 11:00;12.873;12.78;12.528
03-01-00 12:00;12.874;12.781;12.53
03-01-00 13:00;12.875;12.782;12.531
03-01-00 14:00;12.874;12.782;12.531
03-01-00 15:00;12.873;12.781;12.53
03-01-00 16:00;12.872;12.779;12.529
03-01-00 17:00;12.87;12.777;12.528
03-01-00 18:00;12.867;12.775;12.526
03-01-00 19:00;12.864;12.772;12.523
03-01-00 20:00;12.86;12.768;12.52
03-01-00 21:00;12.856;12.764;12.516
03-01-00 22:00;12.852;12.76;12.512
03-01-00 23:00;12.847;12.755;12.507
04-01-00 00:00;12.841;12.75;12.502
04-01-00 01:00;12.836;12.744;12.497
04-01-00 02:00;12.83;12.738;12.491
04-01-00 03:00;12.824;12.732;12.485
04-01-00 04:00;12.818;12.726;12.479
04-01-00 05:00;12.812;12.72;12.473
04-01-00 06:00;12.806;12.714;12.467
04-01-00 07:00;12.8;12.708;12.461
04-01-00 08:00;12.794;12.703;12.455
04-01-00 09:00;12.789;12.697;12.45
04-01-00 10:00;12.784;12.692;12.444
04-01-00 11:00;12.78;12.688;12.439
04-01-00 12:00;12.775;12.683;12.435
04-01-00 13:00;12.771;12.679;12.43
04-01-00 14:00;12.767;12.675;12.426
04-01-00 15:00;12.764;12.671;12.422
04-01-00 16:00;12.76;12.668;12.418
04-01-00 17:00;12.757;12.664;12.414
04-01-00 18:00;12.754;12.661;12.411
04-01-00 19:00;12.751;12.658;12.408
04-01-00 20:00;12.749;12.656;12.405
04-01-00 21:00;12.746;12.653;12.402
04-01-00 22:00;12.744;12.651;12.4
04-01-00 23:00;12.742;12.648;12.397
05-01-00 00:00;12.74;12.646;12.395
05-01-00 01:00;12.738;12.644;12.393
05-01-00 02:00;12.736;12.642;12.391
05-01-00 03:00;12.734;12.641;12.389
05-01-00 04:00;12.733;12.639;12.387
05-01-00 05:00;12.732;12.638;12.386
05-01-00 06:00;12.731;12.638;12.385
05-01-00 07:00;12.731;12.637;12.384
05-01-00 08:00;12.731;12.637;12.384
05-01-00 09:00;12.732;12.638;12.385
05-01-00 10:00;12.732;12.638;12.385
05-01-00 11:00;12.734;12.64;12.386
05-01-00 12:00;12.735;12.641;12.388
05-01-00 13:00;12.737;12.643;12.389
05-01-00 14:00;12.739;12.645;12.391
05-01-00 15:00;12.742;12.648;12.394
05-01-00 16:00;12.744;12.65;12.396
05-01-00 17:00;12.747;12.653;12.399
05-01-00 18:00;12.751;12.656;12.403
05-01-00 19:00;12.754;12.66;12.406
05-01-00 20:00;12.758;12.664;12.41
05-01-00 21:00;12.762;12.667;12.414
05-01-00 22:00;12.766;12.671;12.418
05-01-00 23:00;12.77;12.676;12.422
06-01-00 00:00;12.774;12.68;12.426
06-01-00 01:00;12.779;12.685;12.431
06-01-00 02:00;12.783;12.689;12.436
06-01-00 03:00;12.788;12.694;12.441
06-01-00 04:00;12.793;12.699;12.446
06-01-00 05:00;12.799;12.705;12.452
06-01-00 06:00;12.806;12.712;12.459
06-01-00 07:00;12.814;12.72;12.466
06-01-00 08:00;12.822;12.728;12.474
06-01-00 09:00;12.831;12.737;12.483
06-01-00 10:00;12.841;12.747;12.493
06-01-00 11:00;12.852;12.758;12.504
06-01-00 12:00;12.863;12.769;12.515
06-01-00 13:00;12.876;12.782;12.527
06-01-00 14:00;12.89;12.796;12.541
06-01-00 15:00;12.905;12.811;12.555
06-01-00 16:00;12.922;12.827;12.571
06-01-00 17:00;12.939;12.845;12.588
06-01-00 18:00;12.956;12.862;12.605
06-01-00 19:00;12.974;12.88;12.622
06-01-00 20:00;12.992;12.898;12.64
06-01-00 21:00;13.01;12.916;12.658
06-01-00 22:00;13.028;12.935;12.676
06-01-00 23:00;13.047;12.953;12.694
07-01-00 00:00;13.065;12.972;12.713
07-01-00 01:00;13.084;12.99;12.731
07-01-00 02:00;13.102;13.009;12.749
07-01-00 03:00;13.121;13.028;12.768
07-01-00 04:00;13.139;13.046;12.786
07-01-00 05:00;13.158;13.065;12.805
07-01-00 06:00;13.177;13.084;12.823
07-01-00 07:00;13.196;13.103;12.842
07-01-00 08:00;13.215;13.122;12.861
07-01-00 09:00;13.234;13.142;12.88
07-01-00 10:00;13.253;13.161;12.899
07-01-00 11:00;13.272;13.18;12.918
07-01-00 12:00;13.291;13.2;12.937
07-01-00 13:00;13.311;13.219;12.956
07-01-00 14:00;13.33;13.238;12.975
07-01-00 15:00;13.349;13.258;12.994
07-01-00 16:00;13.368;13.277;13.013
07-01-00 17:00;13.387;13.296;13.032
07-01-00 18:00;13.407;13.316;13.05
07-01-00 19:00;13.426;13.335;13.069
07-01-00 20:00;13.445;13.354;13.088
07-01-00 21:00;13.463;13.373;13.107
07-01-00 22:00;13.482;13.391;13.126
07-01-00 23:00;13.5;13.41;13.145
08-01-00 00:00;13.518;13.428;13.164
08-01-00 01:00;13.536;13.445;13.183
