Time [yyyy-MM-dd HH:mm:ss];Water level at (Waal2_A_ 3753_233) [m AD];Water level at (Waal2_B_A_A_A_ 6438_712) [m AD];Water level at (Waal2_B_A_A_B_ 2469_155) [m AD];Water level at (Waal2_B_A_B_A_ 2376_095) [m AD];Water level at (Waal3_A_ 691_637) [m AD];Water level at (Waal3_B_A_ 1117_265) [m AD];Water level at (Waal3_B_B_A_A_ 14276_89) [m AD];Water level at (Waal3_B_B_A_B_ 434_885) [m AD];Water level at (Waal4_A_B_ 2436_3) [m AD];Water level at (Waal5_A_ 5200_192) [m AD];Water level at (Waal5_B_A_ 5567_768) [m AD];Water level at (Waal5_B_B_A_B_ 6363_314) [m AD];Water level at (Waal5_B_B_B_A_ 5601_266) [m AD];Water level at (Waal6_B_A_ 1057_043) [m AD];Water level at (Waal6_B_B_A_ 973_946) [m AD];Water level at (Waal6_A_ 2734_108) [m AD];Water level at (Waal6_B_B_B_A_ 479_153) [m AD];Water level at (Waal6_B_B_B_B_A_ 1993_346) [m AD];;
27-12-99 00:00;6.9925;7.024;6.0444;6.0444;6.5444;6.7986;3.9931;4.1946;1.7756;-2.4958;-3.1972;-4.1086;-5.418;-5.9504;-6.539;-5.7388;-7.0601;-7.4248;;
27-12-99 01:00;6.9668;6.5449;6.392;6.2368;6.0792;5.9645;4.4663;4.2729;2.05;-1.3342;-2.7612;-4.3993;-4.3059;-0.97539;-0.63566;-1.4375;-0.46036;0.052953;;
27-12-99 02:00;7.0573;6.5709;6.4025;6.2359;6.075;5.9516;4.477;4.3006;2.3131;-1.0057;-2.1822;-3.1099;-1.071;-0.22605;-0.099285;-0.38396;-0.031117;0.18594;;
27-12-99 03:00;7.1499;6.6245;6.4462;6.2711;6.1034;5.9761;4.493;4.3231;2.4772;-0.67195;-1.6895;-1.0161;-0.15887;0.12181;0.16231;0.072318;0.18464;0.25793;;
27-12-99 04:00;7.3264;6.7369;6.5394;6.3482;6.1688;6.0355;4.5262;4.3592;2.593;-0.24696;-0.50398;-0.16118;0.16423;0.25192;0.2626;0.23823;0.26854;0.28716;;
27-12-99 05:00;7.5657;6.9175;6.6992;6.4888;6.2938;6.1514;4.5788;4.4112;2.6868;0.4755;0.35038;0.28965;0.30431;0.30143;0.30038;0.30232;0.30009;0.29804;;
27-12-99 06:00;7.8512;7.1541;6.9173;6.6886;6.4773;6.3252;4.6616;4.4893;2.7862;0.93682;0.72767;0.54533;0.45506;0.37433;0.36174;0.38985;0.3562;0.34063;;
27-12-99 07:00;8.1534;7.4295;7.1805;6.9381;6.7126;6.5517;4.7833;4.6035;2.9038;1.1413;0.86233;0.59743;0.51876;0.49673;0.49385;0.50028;0.49236;0.48725;;
27-12-99 08:00;8.4481;7.719;7.4655;7.2157;6.9806;6.8135;4.9485;4.7598;3.032;1.2754;0.98055;0.68605;0.58413;0.55504;0.55141;0.55956;0.54952;0.54306;;
27-12-99 09:00;8.721;8.0022;7.7506;7.4998;7.2601;7.0898;5.1527;4.9555;3.175;1.3993;1.087;0.75827;0.63796;0.60293;0.59859;0.60836;0.59631;0.58862;;
