Time [yyyy-MM-dd HH:mm:ss],Water level at (Waal3_B_B_A_A_ 14276_89) [m AD],Water level at (Waal3_B_B_A_B_ 434_885) [m AD],Water level at (Waal4_A_B_ 2436_3) [m AD],Water level at (Waal5_A_ 5200_192) [m AD],Water level at (Waal5_B_A_ 5567_768) [m AD],Water level at (Waal5_B_B_A_B_ 6363_314) [m AD],Water level at (Waal5_B_B_B_A_ 5601_266) [m AD],Water level at (Waal6_B_A_ 1057_043) [m AD],Water level at (Waal6_B_B_A_ 973_946) [m AD],Water level at (Waal6_A_ 2734_108) [m AD],Water level at (Waal6_B_B_B_A_ 479_153) [m AD],Water level at (Waal6_B_B_B_B_A_ 1993_346) [m AD]
1999-12-27 00:00:00,3_9931,4_1946,1_7756,-2_4958,-3_1972,-4_1086,-5_418,-5_9504,-6_539,-5_7388,-7_0601,-7_4248
1999-12-27 01:00:00,4_4663,4_2729,2_05,-1_3342,-2_7612,-4_3993,-4_3059,-0_97539,-0_63566,-1_4375,-0_46036,0_052953
1999-12-27 02:00:00,4_477,4_3006,2_3131,-1_0057,-2_1822,-3_1099,-1_071,-0_22605,-0_099285,-0_38396,-0_031117,0_18594
1999-12-27 03:00:00,4_493,4_3231,2_4772,-0_67195,-1_6895,-1_0161,-0_15887,0_12181,0_16231,0_072318,0_18464,0_25793
1999-12-27 04:00:00,4_5262,4_3592,2_593,-0_24696,-0_50398,-0_16118,0_16423,0_25192,0_2626,0_23823,0_26854,0_28716
1999-12-27 05:00:00,4_5788,4_4112,2_6868,0_4755,0_35038,0_28965,0_30431,0_30143,0_30038,0_30232,0_30009,0_29804
1999-12-27 06:00:00,4_6616,4_4893,2_7862,0_93682,0_72767,0_54533,0_45506,0_37433,0_36174,0_38985,0_3562,0_34063
1999-12-27 07:00:00,4_7833,4_6035,2_9038,1_1413,0_86233,0_59743,0_51876,0_49673,0_49385,0_50028,0_49236,0_48725
1999-12-27 08:00:00,4_9485,4_7598,3_032,1_2754,0_98055,0_68605,0_58413,0_55504,0_55141,0_55956,0_54952,0_54306
1999-12-27 09:00:00,5_1527,4_9555,3_175,1_3993,1_087,0_75827,0_63796,0_60293,0_59859,0_60836,0_59631,0_58862
1999-12-27 10:00:00,5_3851,5_1815,3_341,1_5174,1_1852,0_82286,0_68479,0_64389,0_63883,0_65023,0_63617,0_62721
1999-12-27 11:00:00,5_633,5_426,3_5317,1_6381,1_2818,0_88403,0_72777,0_6808,0_67498,0_68808,0_67192,0_66161
1999-12-27 12:00:00,5_8857,5_6785,3_7419,1_7675,1_3828,0_94568,0_7697,0_71615,0_70951,0_72447,0_70602,0_69426
1999-12-27 13:00:00,6_1329,5_9277,3_9687,1_9084,1_4919,1_011,0_81304,0_75212,0_74456,0_7616,0_74058,0_72721
