Time [yyyy-MM-dd HH:mm:ss];Water level at (PanKan2_B_A_B_ 0) [m AD];Water level at (PanKan2_B_A_A_ 1966_775) [m AD];Water level at (PanKan2_A_ 3170_907) [m AD]
27-12-99 00:00;6.8765;6.8765;8.0822
27-12-99 01:00;7.4728;7.4728;7.5206
27-12-99 02:00;7.4028;7.4028;7.4863
27-12-99 03:00;7.4331;7.4331;7.5481
27-12-99 04:00;7.5723;7.5723;7.7266
27-12-99 05:00;7.7995;7.7995;7.9883
27-12-99 06:00;8.0701;8.0701;8.2817
27-12-99 07:00;8.3548;8.3548;8.5797
27-12-99 08:00;8.6293;8.6293;8.8621
27-12-99 09:00;8.8765;8.8765;9.1155
27-12-99 10:00;9.0961;9.0961;9.3384
27-12-99 11:00;9.2905;9.2905;9.5341
27-12-99 12:00;9.4621;9.4621;9.7063
27-12-99 13:00;9.6145;9.6145;9.8591
27-12-99 14:00;9.7512;9.7512;9.9959
27-12-99 15:00;9.8748;9.8748;10.119
27-12-99 16:00;9.9866;9.9866;10.231
27-12-99 17:00;10.087;10.087;10.33
27-12-99 18:00;10.177;10.177;10.42
27-12-99 19:00;10.261;10.261;10.502
27-12-99 20:00;10.34;10.34;10.579
27-12-99 21:00;10.412;10.412;10.65
27-12-99 22:00;10.479;10.479;10.715
27-12-99 23:00;10.54;10.54;10.775
28-12-99 00:00;10.597;10.597;10.83
28-12-99 01:00;10.649;10.649;10.881
28-12-99 02:00;10.698;10.698;10.928
28-12-99 03:00;10.742;10.742;10.971
28-12-99 04:00;10.784;10.784;11.011
28-12-99 05:00;10.823;10.823;11.049
28-12-99 06:00;10.859;10.859;11.083
28-12-99 07:00;10.892;10.892;11.116
28-12-99 08:00;10.923;10.923;11.146
28-12-99 09:00;10.952;10.952;11.174
28-12-99 10:00;10.979;10.979;11.2
28-12-99 11:00;11.005;11.005;11.224
28-12-99 12:00;11.029;11.029;11.247
28-12-99 13:00;11.052;11.052;11.269
28-12-99 14:00;11.073;11.073;11.289
28-12-99 15:00;11.093;11.093;11.308
28-12-99 16:00;11.111;11.111;11.326
28-12-99 17:00;11.129;11.129;11.343
28-12-99 18:00;11.146;11.146;11.359
28-12-99 19:00;11.161;11.161;11.374
28-12-99 20:00;11.176;11.176;11.388
28-12-99 21:00;11.19;11.19;11.401
28-12-99 22:00;11.203;11.203;11.414
28-12-99 23:00;11.215;11.215;11.425
29-12-99 00:00;11.227;11.227;11.436
29-12-99 01:00;11.237;11.237;11.447
29-12-99 02:00;11.248;11.248;11.456
29-12-99 03:00;11.257;11.257;11.465
29-12-99 04:00;11.266;11.266;11.474
29-12-99 05:00;11.275;11.275;11.482
29-12-99 06:00;11.283;11.283;11.49
29-12-99 07:00;11.29;11.29;11.497
29-12-99 08:00;11.298;11.298;11.504
29-12-99 09:00;11.304;11.304;11.51
29-12-99 10:00;11.311;11.311;11.516
29-12-99 11:00;11.317;11.317;11.522
29-12-99 12:00;11.323;11.323;11.527
29-12-99 13:00;11.328;11.328;11.533
29-12-99 14:00;11.333;11.333;11.537
29-12-99 15:00;11.338;11.338;11.542
29-12-99 16:00;11.343;11.343;11.546
29-12-99 17:00;11.347;11.347;11.551
29-12-99 18:00;11.351;11.351;11.555
29-12-99 19:00;11.355;11.355;11.558
29-12-99 20:00;11.359;11.359;11.562
29-12-99 21:00;11.362;11.362;11.565
29-12-99 22:00;11.366;11.366;11.568
29-12-99 23:00;11.369;11.369;11.571
30-12-99 00:00;11.372;11.372;11.574
30-12-99 01:00;11.375;11.375;11.577
30-12-99 02:00;11.377;11.377;11.579
30-12-99 03:00;11.38;11.38;11.582
30-12-99 04:00;11.382;11.382;11.584
30-12-99 05:00;11.384;11.384;11.586
30-12-99 06:00;11.387;11.387;11.588
30-12-99 07:00;11.389;11.389;11.59
30-12-99 08:00;11.391;11.391;11.592
30-12-99 09:00;11.392;11.392;11.594
30-12-99 10:00;11.394;11.394;11.595
30-12-99 11:00;11.396;11.396;11.597
30-12-99 12:00;11.397;11.397;11.598
30-12-99 13:00;11.398;11.398;11.598
30-12-99 14:00;11.399;11.399;11.599
30-12-99 15:00;11.4;11.4;11.601
30-12-99 16:00;11.401;11.401;11.602
30-12-99 17:00;11.403;11.403;11.603
30-12-99 18:00;11.404;11.404;11.604
30-12-99 19:00;11.405;11.405;11.605
30-12-99 20:00;11.406;11.406;11.606
30-12-99 21:00;11.407;11.407;11.607
30-12-99 22:00;11.408;11.408;11.608
30-12-99 23:00;11.409;11.409;11.609
31-12-99 00:00;11.41;11.41;11.61
31-12-99 01:00;11.411;11.411;11.611
31-12-99 02:00;11.411;11.411;11.612
31-12-99 03:00;11.412;11.412;11.612
31-12-99 04:00;11.413;11.413;11.613
31-12-99 05:00;11.413;11.413;11.614
31-12-99 06:00;11.414;11.414;11.614
31-12-99 07:00;11.415;11.415;11.615
31-12-99 08:00;11.415;11.415;11.615
31-12-99 09:00;11.416;11.416;11.616
31-12-99 10:00;11.416;11.416;11.616
31-12-99 11:00;11.417;11.417;11.617
31-12-99 12:00;11.417;11.417;11.617
31-12-99 13:00;11.418;11.418;11.618
31-12-99 14:00;11.418;11.418;11.618
31-12-99 15:00;11.418;11.418;11.618
31-12-99 16:00;11.419;11.419;11.619
31-12-99 17:00;11.419;11.419;11.619
31-12-99 18:00;11.42;11.42;11.619
31-12-99 19:00;11.42;11.42;11.62
31-12-99 20:00;11.42;11.42;11.62
31-12-99 21:00;11.42;11.42;11.62
31-12-99 22:00;11.421;11.421;11.62
31-12-99 23:00;11.421;11.421;11.621
01-01-00 00:00;11.421;11.421;11.621
01-01-00 01:00;11.421;11.421;11.621
01-01-00 02:00;11.422;11.422;11.621
01-01-00 03:00;11.422;11.422;11.622
01-01-00 04:00;11.422;11.422;11.622
01-01-00 05:00;11.422;11.422;11.622
01-01-00 06:00;11.422;11.422;11.622
01-01-00 07:00;11.422;11.422;11.622
01-01-00 08:00;11.422;11.422;11.622
01-01-00 09:00;11.422;11.422;11.621
01-01-00 10:00;11.421;11.421;11.62
01-01-00 11:00;11.42;11.42;11.619
01-01-00 12:00;11.419;11.419;11.618
01-01-00 13:00;11.418;11.418;11.617
01-01-00 14:00;11.416;11.416;11.615
01-01-00 15:00;11.414;11.414;11.613
01-01-00 16:00;11.413;11.413;11.611
01-01-00 17:00;11.41;11.41;11.609
01-01-00 18:00;11.408;11.408;11.607
01-01-00 19:00;11.406;11.406;11.604
01-01-00 20:00;11.403;11.403;11.601
01-01-00 21:00;11.4;11.4;11.599
01-01-00 22:00;11.397;11.397;11.596
01-01-00 23:00;11.394;11.394;11.592
02-01-00 00:00;11.391;11.391;11.589
02-01-00 01:00;11.388;11.388;11.585
02-01-00 02:00;11.384;11.384;11.582
02-01-00 03:00;11.38;11.38;11.578
02-01-00 04:00;11.377;11.377;11.574
02-01-00 05:00;11.373;11.373;11.571
02-01-00 06:00;11.37;11.37;11.567
02-01-00 07:00;11.367;11.367;11.564
02-01-00 08:00;11.364;11.364;11.562
02-01-00 09:00;11.362;11.362;11.56
02-01-00 10:00;11.36;11.36;11.558
02-01-00 11:00;11.359;11.359;11.557
02-01-00 12:00;11.359;11.359;11.557
02-01-00 13:00;11.359;11.359;11.557
02-01-00 14:00;11.36;11.36;11.558
02-01-00 15:00;11.361;11.361;11.559
02-01-00 16:00;11.362;11.362;11.561
02-01-00 17:00;11.365;11.365;11.564
02-01-00 18:00;11.367;11.367;11.566
02-01-00 19:00;11.37;11.37;11.57
02-01-00 20:00;11.374;11.374;11.573
02-01-00 21:00;11.378;11.378;11.577
02-01-00 22:00;11.382;11.382;11.582
02-01-00 23:00;11.387;11.387;11.587
03-01-00 00:00;11.392;11.392;11.592
03-01-00 01:00;11.397;11.397;11.598
03-01-00 02:00;11.403;11.403;11.603
03-01-00 03:00;11.409;11.409;11.61
03-01-00 04:00;11.415;11.415;11.616
03-01-00 05:00;11.421;11.421;11.622
03-01-00 06:00;11.426;11.426;11.628
03-01-00 07:00;11.432;11.432;11.633
03-01-00 08:00;11.437;11.437;11.638
03-01-00 09:00;11.442;11.442;11.643
03-01-00 10:00;11.445;11.445;11.647
03-01-00 11:00;11.449;11.449;11.65
03-01-00 12:00;11.452;11.452;11.652
03-01-00 13:00;11.454;11.454;11.654
03-01-00 14:00;11.455;11.455;11.656
03-01-00 15:00;11.456;11.456;11.657
03-01-00 16:00;11.457;11.457;11.657
03-01-00 17:00;11.457;11.457;11.656
03-01-00 18:00;11.456;11.456;11.656
03-01-00 19:00;11.455;11.455;11.654
03-01-00 20:00;11.453;11.453;11.652
03-01-00 21:00;11.451;11.451;11.65
03-01-00 22:00;11.449;11.449;11.647
03-01-00 23:00;11.446;11.446;11.644
04-01-00 00:00;11.443;11.443;11.64
04-01-00 01:00;11.439;11.439;11.636
04-01-00 02:00;11.435;11.435;11.632
04-01-00 03:00;11.43;11.43;11.627
04-01-00 04:00;11.426;11.426;11.623
04-01-00 05:00;11.421;11.421;11.618
04-01-00 06:00;11.416;11.416;11.612
04-01-00 07:00;11.411;11.411;11.607
04-01-00 08:00;11.406;11.406;11.602
04-01-00 09:00;11.402;11.402;11.597
04-01-00 10:00;11.397;11.397;11.593
04-01-00 11:00;11.393;11.393;11.588
04-01-00 12:00;11.389;11.389;11.584
04-01-00 13:00;11.385;11.385;11.58
04-01-00 14:00;11.381;11.381;11.576
