Time [yyyy-MM-dd HH:mm:ss],Water level at (Nederrijn2_B_B_A_ 1391_845) [m AD],Water level at (Nederrijn2_B_B_B_A_ 3505_57) [m AD],Water level at (Nederrijn3_A_ 1827_002) [m AD],Water level at (Nederrijn4_A_ 1827_371) [m AD],Water level at (Nederrijn5_A_ 4152_493) [m AD],Water level at (Nederrijn5_B_A_ 2885_263) [m AD],Water level at (Lek1_A_ 798_446) [m AD],Water level at (Lek1_B_A_B_ 6464_568) [m AD],Water level at (Lek1_B_B_A_ 2799_537) [m AD],Water level at (Lek1_B_B_B_A_ 2069_848) [m AD],Water level at (Lek2_A_ 1127_328) [m AD],Water level at (Lek5_A_ 1168_231) [m AD],Water level at (Lek5_B_A_ 518_413) [m AD],Water level at (Lek5_B_B_A_ 6532_566) [m AD],Water level at (Lek5_B_B_B_ 1148_533) [m AD],Water level at (Lek7_A_A_ 2309_808) [m AD],Water level at (Lek7_A_B_ 5537_858) [m AD],Water level at (Lek7_B_A_ 4012_41) [m AD]
1999-12-27 00:00:00,8_1112,7_3818,4_6943,5_5272,3_5517,3_0694,1_616,-0_92331,-0_48069,-2_1505,-1_5029,-2_6856,-2_6389,-3_2216,-3_7783,-6_743,-6_0153,-5_855
1999-12-27 01:00:00,7_1596,7_0098,5_1591,4_3763,3_4616,3_0704,1_6916,-0_94216,-1_3373,-1_7526,-2_017,-2_2609,-2_4401,-3_4209,-3_7042,-5_2274,-6_0076,-6_041
1999-12-27 02:00:00,6_9562,6_7634,5_1793,4_2921,3_3166,2_9759,1_82,-0_47674,-1_0908,-1_7707,-2_0615,-2_2705,-2_4206,-3_3196,-3_5659,-4_5323,-6_0281,-6_0261
1999-12-27 03:00:00,6_8406,6_6149,5_1099,4_2298,3_2495,2_9205,1_8754,-0_14971,-0_78083,-1_5754,-1_971,-2_2287,-2_3864,-3_2347,-3_4456,-4_2152,-5_7339,-6_0135
1999-12-27 04:00:00,6_7975,6_5267,5_02,4_1581,3_1961,2_878,1_8948,0_028897,-0_57533,-1_3459,-1_7885,-2_0947,-2_2658,-3_1445,-3_3388,-4_0167,-5_2933,-5_9062
1999-12-27 05:00:00,6_8286,6_4966,4_9312,4_0819,3_1424,2_8364,1_8958,0_12815,-0_44404,-1_1535,-1_5944,-1_9232,-2_0975,-3_0176,-3_2102,-3_8617,-4_9578,-5_644
1999-12-27 06:00:00,6_9288,6_5257,4_8536,4_0078,3_0872,2_7922,1_8843,0_18541,-0_35669,-1_0055,-1_4259,-1_7569,-1_9255,-2_8585,-3_0538,-3_7137,-4_7064,-5_3199
1999-12-27 07:00:00,7_0852,6_6125,4_7939,3_9414,3_0321,2_7459,1_864,0_2189,-0_29637,-0_89409,-1_2906,-1_6138,-1_773,-2_6889,-2_8846,-3_5563,-4_4858,-5_0159
1999-12-27 08:00:00,7_2765,6_7474,4_7579,3_8876,2_9796,2_6993,1_8374,0_23708,-0_25481,-0_8108,-1_1848,-1_4968,-1_6461,-2_5282,-2_7203,-3_3938,-4_273,-4_7514
1999-12-27 09:00:00,7_4785,6_9141,4_7499,3_8507,2_9329,2_6546,1_8069,0_24444,-0_22721,-0_749,-1_1029,-1_403,-1_5433,-2_3869,-2_5729,-3_2355,-4_0697,-4_5241
