Time [yyyy-MM-dd HH:mm:ss];Water level at (IJssel02_B_B_A_ 3217_346) [m AD];Water level at (IJssel03_A_ 1522_164) [m AD];Water level at (IJssel03_B_A_ 12530_57) [m AD];Water level at (IJssel03_B_B_A_ 491_564) [m AD];Water level at (IJssel03_B_B_B_A_ 7027_466) [m AD];Water level at (IJssel05_A_ 3094_672) [m AD];Water level at (IJssel06_A_ 1402_453) [m AD];Water level at (IJssel06_B_A_ 729_084) [m AD];Water level at (IJssel06_B_B_A_ 2698_613) [m AD];Water level at (IJssel06_B_B_B_A_ 2605_797) [m AD];Water level at (IJssel06_B_B_B_B_A_ 957_632) [m AD];Water level at (IJssel07_A_ 655_737) [m AD];Water level at (IJssel07_B_A_ 2728_796) [m AD];Water level at (IJssel09_A_ 3283_163) [m AD]
27-12-99 00:00;6.8056;4.4515;3.11;3.2387;0;1.1006;0.12221;-0.03758;-0.22538;-0.80039;-0.74911;-1.8806;-2.5259;-2.0417
27-12-99 01:00;6.6733;5.0157;3.223;3.1709;2.3637;0.72168;0.17838;0.095794;-0.23073;-0.49124;-0.57214;-1.5062;-1.9949;-2.276
27-12-99 02:00;6.5265;5.2444;3.2972;3.2345;2.4122;0.97808;0.28302;0.18484;-0.16466;-0.42299;-0.50383;-1.4149;-1.8039;-2.3487
27-12-99 03:00;6.4299;5.3564;3.4577;3.3901;2.5067;1.099;0.42745;0.32335;-0.059806;-0.33754;-0.42253;-1.3163;-1.6778;-2.3661
27-12-99 04:00;6.376;5.4106;3.604;3.5357;2.6262;1.2052;0.55152;0.44778;0.057901;-0.23061;-0.31955;-1.2201;-1.5715;-2.3649
27-12-99 05:00;6.3624;5.4374;3.7164;3.6496;2.748;1.3111;0.66749;0.56467;0.17528;-0.11689;-0.20796;-1.1194;-1.47;-2.2149
27-12-99 06:00;6.3884;5.4544;3.7996;3.735;2.8575;1.4191;0.78179;0.67968;0.29202;-0.0012573;-0.093706;-1.014;-1.3671;-1.9117
27-12-99 07:00;6.4441;5.4725;3.8627;3.8003;2.9505;1.527;0.89609;0.79464;0.40865;0.11462;0.021028;-0.90578;-1.2558;-1.5646
27-12-99 08:00;6.5219;5.4981;3.9144;3.8536;3.0289;1.6316;1.0093;0.90871;0.52495;0.23095;0.13671;-0.78937;-1.1193;-1.2544
27-12-99 09:00;6.6194;5.5348;3.9614;3.9019;3.0973;1.728;1.1169;1.0192;0.64027;0.34795;0.25379;-0.65256;-0.93911;-0.99745
27-12-99 10:00;6.7337;5.5846;4.009;3.9501;3.1597;1.7993;1.1916;1.0993;0.74117;0.45993;0.3684;-0.48578;-0.71813;-0.78264
27-12-99 11:00;6.857;5.6489;4.0606;4.0019;3.2188;1.8716;1.27;1.18;0.83332;0.56402;0.47685;-0.29971;-0.48971;-0.5945
27-12-99 12:00;6.9843;5.7276;4.1186;4.0597;3.2775;1.9426;1.3511;1.2631;0.92677;0.66941;0.58685;-0.11657;-0.28145;-0.42995
27-12-99 13:00;7.1122;5.8192;4.1849;4.1253;3.3386;2.0131;1.434;1.3482;1.0229;0.77753;0.69941;0.050443;-0.10346;-0.30666
27-12-99 14:00;7.2389;5.9218;4.26;4.1996;3.4042;2.0841;1.5182;1.4348;1.1206;0.88617;0.81175;0.19511;0.041106;-0.24227
27-12-99 15:00;7.3633;6.0328;4.3442;4.2827;3.4757;2.1569;1.6035;1.5223;1.218;0.99211;0.92025;0.31673;0.15727;-0.20596
27-12-99 16:00;7.4846;6.1498;4.4367;4.3741;3.5538;2.2325;1.6895;1.6102;1.3135;1.0933;1.0229;0.42167;0.25561;-0.17321
27-12-99 17:00;7.6024;6.2701;4.5365;4.4727;3.6387;2.3116;1.7763;1.6982;1.4066;1.1897;1.12;0.5158;0.34358;-0.1337
27-12-99 18:00;7.7162;6.3924;4.6418;4.577;3.7298;2.3943;1.8641;1.7867;1.4979;1.2826;1.2131;0.60382;0.42649;-0.093541
27-12-99 19:00;7.8255;6.5152;4.7514;4.6857;3.8263;2.481;1.9533;1.8762;1.5885;1.3736;1.3039;0.68833;0.50634;-0.053692
27-12-99 20:00;7.9298;6.637;4.8634;4.797;3.9274;2.5716;2.0444;1.9674;1.6794;1.464;1.3938;0.77038;0.58393;-0.013957
27-12-99 21:00;8.0293;6.7565;4.9766;4.9095;4.0316;2.6659;2.138;2.0607;1.7714;1.5547;1.4838;0.85085;0.65996;0.025742
27-12-99 22:00;8.1242;6.873;5.0904;5.0228;4.1375;2.7638;2.2343;2.1565;1.8651;1.6463;1.5746;0.93096;0.73539;0.06561
27-12-99 23:00;8.2145;6.9857;5.2037;5.1357;4.2442;2.8646;2.3333;2.2548;1.9608;1.7396;1.6669;1.0115;0.81104;0.10595
