Time [yyyy-MM-dd HH:mm:ss],Discharge at (29_A_A_ 1743_394) [m³/s],Discharge at (29_B_A_ 2002_367) [m³/s],Discharge at (29_B_B_ 761_6985) [m³/s],Discharge at (29_B_C_A_ 2020_122) [m³/s],Discharge at (31_A_A_ 273_397) [m³/s],Discharge at (31_A_A_ 820_191) [m³/s],Discharge at (31_A_B_A_A_ 1984_244) [m³/s],Discharge at (31_A_B_A_B_ 1596_558) [m³/s],Discharge at (31_A_B_B_ 3196_43) [m³/s],Discharge at (31_B_ 1768_658) [m³/s],Discharge at (51_A_A_ 3520_258) [m³/s]
1999-12-27 00:00:00,6078_3,6083_6,6083_7,5454_5,5133_9,6084_2,6084_3,4705_1,6086_8,6087_1,4681_1
1999-12-27 01:00:00,5270_2,4010_5,3921_7,3706_6,2771_7,2715_8,2515_7,2327_5,2134_3,1799,1734
1999-12-27 02:00:00,5289_1,4414_3,4358_3,4212_7,3564_9,3521_3,3359_4,3117,2805_5,2437_1,2173_8
1999-12-27 03:00:00,5303_2,4637_4,4599_1,4493_6,4017_3,3980_9,3746_2,3557_4,3312_1,2997_4,2764_5
1999-12-27 04:00:00,5312_7,4775_8,4744_5,4651_6,4222_8,4190_8,4074_7,3900_3,3671_1,3407_8,3214_5
1999-12-27 05:00:00,5318_3,4876_8,4851_5,4772_9,4419_7,4394,4301_9,4164_7,3965_2,3738_3,3577_9
1999-12-27 06:00:00,5322_2,4956_5,4935_7,4869_8,4575_9,4555_4,4482_9,4375_3,4221_3,4033_9,3898_3
1999-12-27 07:00:00,5325_4,5024_3,5007_8,4934,4699_6,4683_6,4627,4540_8,4417_8,4260_8,4144_5
1999-12-27 08:00:00,5328_1,5082_1,5069_1,4982,4792_4,4779_6,4734_1,4662_7,4559_5,4426_2,4327_7
1999-12-27 09:00:00,5330_5,5129_5,5118_9,5019_4,4863_1,4852_6,4814_9,4755_1,4667_6,4554_2,4471_8
1999-12-27 10:00:00,5332_5,5167_7,5158_9,5049_3,4919_3,4910_5,4878_7,4828_1,4753_3,4655_6,4585_8
1999-12-27 11:00:00,5334_2,5194_8,5186_9,5065_7,4973_4,4965_3,4936_2,4891_4,4824_5,4737_9,4677_5
1999-12-27 12:00:00,5335_5,5213_9,5206_9,5074_2,5027_4,5020_1,4993_1,4952_5,4890_8,4811_3,4757
1999-12-27 13:00:00,5336_8,5231_8,5225_8,5081,5073_8,5067_4,5043_2,5007_1,4951_4,4878_6,4829_8
1999-12-27 14:00:00,5337_2,5246_3,5241_1,5083_2,5109_8,5104_1,5082_3,5050_4,5000_4,4934_5,4890_3
1999-12-27 15:00:00,5337_9,5259_4,5254_8,5083_8,5138_9,5133_7,5114,5086,5041_9,4982_9,4943_4
1999-12-27 16:00:00,5338_5,5270_4,5266_4,5082_5,5163_4,5158_7,5140_6,5115_4,5076_2,5023_4,4988_2
1999-12-27 17:00:00,5339,5279_7,5276_1,5080_1,5184_3,5180,5163_5,5140_8,5105_4,5057_9,5026_3
1999-12-27 18:00:00,5339_4,5288_2,5285_1,5078_3,5200_9,5197_2,5182_6,5162_4,5130_8,5087_8,5059_1
1999-12-27 19:00:00,5339_8,5295_4,5292_6,5075_8,5215_6,5212_2,5198_8,5180_6,5152_1,5113,5087_1
