Time [yyyy-MM-dd HH:mm:ss];ObservationPoint1: Discharge at (Bovenrijn_B_B_ 1855_014)_ Flow1D [m³/s];ObservationPoint2: Discharge at (PanKan1_ 246_5)_ Flow1D [m³/s];ObservationPoint3: Discharge at (Waal1_ 251)_ Flow1D [m³/s]
29-12-99 00:00;3577;1119.7;2460
29-12-99 01:00;4755.1;935.68;3833.4
29-12-99 02:00;4409.1;1030.8;3372.7
29-12-99 03:00;4367.9;1120.8;3239.9
29-12-99 04:00;4376.7;1171;3199.3
29-12-99 05:00;4389.9;1205;3179.5
29-12-99 06:00;4402.9;1229.6;3168.7
29-12-99 07:00;4413.8;1248.3;3161.6
29-12-99 08:00;4422.6;1263;3156.4
29-12-99 09:00;4429.7;1274.8;3152.2
29-12-99 10:00;4435.5;1284.6;3148.5
29-12-99 11:00;4440.2;1292.8;3145.4
29-12-99 12:00;4444.2;1299.7;3142.6
29-12-99 13:00;4447.4;1305.7;3140.2
29-12-99 14:00;4450.2;1310.8;3137.9
29-12-99 15:00;4452.5;1315.3;3136
29-12-99 16:00;4454.6;1319.2;3134.2
29-12-99 17:00;4456.4;1322.7;3132.7
29-12-99 18:00;4457.9;1325.7;3131.3
29-12-99 19:00;4459.2;1328.3;3130.1
29-12-99 20:00;4460.4;1330.7;3129
29-12-99 21:00;4461.5;1332.8;3128
29-12-99 22:00;4462.4;1334.7;3127.1
29-12-99 23:00;4463.2;1336.4;3126.3
30-12-99 00:00;4463.9;1337.9;3125.5
30-12-99 01:00;4464.5;1339.2;3124.9
30-12-99 02:00;4465.1;1340.5;3124.2
30-12-99 03:00;4465.6;1341.6;3123.7
30-12-99 04:00;4466.1;1342.5;3123.2
30-12-99 05:00;4466.5;1343.4;3122.8
30-12-99 06:00;4466.9;1344.3;3122.4
30-12-99 07:00;4467.2;1345;3122
30-12-99 08:00;4467.6;1345.7;3121.7
30-12-99 09:00;4467.8;1346.3;3121.4
30-12-99 10:00;4468.1;1346.8;3121.1
30-12-99 11:00;4468.4;1347.3;3120.8
30-12-99 12:00;4468.6;1347.8;3120.6
30-12-99 13:00;4468.8;1348.2;3120.4
30-12-99 14:00;4469;1348.6;3120.2
30-12-99 15:00;4469.1;1348.9;3120.1
30-12-99 16:00;4469.3;1349.2;3119.9
30-12-99 17:00;4469.4;1349.5;3119.8
