Time [yyyy-MM-dd HH:mm:ss];ObservationPoint4: Discharge at (PanKan2_B_B_ 2811_477)_ Flow1D [m³/s];ObservationPoint6: Discharge at (Nederrijn1_ 251)_ Flow1D [m³/s];ObservationPoint5: Discharge at (IJssel01_ 250_5)_ Flow1D [m³/s]
29-12-99 00:00;1143.6;689.74;454.87
29-12-99 01:00;1090.8;679.57;417.05
29-12-99 02:00;1041.3;631.94;411.42
29-12-99 03:00;1085.8;655.12;430.19
29-12-99 04:00;1131.1;677.4;452.61
29-12-99 05:00;1167.6;694.62;471.82
29-12-99 06:00;1196.7;707.89;487.7
29-12-99 07:00;1220;718.15;500.77
29-12-99 08:00;1238.7;726.24;511.56
29-12-99 09:00;1254;732.67;520.53
29-12-99 10:00;1266.7;737.9;528.08
29-12-99 11:00;1277.4;742.22;534.49
29-12-99 12:00;1286.4;745.84;539.98
29-12-99 13:00;1294.1;748.92;544.69
29-12-99 14:00;1300.8;751.54;548.79
29-12-99 15:00;1306.6;753.8;552.37
29-12-99 16:00;1311.7;755.76;555.51
29-12-99 17:00;1316.1;757.47;558.27
29-12-99 18:00;1320;758.96;560.7
29-12-99 19:00;1323.4;760.28;562.85
29-12-99 20:00;1326.5;761.44;564.75
29-12-99 21:00;1329.2;762.48;566.44
29-12-99 22:00;1331.6;763.4;567.95
29-12-99 23:00;1333.7;764.23;569.29
30-12-99 00:00;1335.7;764.98;570.5
30-12-99 01:00;1337.4;765.65;571.58
30-12-99 02:00;1339;766.26;572.55
30-12-99 03:00;1340.4;766.81;573.42
30-12-99 04:00;1341.7;767.31;574.21
30-12-99 05:00;1342.8;767.76;574.92
30-12-99 06:00;1343.9;768.17;575.57
30-12-99 07:00;1344.8;768.55;576.15
30-12-99 08:00;1345.7;768.89;576.68
30-12-99 09:00;1346.5;769.2;577.16
30-12-99 10:00;1347.2;769.48;577.6
30-12-99 11:00;1347.8;769.74;578
30-12-99 12:00;1348.4;769.98;578.37
30-12-99 13:00;1349;770.2;578.7
30-12-99 14:00;1349.5;770.39;579
30-12-99 15:00;1349.9;770.57;579.28
30-12-99 16:00;1350.3;770.74;579.54
30-12-99 17:00;1350.7;770.88;579.77
30-12-99 18:00;1351;771.02;579.98
30-12-99 19:00;1351.4;771.14;580.18
30-12-99 20:00;1351.7;771.25;580.36
30-12-99 21:00;1351.9;771.36;580.52
30-12-99 22:00;1352.2;771.45;580.68
30-12-99 23:00;1352.4;771.53;580.82
31-12-99 00:00;1352.6;771.61;580.95
31-12-99 01:00;1352.8;771.68;581.07
31-12-99 02:00;1352.9;771.74;581.18
31-12-99 03:00;1353.1;771.79;581.28
31-12-99 04:00;1353.2;771.84;581.38
31-12-99 05:00;1353.4;771.89;581.47
31-12-99 06:00;1353.5;771.93;581.55
31-12-99 07:00;1353.6;771.97;581.63
31-12-99 08:00;1353.7;772;581.7
31-12-99 09:00;1353.8;772.03;581.77
31-12-99 10:00;1353.9;772.05;581.83
31-12-99 11:00;1354;772.08;581.89
31-12-99 12:00;1354.1;772.1;581.94
31-12-99 13:00;1354.1;772.12;582
31-12-99 14:00;1354.2;772.13;582.05
31-12-99 15:00;1354.2;772.15;582.09
31-12-99 16:00;1354.3;772.16;582.14
31-12-99 17:00;1354.4;772.17;582.18
31-12-99 18:00;1354.4;772.18;582.22
31-12-99 19:00;1354.4;772.19;582.25
31-12-99 20:00;1354.5;772.19;582.29
31-12-99 21:00;1354.5;772.2;582.32
31-12-99 22:00;1354.6;772.2;582.35
31-12-99 23:00;1354.6;772.21;582.38
01-01-00 00:00;1354.6;772.21;582.41
01-01-00 01:00;1354.6;772.2;582.44
01-01-00 02:00;1354.6;772.16;582.44
01-01-00 03:00;1354.5;772.1;582.42
01-01-00 04:00;1354.4;772.03;582.39
01-01-00 05:00;1354.3;771.96;582.36
01-01-00 06:00;1354.2;771.88;582.32
01-01-00 07:00;1354.1;771.8;582.28
01-01-00 08:00;1353.9;771.72;582.23
01-01-00 09:00;1353.8;771.63;582.18
01-01-00 10:00;1353.7;771.54;582.13
01-01-00 11:00;1353.5;771.45;582.07
01-01-00 12:00;1353.4;771.36;582.01
01-01-00 13:00;1353.2;771.27;581.95
01-01-00 14:00;1353.1;771.17;581.89
01-01-00 15:00;1352.9;771.08;581.83
01-01-00 16:00;1352.7;770.98;581.77
01-01-00 17:00;1352.6;770.88;581.71
01-01-00 18:00;1352.4;770.78;581.65
01-01-00 19:00;1352.2;770.68;581.58
01-01-00 20:00;1352.1;770.58;581.52
01-01-00 21:00;1351.9;770.48;581.45
01-01-00 22:00;1351.7;770.37;581.38
01-01-00 23:00;1351.6;770.27;581.32
02-01-00 00:00;1351.4;770.17;581.25
02-01-00 01:00;1351.2;770.04;581.17
02-01-00 02:00;1350.9;769.84;581.04
02-01-00 03:00;1350.4;769.6;580.87
02-01-00 04:00;1350;769.34;580.69
02-01-00 05:00;1349.5;769.06;580.48
02-01-00 06:00;1349;768.78;580.27
02-01-00 07:00;1348.5;768.49;580.05
02-01-00 08:00;1348;768.19;579.82
02-01-00 09:00;1347.4;767.89;579.58
02-01-00 10:00;1346.9;767.58;579.34
02-01-00 11:00;1346.3;767.27;579.09
02-01-00 12:00;1345.7;766.95;578.84
02-01-00 13:00;1345.2;766.64;578.6
02-01-00 14:00;1344.6;766.32;578.35
02-01-00 15:00;1344;766;578.09
02-01-00 16:00;1343.5;765.68;577.84
02-01-00 17:00;1342.9;765.36;577.59
02-01-00 18:00;1342.3;765.03;577.33
02-01-00 19:00;1341.7;764.71;577.06
02-01-00 20:00;1341.1;764.4;576.76
02-01-00 21:00;1340.5;764.1;576.45
02-01-00 22:00;1339.9;763.81;576.11
02-01-00 23:00;1339.2;763.52;575.76
03-01-00 00:00;1338.6;763.24;575.39
03-01-00 01:00;1338.1;763.07;575.07
03-01-00 02:00;1338.4;763.34;575.03
03-01-00 03:00;1339;763.79;575.15
03-01-00 04:00;1339.8;764.35;575.38
03-01-00 05:00;1340.7;764.98;575.68
03-01-00 06:00;1341.8;765.66;576.04
03-01-00 07:00;1342.9;766.38;576.44
03-01-00 08:00;1344.1;767.14;576.88
03-01-00 09:00;1345.4;767.93;577.33
03-01-00 10:00;1346.7;768.75;577.81
03-01-00 11:00;1348;769.59;578.3
03-01-00 12:00;1349.4;770.45;578.8
03-01-00 13:00;1350.8;771.33;579.32
03-01-00 14:00;1352.2;772.23;579.84
03-01-00 15:00;1353.6;773.14;580.38
03-01-00 16:00;1355.1;774.06;580.92
03-01-00 17:00;1356.6;775;581.46
03-01-00 18:00;1358.1;775.95;582
03-01-00 19:00;1359.6;776.9;582.54
03-01-00 20:00;1361.1;777.88;583.08
03-01-00 21:00;1362.6;778.86;583.62
03-01-00 22:00;1364.2;779.85;584.16
03-01-00 23:00;1365.7;780.85;584.69
04-01-00 00:00;1367.2;781.86;585.22
04-01-00 01:00;1368.8;782.86;585.74
04-01-00 02:00;1370.1;783.78;586.2
04-01-00 03:00;1371.5;784.68;586.64
04-01-00 04:00;1372.8;785.56;587.06
04-01-00 05:00;1374.1;786.43;587.46
04-01-00 06:00;1375.3;787.31;587.85
04-01-00 07:00;1376.6;788.18;588.23
04-01-00 08:00;1377.8;789.05;588.6
04-01-00 09:00;1379;789.91;588.96
