Time [yyyy-MM-dd HH:mm:ss];ObservationPoint1: Discharge at (Bovenrijn_B_B_ 1855_014)_ Flow1D [m³/s];ObservationPoint3: Discharge at (Waal1_ 251)_ Flow1D [m³/s];ObservationPoint2: Discharge at (PanKan1_ 246_5)_ Flow1D [m³/s]
29-12-99 00:00;3577;2460;1119.7
29-12-99 01:00;4662.6;3776.2;902.58
29-12-99 02:00;4300.4;3300.9;995.21
29-12-99 03:00;4252.9;3162;1084.6
29-12-99 04:00;4258.8;3119;1133.9
29-12-99 05:00;4270.2;3098.1;1167.1
29-12-99 06:00;4281.9;3086.6;1191
29-12-99 07:00;4291.8;3079.2;1209.1
29-12-99 08:00;4299.9;3073.6;1223.3
29-12-99 09:00;4306.5;3069.2;1234.8
29-12-99 10:00;4311.8;3065.4;1244.2
29-12-99 11:00;4316.1;3062.2;1252.1
29-12-99 12:00;4319.7;3059.3;1258.8
29-12-99 13:00;4322.7;3056.8;1264.5
29-12-99 14:00;4325.2;3054.6;1269.4
29-12-99 15:00;4327.3;3052.6;1273.7
29-12-99 16:00;4329.2;3050.8;1277.4
29-12-99 17:00;4330.8;3049.2;1280.7
29-12-99 18:00;4332.1;3047.7;1283.6
29-12-99 19:00;4333.3;3046.5;1286.2
29-12-99 20:00;4334.4;3045.3;1288.4
29-12-99 21:00;4335.3;3044.3;1290.4
29-12-99 22:00;4336.1;3043.3;1292.2
29-12-99 23:00;4336.8;3042.5;1293.9
30-12-99 00:00;4337.5;3041.8;1295.3
30-12-99 01:00;4338.1;3041.1;1296.6
30-12-99 02:00;4338.6;3040.5;1297.8
30-12-99 03:00;4339;3039.9;1298.8
30-12-99 04:00;4339.4;3039.4;1299.8
30-12-99 05:00;4339.8;3039;1300.6
30-12-99 06:00;4340.2;3038.5;1301.4
30-12-99 07:00;4340.5;3038.2;1302.1
30-12-99 08:00;4340.8;3037.8;1302.7
30-12-99 09:00;4341;3037.5;1303.3
30-12-99 10:00;4341.2;3037.2;1303.8
30-12-99 11:00;4341.4;3037;1304.3
30-12-99 12:00;4341.6;3036.8;1304.7
30-12-99 13:00;4341.8;3036.6;1305.1
30-12-99 14:00;4342;3036.4;1305.5
30-12-99 15:00;4342.1;3036.2;1305.8
30-12-99 16:00;4342.3;3036;1306.1
30-12-99 17:00;4342.4;3035.9;1306.4
30-12-99 18:00;4342.5;3035.8;1306.6
30-12-99 19:00;4342.6;3035.6;1306.9
30-12-99 20:00;4342.7;3035.5;1307.1
30-12-99 21:00;4342.8;3035.4;1307.3
30-12-99 22:00;4342.9;3035.3;1307.5
