Time [yyyy-MM-dd HH:mm:ss];ObservationPoint4: Discharge at (PanKan2_B_B_ 2811_477)_ Flow1D [m³/s];ObservationPoint6: Discharge at (Nederrijn1_ 251)_ Flow1D [m³/s];ObservationPoint5: Discharge at (IJssel01_ 250_5)_ Flow1D [m³/s]
29-12-99 00:00;1143.6;689.74;454.87
29-12-99 01:00;1077.8;672.02;412.3
29-12-99 02:00;1017.3;618.78;401.07
29-12-99 03:00;1057.7;640.15;417.39
29-12-99 04:00;1100.3;661.17;438.35
29-12-99 05:00;1134.9;677.41;456.57
29-12-99 06:00;1162.5;689.85;471.72
29-12-99 07:00;1184.5;699.44;484.21
29-12-99 08:00;1202.3;706.95;494.54
29-12-99 09:00;1216.8;712.93;503.18
29-12-99 10:00;1228.9;717.78;510.46
29-12-99 11:00;1239;721.75;516.65
29-12-99 12:00;1247.5;725.05;521.96
29-12-99 13:00;1254.8;727.81;526.54
29-12-99 14:00;1261.1;730.14;530.52
29-12-99 15:00;1266.5;732.14;534
29-12-99 16:00;1271.2;733.87;537.06
29-12-99 17:00;1275.4;735.37;539.74
29-12-99 18:00;1279.1;736.69;542.1
29-12-99 19:00;1282.3;737.84;544.2
29-12-99 20:00;1285.1;738.86;546.07
29-12-99 21:00;1287.7;739.76;547.73
29-12-99 22:00;1290;740.56;549.22
29-12-99 23:00;1292;741.27;550.55
30-12-99 00:00;1293.8;741.91;551.75
30-12-99 01:00;1295.4;742.48;552.82
30-12-99 02:00;1296.9;742.98;553.79
30-12-99 03:00;1298.2;743.44;554.66
30-12-99 04:00;1299.4;743.85;555.45
30-12-99 05:00;1300.5;744.23;556.17
30-12-99 06:00;1301.5;744.56;556.82
30-12-99 07:00;1302.4;744.86;557.41
30-12-99 08:00;1303.2;745.13;557.95
30-12-99 09:00;1303.9;745.38;558.45
30-12-99 10:00;1304.6;745.6;558.9
30-12-99 11:00;1305.2;745.8;559.31
30-12-99 12:00;1305.7;745.97;559.69
30-12-99 13:00;1306.2;746.13;560.04
30-12-99 14:00;1306.7;746.28;560.36
30-12-99 15:00;1307.1;746.4;560.66
30-12-99 16:00;1307.5;746.52;560.93
30-12-99 17:00;1307.8;746.62;561.18
30-12-99 18:00;1308.2;746.71;561.41
30-12-99 19:00;1308.4;746.79;561.63
30-12-99 20:00;1308.7;746.87;561.83
30-12-99 21:00;1309;746.93;562.01
30-12-99 22:00;1309.2;746.99;562.18
30-12-99 23:00;1309.4;747.04;562.34
31-12-99 00:00;1309.6;747.08;562.49
31-12-99 01:00;1309.8;747.12;562.63
31-12-99 02:00;1309.9;747.15;562.76
31-12-99 03:00;1310.1;747.18;562.89
31-12-99 04:00;1310.2;747.2;563
31-12-99 05:00;1310.3;747.22;563.11
31-12-99 06:00;1310.5;747.24;563.21
31-12-99 07:00;1310.6;747.26;563.31
31-12-99 08:00;1310.7;747.27;563.4
31-12-99 09:00;1310.8;747.28;563.48
31-12-99 10:00;1310.9;747.28;563.57
31-12-99 11:00;1310.9;747.29;563.64
31-12-99 12:00;1311;747.29;563.72
31-12-99 13:00;1311.1;747.29;563.79
31-12-99 14:00;1311.1;747.29;563.85
31-12-99 15:00;1311.2;747.29;563.92
31-12-99 16:00;1311.3;747.28;563.98
31-12-99 17:00;1311.3;747.28;564.03
31-12-99 18:00;1311.4;747.28;564.09
31-12-99 19:00;1311.4;747.27;564.14
31-12-99 20:00;1311.5;747.26;564.19
31-12-99 21:00;1311.5;747.26;564.24
31-12-99 22:00;1311.5;747.25;564.29
31-12-99 23:00;1311.6;747.24;564.34
01-01-00 00:00;1311.6;747.23;564.38
01-01-00 01:00;1311.6;747.22;564.42
01-01-00 02:00;1311.6;747.17;564.44
01-01-00 03:00;1311.6;747.11;564.44
01-01-00 04:00;1311.5;747.05;564.44
01-01-00 05:00;1311.4;746.98;564.43
01-01-00 06:00;1311.3;746.91;564.41
01-01-00 07:00;1311.2;746.84;564.39
01-01-00 08:00;1311.1;746.76;564.37
01-01-00 09:00;1311;746.68;564.35
01-01-00 10:00;1310.9;746.6;564.32
01-01-00 11:00;1310.8;746.52;564.29
01-01-00 12:00;1310.7;746.44;564.26
01-01-00 13:00;1310.6;746.36;564.22
01-01-00 14:00;1310.5;746.28;564.19
01-01-00 15:00;1310.3;746.19;564.16
01-01-00 16:00;1310.2;746.11;564.12
01-01-00 17:00;1310.1;746.02;564.08
01-01-00 18:00;1310;745.93;564.04
01-01-00 19:00;1309.8;745.85;564.01
01-01-00 20:00;1309.7;745.76;563.97
01-01-00 21:00;1309.6;745.67;563.93
01-01-00 22:00;1309.5;745.58;563.88
01-01-00 23:00;1309.3;745.5;563.84
02-01-00 00:00;1309.2;745.41;563.8
02-01-00 01:00;1309.2;745.39;563.8
02-01-00 02:00;1309.6;745.65;563.97
02-01-00 03:00;1310.3;746.04;564.27
02-01-00 04:00;1311.2;746.48;564.63
02-01-00 05:00;1312.1;746.98;565.05
02-01-00 06:00;1313.1;747.5;565.51
02-01-00 07:00;1314.1;748.05;565.99
02-01-00 08:00;1315.2;748.62;566.5
02-01-00 09:00;1316.3;749.21;567.03
02-01-00 10:00;1317.5;749.82;567.57
02-01-00 11:00;1318.6;750.43;568.12
02-01-00 12:00;1319.8;751.07;568.68
02-01-00 13:00;1321.1;751.71;569.25
02-01-00 14:00;1322.3;752.37;569.83
02-01-00 15:00;1323.5;753.03;570.42
02-01-00 16:00;1324.8;753.71;571.01
02-01-00 17:00;1326.1;754.39;571.6
02-01-00 18:00;1327.4;755.08;572.19
02-01-00 19:00;1328.7;755.78;572.78
02-01-00 20:00;1329.9;756.5;573.34
02-01-00 21:00;1331.2;757.23;573.88
02-01-00 22:00;1332.5;757.98;574.4
02-01-00 23:00;1333.8;758.74;574.91
03-01-00 00:00;1335;759.52;575.41
03-01-00 01:00;1336.3;760.28;575.88
03-01-00 02:00;1337.4;760.97;576.3
03-01-00 03:00;1338.4;761.63;576.67
03-01-00 04:00;1339.4;762.29;577.02
03-01-00 05:00;1340.4;762.94;577.34
03-01-00 06:00;1341.3;763.58;577.64
03-01-00 07:00;1342.3;764.22;577.93
03-01-00 08:00;1343.2;764.87;578.21
03-01-00 09:00;1344.1;765.51;578.47
03-01-00 10:00;1345;766.15;578.73
03-01-00 11:00;1345.9;766.79;578.97
03-01-00 12:00;1346.8;767.44;579.21
03-01-00 13:00;1347.7;768.09;579.45
03-01-00 14:00;1348.5;768.74;579.68
03-01-00 15:00;1349.4;769.39;579.91
03-01-00 16:00;1350.3;770.05;580.13
03-01-00 17:00;1351.2;770.7;580.35
03-01-00 18:00;1352;771.36;580.56
03-01-00 19:00;1352.9;772.02;580.76
03-01-00 20:00;1353.8;772.68;580.96
03-01-00 21:00;1354.6;773.34;581.15
03-01-00 22:00;1355.5;774;581.34
03-01-00 23:00;1356.3;774.67;581.52
04-01-00 00:00;1357.2;775.34;581.7
04-01-00 01:00;1358.3;776.16;581.95
04-01-00 02:00;1360.3;777.57;582.58
