Time [yyyy-MM-dd HH:mm:ss];50872ObsUS: Discharge at (Bovenrijn_A_ 2011_391)_ Flow1D [m³/s];51042ObsUS: Discharge at (Waal6_B_B_B_B_A_ 1870_519)_ Flow1D [m³/s];983.00_LE: Discharge at (Lek8_A_ 2759_5)_ Flow1D [m³/s];977.00_IJ: Discharge at (IJssel09_B_ 100_375)_ Flow1D [m³/s]
29-12-99 00:00;3555.8;1379.5;954.1;830.08
29-12-99 01:00;4419.7;2643.6;539.82;839.14
29-12-99 02:00;4337.2;2721.9;660.14;832.98
29-12-99 03:00;4325.2;2743.2;754.31;833.18
29-12-99 04:00;4326;2711.6;777.59;833.86
29-12-99 05:00;4328.3;2629.7;788.31;833.93
29-12-99 06:00;4330.6;2544.4;794.09;833.14
29-12-99 07:00;4332.7;2477.8;796.41;831.57
29-12-99 08:00;4334.4;2434.3;796.31;829.37
29-12-99 09:00;4335.8;2412.5;794.44;826.7
29-12-99 10:00;4336.9;2408.2;791.24;823.7
29-12-99 11:00;4337.8;2417.2;787.06;820.46
29-12-99 12:00;4338.6;2435.4;782.21;817.06
29-12-99 13:00;4339.2;2459.8;776.95;813.53
29-12-99 14:00;4339.7;2487.8;771.52;809.9
29-12-99 15:00;4340.2;2517.9;766.1;806.19
29-12-99 16:00;4340.6;2548.7;760.84;802.43
29-12-99 17:00;4340.9;2579.5;755.86;798.63
29-12-99 18:00;4341.2;2609.5;751.23;794.81
29-12-99 19:00;4341.5;2638.5;746.99;791
29-12-99 20:00;4341.7;2666.1;742.99;787.2
29-12-99 21:00;4341.9;2692.3;738.86;783.45
29-12-99 22:00;4342.1;2713.6;735.56;779.75
29-12-99 23:00;4342.2;2733.7;732.89;776.14
30-12-99 00:00;4342.4;2753.3;730.72;772.61
30-12-99 01:00;4342.5;2771.9;728.97;769.16
30-12-99 02:00;4342.6;2789.4;727.58;765.8
30-12-99 03:00;4342.7;2805.8;726.53;762.54
30-12-99 04:00;4342.8;2821;725.75;759.38
30-12-99 05:00;4342.9;2835.1;725.22;756.31
30-12-99 06:00;4342.9;2848.3;724.91;753.33
30-12-99 07:00;4343;2860.4;724.77;750.46
30-12-99 08:00;4343.1;2871.6;724.79;747.66
30-12-99 09:00;4343.1;2881.9;724.93;744.94
30-12-99 10:00;4343.2;2891.4;725.18;742.31
30-12-99 11:00;4343.2;2900.2;725.52;739.73
30-12-99 12:00;4343.3;2908.2;725.94;737.22
30-12-99 13:00;4343.3;2915.5;726.41;734.79
30-12-99 14:00;4343.3;2922.3;726.92;732.41
30-12-99 15:00;4343.4;2928.5;727.47;730.09
30-12-99 16:00;4343.4;2934.2;728.03;727.83
30-12-99 17:00;4343.4;2939.4;728.62;725.67
30-12-99 18:00;4343.5;2944.2;729.21;723.59
30-12-99 19:00;4343.5;2948.6;729.81;721.6
30-12-99 20:00;4343.5;2952.6;730.4;719.68
30-12-99 21:00;4343.5;2956.3;730.99;717.82
30-12-99 22:00;4343.5;2959.6;731.56;716
30-12-99 23:00;4343.5;2962.7;732.13;714.24
31-12-99 00:00;4343.6;2965.5;732.67;712.52
31-12-99 01:00;4343.6;2968.1;733.21;710.87
31-12-99 02:00;4343.6;2970.5;733.72;709.27
31-12-99 03:00;4343.6;2972.7;734.22;707.72
