Time [yyyy-MM-dd HH:mm:ss];50872ObsUS: Discharge at (Bovenrijn_A_ 2011_391)_ Flow1D [m³/s];865.00_BR: Discharge at (Bovenrijn_B_B_ 193_757)_ Flow1D [m³/s]
29-12-99 00:00;3555.8;3562.3
29-12-99 01:00;4540.3;4621.5
29-12-99 02:00;4460.6;4443.3
29-12-99 03:00;4449.8;4420.5
29-12-99 04:00;4451.1;4424.4
29-12-99 05:00;4453.8;4430.8
29-12-99 06:00;4456.5;4437.2
29-12-99 07:00;4458.7;4442.5
29-12-99 08:00;4460.5;4446.9
29-12-99 09:00;4462;4450.4
29-12-99 10:00;4463.3;4453.3
29-12-99 11:00;4464.3;4455.6
29-12-99 12:00;4465.1;4457.6
29-12-99 13:00;4465.8;4459.2
29-12-99 14:00;4466.4;4460.6
29-12-99 15:00;4467;4461.8
29-12-99 16:00;4467.4;4462.8
29-12-99 17:00;4467.8;4463.7
29-12-99 18:00;4468.1;4464.4
29-12-99 19:00;4468.4;4465.1
29-12-99 20:00;4468.7;4465.7
29-12-99 21:00;4468.9;4466.2
29-12-99 22:00;4469.1;4466.7
29-12-99 23:00;4469.3;4467.1
30-12-99 00:00;4469.5;4467.5
30-12-99 01:00;4469.6;4467.8
30-12-99 02:00;4469.8;4468.1
30-12-99 03:00;4469.9;4468.3
30-12-99 04:00;4470;4468.6
30-12-99 05:00;4470.1;4468.8
30-12-99 06:00;4470.2;4469
30-12-99 07:00;4470.2;4469.2
30-12-99 08:00;4470.3;4469.3
30-12-99 09:00;4470.4;4469.5
30-12-99 10:00;4470.4;4469.6
30-12-99 11:00;4470.5;4469.7
30-12-99 12:00;4470.5;4469.8
30-12-99 13:00;4470.6;4469.9
30-12-99 14:00;4470.6;4470
30-12-99 15:00;4470.7;4470.1
30-12-99 16:00;4470.7;4470.2
30-12-99 17:00;4470.7;4470.3
30-12-99 18:00;4470.8;4470.3
30-12-99 19:00;4470.8;4470.4
30-12-99 20:00;4470.8;4470.5
30-12-99 21:00;4470.9;4470.5
30-12-99 22:00;4470.9;4470.6
30-12-99 23:00;4470.9;4470.6
31-12-99 00:00;4470.9;4470.6
31-12-99 01:00;4470.9;4470.7
31-12-99 02:00;4470.9;4470.7
31-12-99 03:00;4471;4470.7
31-12-99 04:00;4471;4470.8
31-12-99 05:00;4471;4470.8
31-12-99 06:00;4471;4470.8
31-12-99 07:00;4471;4470.9
31-12-99 08:00;4471;4470.9
31-12-99 09:00;4471;4470.9
31-12-99 10:00;4471;4470.9
31-12-99 11:00;4471;4470.9
31-12-99 12:00;4471;4470.9
31-12-99 13:00;4471.1;4471
31-12-99 14:00;4471.1;4471
31-12-99 15:00;4471.1;4471
31-12-99 16:00;4471.1;4471
31-12-99 17:00;4471.1;4471
31-12-99 18:00;4471.1;4471
31-12-99 19:00;4471.1;4471
31-12-99 20:00;4471.1;4471
31-12-99 21:00;4471.1;4471
31-12-99 22:00;4471.1;4471
31-12-99 23:00;4471.1;4471.1
01-01-00 00:00;4471.1;4471.1
01-01-00 01:00;4470.6;4470.7
01-01-00 02:00;4470.1;4470.2
01-01-00 03:00;4469.6;4469.7
01-01-00 04:00;4469;4469.1
01-01-00 05:00;4468.5;4468.6
01-01-00 06:00;4468;4468.1
01-01-00 07:00;4467.4;4467.6
01-01-00 08:00;4466.9;4467
01-01-00 09:00;4466.3;4466.5
01-01-00 10:00;4465.8;4466
01-01-00 11:00;4465.3;4465.4
01-01-00 12:00;4464.7;4464.9
01-01-00 13:00;4464.2;4464.4
01-01-00 14:00;4463.6;4463.8
01-01-00 15:00;4463.1;4463.3
01-01-00 16:00;4462.5;4462.7
01-01-00 17:00;4462;4462.2
01-01-00 18:00;4461.5;4461.7
01-01-00 19:00;4460.9;4461.1
01-01-00 20:00;4460.4;4460.6
01-01-00 21:00;4459.8;4460
01-01-00 22:00;4459.3;4459.5
01-01-00 23:00;4458.7;4458.9
02-01-00 00:00;4458.2;4458.4
02-01-00 01:00;4456.5;4456.9
02-01-00 02:00;4454.8;4455.2
02-01-00 03:00;4453;4453.5
02-01-00 04:00;4451.2;4451.7
02-01-00 05:00;4449.4;4449.9
02-01-00 06:00;4447.6;4448.2
02-01-00 07:00;4445.8;4446.4
02-01-00 08:00;4444;4444.6
02-01-00 09:00;4442.2;4442.8
02-01-00 10:00;4440.4;4441
02-01-00 11:00;4438.5;4439.2
02-01-00 12:00;4436.7;4437.4
02-01-00 13:00;4434.9;4435.6
02-01-00 14:00;4433.1;4433.8
02-01-00 15:00;4431.3;4431.9
02-01-00 16:00;4429.5;4430.1
02-01-00 17:00;4427.6;4428.3
02-01-00 18:00;4425.8;4426.5
02-01-00 19:00;4424;4424.7
02-01-00 20:00;4422.2;4422.9
02-01-00 21:00;4420.4;4421.1
02-01-00 22:00;4418.5;4419.2
02-01-00 23:00;4416.7;4417.4
03-01-00 00:00;4414.9;4415.6
03-01-00 01:00;4419;4418.8
03-01-00 02:00;4423.7;4423.2
03-01-00 03:00;4428.5;4427.7
03-01-00 04:00;4433.3;4432.4
03-01-00 05:00;4438.2;4437.1
03-01-00 06:00;4443.1;4441.9
03-01-00 07:00;4448;4446.7
03-01-00 08:00;4452.9;4451.5
03-01-00 09:00;4457.8;4456.4
03-01-00 10:00;4462.7;4461.2
03-01-00 11:00;4467.7;4466.1
03-01-00 12:00;4472.6;4471
03-01-00 13:00;4477.6;4475.9
03-01-00 14:00;4482.5;4480.8
03-01-00 15:00;4487.4;4485.7
03-01-00 16:00;4492.4;4490.6
03-01-00 17:00;4497.3;4495.5
03-01-00 18:00;4502.3;4500.4
03-01-00 19:00;4507.2;4505.4
03-01-00 20:00;4512.2;4510.3
03-01-00 21:00;4517.2;4515.2
03-01-00 22:00;4522.1;4520.2
03-01-00 23:00;4527.1;4525.1
04-01-00 00:00;4532;4530.1
04-01-00 01:00;4535.9;4534.1
04-01-00 02:00;4539.7;4537.9
04-01-00 03:00;4543.5;4541.7
04-01-00 04:00;4547.3;4545.5
04-01-00 05:00;4551;4549.3
04-01-00 06:00;4554.8;4553
04-01-00 07:00;4558.5;4556.8
04-01-00 08:00;4562.3;4560.6
04-01-00 09:00;4566;4564.3
04-01-00 10:00;4569.8;4568.1
04-01-00 11:00;4573.5;4571.8
04-01-00 12:00;4577.3;4575.6
04-01-00 13:00;4581;4579.3
04-01-00 14:00;4584.8;4583.1
04-01-00 15:00;4588.5;4586.8
04-01-00 16:00;4592.3;4590.6
04-01-00 17:00;4596;4594.3
04-01-00 18:00;4599.8;4598.1
04-01-00 19:00;4603.5;4601.8
04-01-00 20:00;4607.3;4605.6
04-01-00 21:00;4611;4609.3
04-01-00 22:00;4614.8;4613.1
04-01-00 23:00;4618.5;4616.8
05-01-00 00:00;4622.3;4620.6
05-01-00 01:00;4623.6;4622.3
05-01-00 02:00;4624.7;4623.5
05-01-00 03:00;4625.8;4624.7
05-01-00 04:00;4626.9;4625.8
05-01-00 05:00;4628;4626.9
05-01-00 06:00;4629;4628
05-01-00 07:00;4630;4629.1
05-01-00 08:00;4631.1;4630.2
05-01-00 09:00;4632.1;4631.2
05-01-00 10:00;4633.2;4632.3
05-01-00 11:00;4634.2;4633.3
05-01-00 12:00;4635.2;4634.4
05-01-00 13:00;4636.2;4635.4
05-01-00 14:00;4637.3;4636.5
05-01-00 15:00;4638.3;4637.5
05-01-00 16:00;4639.3;4638.6
05-01-00 17:00;4640.3;4639.6
05-01-00 18:00;4641.4;4640.6
05-01-00 19:00;4642.4;4641.7
05-01-00 20:00;4643.4;4642.7
05-01-00 21:00;4644.4;4643.7
05-01-00 22:00;4645.4;4644.7
05-01-00 23:00;4646.5;4645.8
06-01-00 00:00;4647.5;4646.8
06-01-00 01:00;4661.4;4658.8
06-01-00 02:00;4676.5;4673.1
06-01-00 03:00;4691.9;4688
06-01-00 04:00;4707.3;4703
06-01-00 05:00;4722.8;4718.3
06-01-00 06:00;4738.4;4733.6
06-01-00 07:00;4754;4749
06-01-00 08:00;4769.6;4764.4
06-01-00 09:00;4785.2;4779.9
06-01-00 10:00;4800.9;4795.4
06-01-00 11:00;4816.6;4811
06-01-00 12:00;4832.3;4826.6
06-01-00 13:00;4848;4842.2
06-01-00 14:00;4863.7;4857.8
06-01-00 15:00;4879.4;4873.5
06-01-00 16:00;4895.1;4889.1
06-01-00 17:00;4910.8;4904.8
06-01-00 18:00;4926.6;4920.5
06-01-00 19:00;4942.3;4936.2
06-01-00 20:00;4958;4951.9
06-01-00 21:00;4973.8;4967.6
06-01-00 22:00;4989.5;4983.3
06-01-00 23:00;5005.2;4999
07-01-00 00:00;5021;5014.8
07-01-00 01:00;5051.5;5043.2
07-01-00 02:00;5083.4;5074.2
07-01-00 03:00;5115.5;5105.8
07-01-00 04:00;5147.8;5137.6
07-01-00 05:00;5180.1;5169.7
07-01-00 06:00;5212.5;5201.8
07-01-00 07:00;5244.9;5234
07-01-00 08:00;5277.4;5266.3
07-01-00 09:00;5309.9;5298.7
07-01-00 10:00;5342.4;5331
07-01-00 11:00;5374.9;5363.5
07-01-00 12:00;5407.4;5395.9
07-01-00 13:00;5440;5428.4
07-01-00 14:00;5472.6;5461
07-01-00 15:00;5505.2;5493.5
07-01-00 16:00;5537.7;5526.1
07-01-00 17:00;5570.3;5558.6
07-01-00 18:00;5602.9;5591.2
07-01-00 19:00;5635.5;5623.7
07-01-00 20:00;5668;5656.3
07-01-00 21:00;5700.6;5688.8
07-01-00 22:00;5733.2;5721.4
07-01-00 23:00;5765.8;5754
08-01-00 00:00;5798.4;5786.7
08-01-00 01:00;5833.5;5821.5
08-01-00 02:00;5868.9;5856.8
08-01-00 03:00;5904.2;5892.2
08-01-00 04:00;5939.6;5927.6
08-01-00 05:00;5975.1;5963
