Time [yyyy-MM-dd HH:mm:ss];Discharge at (51_A_B_ 3863_562) [m³/s];Discharge at (Bovenrijn_A_ 1797_096) [m³/s]
27-12-99 00:00;6090.3;6092
27-12-99 01:00;1709.4;1510.4
27-12-99 02:00;1953.8;1815.5
27-12-99 03:00;2503.4;2268.9
27-12-99 04:00;2969.1;2727
27-12-99 05:00;3353.6;3120.1
27-12-99 06:00;3701.2;3483
27-12-99 07:00;3972.9;3779.9
27-12-99 08:00;4174.2;4004.3
27-12-99 09:00;4337.7;4187.8
27-12-99 10:00;4469;4337.3
27-12-99 11:00;4575;4458.6
27-12-99 12:00;4664.6;4559.5
27-12-99 13:00;4746;4649.4
27-12-99 14:00;4814;4725.9
27-12-99 15:00;4874.5;4793.8
27-12-99 16:00;4926.3;4852.4
27-12-99 17:00;4970.5;4902.3
27-12-99 18:00;5008.4;4945.4
27-12-99 19:00;5041.3;4983.2
27-12-99 20:00;5069.5;5015.8
27-12-99 21:00;5093.3;5043.7
27-12-99 22:00;5114.4;5068.3
27-12-99 23:00;5133.8;5090.8
28-12-99 00:00;5151.5;5111.3
28-12-99 01:00;5167.5;5130.1
28-12-99 02:00;5182.3;5147.2
28-12-99 03:00;5195.8;5162.7
28-12-99 04:00;5208.1;5176.8
28-12-99 05:00;5219.3;5189.8
28-12-99 06:00;5229.5;5201.6
28-12-99 07:00;5239.2;5212.7
28-12-99 08:00;5248.1;5222.9
28-12-99 09:00;5256.3;5232.3
28-12-99 10:00;5263.8;5240.9
28-12-99 11:00;5270.6;5248.8
28-12-99 12:00;5276.7;5256.2
28-12-99 13:00;5282.3;5263
28-12-99 14:00;5287.5;5269.4
28-12-99 15:00;5292.3;5275.2
28-12-99 16:00;5296.7;5280.6
28-12-99 17:00;5300.8;5285.6
28-12-99 18:00;5304.5;5290.2
28-12-99 19:00;5308;5294.5
28-12-99 20:00;5311.2;5298.5
28-12-99 21:00;5314.2;5302.2
28-12-99 22:00;5316.9;5305.7
28-12-99 23:00;5319.5;5309
29-12-99 00:00;5321.9;5312
29-12-99 01:00;5324.1;5314.8
