Time [yyyy-MM-dd HH:mm:ss];876.00_PK: Discharge at (PanKan2_B_B_ 344_977)_ Flow1D [m³/s];50892ObsUS: Discharge at (PanKan2_B_A_A_ 1863_739)_ Flow1D [m³/s];874.00_PK: Discharge at (PanKan2_B_A_A_ 525_431)_ Flow1D [m³/s];50869ObsUS: Discharge at (PanKan2_A_ 3067_285)_ Flow1D [m³/s]
29-12-99 00:00;1140.7;1139.2;1131.5;1125.8
29-12-99 01:00;1068.2;1062.2;1031.3;1006.6
29-12-99 02:00;1032.2;1030.1;1025.5;1022
29-12-99 03:00;1089.7;1091.5;1098;1099.5
29-12-99 04:00;1137.6;1139.9;1148;1150
29-12-99 05:00;1174.4;1176.7;1184.5;1186.3
29-12-99 06:00;1203.1;1205.2;1212.2;1213.5
29-12-99 07:00;1225.7;1227.6;1233.7;1234.5
29-12-99 08:00;1243.8;1245.5;1250.7;1251.2
29-12-99 09:00;1258.5;1260;1264.6;1264.7
29-12-99 10:00;1270.7;1271.9;1276;1275.8
29-12-99 11:00;1280.9;1282;1285.5;1285.1
29-12-99 12:00;1289.6;1290.5;1293.6;1293
29-12-99 13:00;1297;1297.8;1300.6;1299.7
29-12-99 14:00;1303.3;1304.1;1306.6;1305.6
29-12-99 15:00;1308.9;1309.6;1311.8;1310.6
29-12-99 16:00;1313.7;1314.3;1316.3;1315
29-12-99 17:00;1317.9;1318.5;1320.3;1318.9
29-12-99 18:00;1321.7;1322.2;1323.8;1322.3
29-12-99 19:00;1324.9;1325.4;1326.8;1325.3
29-12-99 20:00;1327.8;1328.2;1329.6;1328
29-12-99 21:00;1330.4;1330.8;1332;1330.3
29-12-99 22:00;1332.7;1333.1;1334.1;1332.4
29-12-99 23:00;1334.8;1335.1;1336.1;1334.3
30-12-99 00:00;1336.6;1336.9;1337.8;1336
30-12-99 01:00;1338.3;1338.5;1339.4;1337.5
30-12-99 02:00;1339.8;1340;1340.8;1338.9
30-12-99 03:00;1341.1;1341.3;1342;1340.1
30-12-99 04:00;1342.3;1342.5;1343.2;1341.2
30-12-99 05:00;1343.4;1343.6;1344.2;1342.2
30-12-99 06:00;1344.4;1344.6;1345.1;1343.2
30-12-99 07:00;1345.3;1345.5;1346;1344
30-12-99 08:00;1346.2;1346.3;1346.8;1344.7
30-12-99 09:00;1346.9;1347;1347.5;1345.4
30-12-99 10:00;1347.6;1347.7;1348.1;1346
30-12-99 11:00;1348.2;1348.3;1348.7;1346.6
30-12-99 12:00;1348.8;1348.9;1349.2;1347.1
30-12-99 13:00;1349.3;1349.4;1349.7;1347.6
30-12-99 14:00;1349.8;1349.9;1350.1;1348
30-12-99 15:00;1350.2;1350.3;1350.5;1348.4
30-12-99 16:00;1350.6;1350.7;1350.9;1348.8
30-12-99 17:00;1350.9;1351;1351.2;1349.1
30-12-99 18:00;1351.3;1351.3;1351.5;1349.4
30-12-99 19:00;1351.6;1351.6;1351.8;1349.6
30-12-99 20:00;1351.8;1351.9;1352.1;1349.9
30-12-99 21:00;1352.1;1352.1;1352.3;1350.1
30-12-99 22:00;1352.3;1352.4;1352.5;1350.3
30-12-99 23:00;1352.5;1352.6;1352.7;1350.5
31-12-99 00:00;1352.7;1352.8;1352.9;1350.7
31-12-99 01:00;1352.9;1352.9;1353.1;1350.8
31-12-99 02:00;1353.1;1353.1;1353.2;1351
31-12-99 03:00;1353.2;1353.2;1353.3;1351.1
31-12-99 04:00;1353.3;1353.4;1353.5;1351.2
31-12-99 05:00;1353.5;1353.5;1353.6;1351.4
31-12-99 06:00;1353.6;1353.6;1353.7;1351.5
31-12-99 07:00;1353.7;1353.7;1353.8;1351.6
31-12-99 08:00;1353.8;1353.8;1353.9;1351.6
31-12-99 09:00;1353.9;1353.9;1354;1351.7
31-12-99 10:00;1354;1354;1354;1351.8
31-12-99 11:00;1354;1354.1;1354.1;1351.9
31-12-99 12:00;1354.1;1354.1;1354.2;1351.9
31-12-99 13:00;1354.2;1354.2;1354.2;1352
31-12-99 14:00;1354.2;1354.2;1354.3;1352
31-12-99 15:00;1354.3;1354.3;1354.3;1352.1
31-12-99 16:00;1354.3;1354.4;1354.4;1352.1
