Time [yyyy-MM-dd HH:mm:ss];50909ObsUS: Discharge at (Waal2_B_A_A_A_ 6366_82)_ Flow1D [m³/s];50906ObsUS: Discharge at (Waal3_A_ 597_388)_ Flow1D [m³/s];889.00_WA: Discharge at (Waal3_B_B_A_ 451_736)_ Flow1D [m³/s];905.00_WA: Discharge at (Waal3_B_B_B_ 585_729)_ Flow1D [m³/s];905.00_WA: Discharge at (Waal3_B_B_B_ 585_729)_ Flow1D [m³/s];50922ObsUS: Discharge at (Waal4_A_ 3082_405)_ Flow1D [m³/s];50930ObsUS: Discharge at (Waal5_A_ 5095_349)_ Flow1D [m³/s];938.00_WA: Discharge at (Waal5_B_B_A_ 971_827)_ Flow1D [m³/s];946.00_WA: Discharge at (Waal5_B_B_B_A_ 166_1865)_ Flow1D [m³/s];51021ObsUS: Discharge at (Waal5_B_B_B_A_ 5461_157)_ Flow1D [m³/s];953.00_WA: Discharge at (Waal6_A_ 249_5)_ Flow1D [m³/s];51043ObsUS: Discharge at (Waal6_A_ 2614_23)_ Flow1D [m³/s];956.00_WA: Discharge at (Waal6_B_A_ 512_541)_ Flow1D [m³/s];957.00_WA: Discharge at (Waal6_B_B_A_ 454_649)_ Flow1D [m³/s];960.00_WA: Discharge at (Waal6_B_B_B_B_B_ 107_9365)_ Flow1D [m³/s];
29-12-99 00:00;0;2540.3;2545.5;2588.8;2610.15;2631.5;2672.8;2691.3;2707.3;2719.9;1316.3;1335.2;1342.6;1352;1386.6;
29-12-99 01:00;2817.9;1092;909.51;-138.5;1249.7;2637.9;2769.4;2839.1;2876.5;2765.1;2731.2;2694.2;2688.5;2679.5;2642;
29-12-99 02:00;2906;2366.7;2287;1872.7;1763;1653.3;2656.8;2771;2789.3;2761.4;2752.7;2742.1;2739.7;2735.8;2720.9;# check order
29-12-99 03:00;2947;2632.4;2582.9;2140.3;2099.45;2058.6;2332;2517.6;2655.8;2733.4;2740.2;2743.4;2743.6;2743.6;2743;
29-12-99 04:00;2974;2738.3;2703.4;2347.7;2262.75;2177.8;2276.7;2396.8;2504.3;2630.5;2653.2;2674.7;2678.9;2685.5;2712.9;
29-12-99 05:00;3000.9;2810.2;2783.4;2485.5;2385.25;2285;2279.7;2347.8;2425.2;2544.8;2568.6;2591.1;2595.7;2602.8;2631.1;
29-12-99 06:00;3023.6;2861.9;2840.3;2585.9;2482.65;2379.4;2312.1;2341.6;2388.9;2476.3;2494.9;2512.6;2516.3;2522.1;2546.1;
29-12-99 07:00;3041.4;2900.3;2882.5;2662.6;2562.35;2462.1;2357.8;2358.6;2379.6;2432.8;2444.9;2456.5;2459.1;2463;2480.1;
29-12-99 08:00;3055.5;2929.9;2914.9;2722.8;2627.9;2533;2408.4;2388.5;2388.4;2412.1;2418.1;2424.1;2425.5;2427.6;2437.9;
29-12-99 09:00;3066.4;2952.9;2940.2;2770.9;2682.75;2594.6;2459.4;2425.4;2409.5;2409.8;2411;2412.5;2412.8;2413.5;2418.2;
29-12-99 10:00;3074.9;2971.3;2960.4;2810.4;2729.1;2647.8;2508.7;2465.6;2438.7;2421.6;2419;2417.1;2416.7;2416.2;2416.5;
29-12-99 11:00;3081.6;2986.2;2976.7;2843.2;2768.55;2693.9;2555.1;2506.9;2472.8;2443.2;2438;2433.6;2432.7;2431.3;2428.5;
29-12-99 12:00;3087;2998.5;2990.2;2870.9;2802.3;2733.7;2598.3;2547.7;2509.3;2471.3;2464.4;2458.2;2456.9;2455;2450.1;
29-12-99 13:00;3091.4;3008.6;3001.3;2894.5;2831.45;2768.4;2638.5;2587.4;2546.8;2503.3;2495.2;2487.9;2486.4;2484.1;2477.8;
29-12-99 14:00;3094.9;3017;3010.6;2914.7;2856.8;2798.9;2675.6;2625.5;2584.2;2537.4;2528.6;2520.5;2518.9;2516.4;2509.2;
29-12-99 15:00;3097.7;3024.1;3018.4;2931.9;2878.9;2825.9;2709.9;2661.7;2620.7;2572.2;2563;2554.6;2552.9;2550.2;2542.6;
29-12-99 16:00;3100.2;3030.2;3025.2;2946.7;2898.25;2849.8;2741.3;2695.7;2655.7;2606.8;2597.6;2589;2587.2;2584.6;2576.8;
29-12-99 17:00;3102.3;3035.5;3031;2959.7;2915.4;2871.1;2769.8;2727.2;2688.9;2640.5;2631.4;2622.8;2621.1;2618.5;2610.8;
29-12-99 18:00;3104.1;3040;3036;2971.1;2930.55;2890;2795.9;2756.4;2720.1;2673.1;2664.2;2655.7;2654;2651.5;2644;
29-12-99 19:00;3105.7;3044;3040.3;2981.1;2944.05;2907;2819.4;2783.1;2749.3;2704.2;2695.5;2687.3;2685.7;2683.2;2676;
29-12-99 20:00;3107;3047.4;3044.1;2989.8;2956;2922.2;2840.8;2807.6;2776.2;2733.4;2725.2;2717.2;2715.6;2713.1;2704.9;
29-12-99 21:00;3108.1;3050.3;3047.4;2997.8;2966.9;2936;2860.4;2829.9;2800.8;2759.1;2750.7;2742.4;2740.7;2738;2729.3;
29-12-99 22:00;3109;3052.9;3050.2;3004.9;2976.7;2948.5;2878.3;2850.2;2823;2782.8;2774.6;2766.5;2764.8;2762.2;2753.7;
29-12-99 23:00;3109.9;3055.2;3052.7;3011.3;2985.6;2959.9;2894.8;2868.8;2843.4;2805.1;2797.3;2789.4;2787.9;2785.3;2777.2;
30-12-99 00:00;3110.6;3057.2;3054.9;3017.2;2993.7;2970.2;2909.8;2885.9;2862.2;2826.1;2818.7;2811.2;2809.7;2807.2;2799.5;
30-12-99 01:00;3111.3;3059;3057;3022.4;3000.95;2979.5;2923.7;2901.6;2879.7;2845.7;2838.7;2831.6;2830.1;2827.8;2820.7;
30-12-99 02:00;3111.8;3060.7;3058.8;3027.2;3007.55;2987.9;2936.4;2916;2895.7;2864;2857.4;2850.7;2849.3;2847.2;2840.5;
30-12-99 03:00;3112.4;3062.1;3060.4;3031.5;3013.5;2995.5;2948;2929.3;2910.6;2881;2874.9;2868.5;2867.3;2865.2;2859.1;
30-12-99 04:00;3112.9;3063.5;3061.9;3035.4;3018.9;3002.4;2958.6;2941.5;2924.2;2896.8;2891.1;2885.1;2883.9;2882;2876.4;
30-12-99 05:00;3113.3;3064.7;3063.3;3039;3023.85;3008.7;2968.4;2952.6;2936.8;2911.4;2906;2900.5;2899.4;2897.6;2892.5;
30-12-99 06:00;3113.7;3065.8;3064.5;3042.2;3028.3;3014.4;2977.4;2962.9;2948.3;2924.8;2919.9;2914.7;2913.7;2912;2907.4;
30-12-99 07:00;3114;3066.8;3065.6;3045.2;3032.45;3019.7;2985.6;2972.3;2958.9;2937.2;2932.6;2927.8;2926.8;2925.3;2921.2;
30-12-99 08:00;3114.3;3067.7;3066.6;3047.9;3036.2;3024.5;2993.1;2980.9;2968.6;2948.6;2944.3;2939.9;2939;2937.6;2933.9;
