Time [yyyy-MM-dd HH:mm:ss];odd_018: Discharge at (Nederrijn2_A_ 251)_ Flow1D [m³/s];882.00_NR: Discharge at (Nederrijn2_B_B_A_ 400_203)_ Flow1D [m³/s];886.00_NR: Discharge at (Nederrijn2_B_B_B_A_ 3021_079)_ Flow1D [m³/s];903.00_NR: Discharge at (Nederrijn3_A_ 753)_ Flow1D [m³/s];909.00_NR: Discharge at (Nederrijn4_A_ 753_5)_ Flow1D [m³/s];917.00_NR: Discharge at (Nederrijn5_A_ 3265)_ Flow1D [m³/s];EckenWiel: Discharge at (Nederrijn5_B_A_ 619_737)_ Flow1D [m³/s];931.00_LE: Discharge at (Lek1_B_A_ 1424_909)_ Flow1D [m³/s];941.00_LE: Discharge at (Lek1_B_B_A_ 1439_286)_ Flow1D [m³/s];944.00_LE: Discharge at (Lek1_B_B_B_A_ 905_638)_ Flow1D [m³/s];946.00_LE: Discharge at (Lek1_B_B_B_B_ 812_87)_ Flow1D [m³/s];949.00_LE: Discharge at (Lek2_ 1756)_ Flow1D [m³/s];951.00_LE: Discharge at (Lek5_A_ 251)_ Flow1D [m³/s];50983ObsUS: Discharge at (Lek5_B_A_ 896_9385)_ Flow1D [m³/s];Q-HagestbeSchoonh: Discharge at (Lek5_B_B_A_ 5992_915)_ Flow1D [m³/s];961.00_LE: Discharge at (Lek5_B_B_B_ 969_246)_ Flow1D [m³/s];972.00_LE: Discharge at (Lek7_A_B_ 4966_327)_ Flow1D [m³/s];978.00_LE: Discharge at (Lek7_B_B_ 1443_65)_ Flow1D [m³/s]
29-12-99 00:00;693.26;694.69;700.97;744.23;753.52;762.25;763.85;794.31;800.34;801.8;802.8;804.78;805.76;808.04;809.98;810.38;823.02;823.8
29-12-99 01:00;695.53;701.6;712.37;742.29;757;780.5;784.24;832.26;846.23;855.57;845.64;833.19;840.17;829.35;916.45;969.19;776.23;576.72
29-12-99 02:00;645.54;652.15;675.49;736.03;752.5;773.66;776.93;819.37;836.69;847.73;855.86;864.92;866.74;845.56;798.23;789.42;727.58;689.38
29-12-99 03:00;654.86;655.7;665.54;726.51;746.93;767.19;770.17;810.12;824.74;825.22;824.05;820;817.52;810.59;796.94;793.68;771.77;762.63
29-12-99 04:00;673.17;671.95;673.77;715.66;738.05;760.08;763.11;799.26;810.64;811.51;811.41;810.09;808.82;805.92;800.37;798.94;788.54;782.69
29-12-99 05:00;689.18;687.2;684.98;709.96;729.75;751.68;754.7;789.02;800.56;802.23;803;803.61;803.4;802.62;800.23;799.49;794.37;791.13
29-12-99 06:00;702.27;700.07;695.9;708.38;723.83;743.55;746.41;779.51;791.84;794.12;795.47;797.29;797.79;798.39;798.27;798.08;797.04;795.5
29-12-99 07:00;712.79;710.61;705.63;709.36;720.36;736.93;739.5;770.62;783.65;786.44;788.26;791.05;792.08;793.71;795.24;795.44;797.21;796.85
29-12-99 08:00;721.28;719.22;714.04;711.82;718.89;732.14;734.37;762.49;775.88;779.04;781.2;784.73;786.15;788.56;791.29;791.79;795.6;796.07
29-12-99 09:00;728.17;726.28;721.2;715.09;718.96;729.08;730.95;755.3;768.6;771.98;774.37;778.4;780.08;783.04;786.65;787.35;792.66;793.74
29-12-99 10:00;733.83;732.1;727.28;718.75;720.1;727.47;728.99;749.14;761.95;765.39;767.9;772.2;774.03;777.35;781.54;782.39;788.74;790.27
29-12-99 11:00;738.54;736.97;732.47;722.52;721.98;727.01;728.21;744;756.01;759.4;761.91;766.3;768.19;771.69;776.21;777.14;784.17;785.99
29-12-99 12:00;742.52;741.09;736.92;726.26;724.33;727.41;728.32;739.85;750.84;754.07;756.52;760.83;762.7;766.23;770.86;771.82;779.21;781.21
29-12-99 13:00;745.9;744.6;740.78;729.87;726.94;728.43;729.1;736.59;746.43;749.44;751.75;755.86;757.67;761.11;765.68;766.63;774.12;776.19
29-12-99 14:00;748.8;747.62;744.13;733.31;729.68;729.9;730.35;734.14;742.77;745.51;747.63;751.46;753.16;756.43;760.79;761.71;769.07;771.14
29-12-99 15:00;751.31;750.24;747.06;736.55;732.45;731.66;731.94;732.38;739.79;742.24;744.15;747.64;749.2;752.23;756.29;757.16;764.23;766.22
29-12-99 16:00;753.5;752.52;749.63;739.58;735.19;733.61;733.74;731.22;737.45;739.58;741.28;744.38;745.79;748.53;752.23;753.03;759.71;761.57
29-12-99 17:00;755.41;754.51;751.89;742.4;737.85;735.67;735.67;730.55;735.67;737.49;738.96;741.67;742.91;745.35;748.65;749.37;755.57;757.28
29-12-99 18:00;757.08;756.26;753.9;745.02;740.41;737.77;737.67;730.31;734.38;735.91;737.16;739.48;740.54;742.66;745.55;746.18;751.87;753.41
29-12-99 19:00;758.56;757.81;755.68;747.45;742.85;739.87;739.69;730.4;733.52;734.77;735.81;737.75;738.65;740.45;742.93;743.47;748.63;749.98
29-12-99 20:00;759.87;759.19;757.27;749.69;745.16;741.94;741.69;730.77;733.04;734.03;734.86;736.44;737.18;738.68;740.75;741.21;745.85;747.01
29-12-99 21:00;761.04;760.41;758.69;751.75;747.34;743.96;743.65;731.37;732.88;733.62;734.27;735.51;736.11;737.31;739.01;739.38;743.51;744.49
29-12-99 22:00;762.08;761.5;759.96;753.65;749.37;745.9;745.56;732.14;732.98;733.51;733.98;734.92;735.38;736.32;737.65;737.96;741.51;742.16
29-12-99 23:00;763.02;762.49;761.11;755.4;751.28;747.76;747.39;733.05;733.3;733.64;733.96;734.62;734.95;735.62;736.58;736.79;739.73;740.2
30-12-99 00:00;763.86;763.37;762.14;757.01;753.06;749.54;749.15;734.07;733.8;733.96;734.14;734.53;734.73;735.17;735.8;735.95;738.48;738.8
30-12-99 01:00;764.62;764.17;763.08;758.49;754.72;751.23;750.82;735.15;734.45;734.45;734.5;734.66;734.76;734.99;735.35;735.44;737.63;737.84
30-12-99 02:00;765.31;764.89;763.93;759.86;756.26;752.83;752.41;736.28;735.21;735.08;735.02;734.98;735;735.05;735.19;735.23;737.12;737.24
30-12-99 03:00;765.93;765.55;764.7;761.12;757.69;754.34;753.92;737.45;736.07;735.83;735.68;735.48;735.42;735.32;735.26;735.26;736.91;736.95
30-12-99 04:00;766.5;766.15;765.4;762.28;759.03;755.76;755.34;738.63;737;736.67;736.45;736.11;735.98;735.77;735.54;735.5;736.94;736.91
30-12-99 05:00;767.01;766.69;766.04;763.35;760.27;757.1;756.69;739.81;737.99;737.58;737.3;736.85;736.67;736.35;735.99;735.92;737.19;737.1
30-12-99 06:00;767.48;767.18;766.62;764.34;761.42;758.36;757.95;740.99;739.02;738.55;738.22;737.68;737.46;737.05;736.58;736.49;737.61;737.47
30-12-99 07:00;767.91;767.63;767.15;765.25;762.49;759.54;759.14;742.16;740.08;739.56;739.19;738.57;738.32;737.85;737.28;737.17;738.17;737.99
30-12-99 08:00;768.3;768.04;767.64;766.1;763.49;760.65;760.26;743.3;741.14;740.59;740.2;739.52;739.24;738.71;738.07;737.95;738.85;738.64
30-12-99 09:00;768.65;768.41;768.09;766.87;764.41;761.69;761.31;744.42;742.22;741.64;741.22;740.5;740.2;739.63;738.93;738.8;739.62;739.39
30-12-99 10:00;768.98;768.76;768.49;767.59;765.27;762.67;762.3;745.51;743.28;742.69;742.25;741.5;741.18;740.58;739.85;739.7;740.47;740.22
30-12-99 11:00;769.27;769.07;768.87;768.26;766.07;763.58;763.23;746.57;744.33;743.73;743.28;742.51;742.19;741.57;740.8;740.64;741.37;741.1
30-12-99 12:00;769.55;769.35;769.21;768.88;766.81;764.44;764.1;747.59;745.37;744.76;744.31;743.53;743.19;742.56;741.77;741.61;742.31;742.03
30-12-99 13:00;769.79;769.62;769.52;769.45;767.5;765.25;764.92;748.58;746.38;745.77;745.32;744.53;744.2;743.56;742.76;742.6;743.28;742.99
30-12-99 14:00;770.02;769.86;769.81;769.97;768.14;766;765.68;749.53;747.37;746.76;746.31;745.53;745.19;744.55;743.75;743.59;744.26;743.97
30-12-99 15:00;770.23;770.07;770.08;770.46;768.74;766.7;766.4;750.43;748.32;747.73;747.28;746.51;746.18;745.54;744.74;744.58;745.25;744.96
30-12-99 16:00;770.41;770.27;770.32;770.91;769.29;767.36;767.07;751.3;749.25;748.67;748.23;747.46;747.14;746.51;745.72;745.55;746.23;745.94
30-12-99 17:00;770.59;770.46;770.54;771.33;769.81;767.98;767.71;752.13;750.14;749.57;749.14;748.39;748.07;747.46;746.68;746.52;747.2;746.9
30-12-99 18:00;770.74;770.62;770.74;771.72;770.29;768.56;768.3;752.93;751;750.45;750.03;749.3;748.98;748.38;747.61;747.45;748.07;747.73
30-12-99 19:00;770.89;770.78;770.93;772.08;770.74;769.1;768.85;753.68;751.82;751.28;750.88;750.16;749.85;749.25;748.48;748.32;748.94;748.59
30-12-99 20:00;771.02;770.91;771.1;772.41;771.15;769.6;769.37;754.4;752.6;752.08;751.69;750.99;750.68;750.1;749.34;749.18;749.8;749.45
30-12-99 21:00;771.14;771.04;771.25;772.72;771.54;770.08;769.85;755.08;753.35;752.84;752.46;751.78;751.48;750.91;750.17;750.01;750.64;750.3
30-12-99 22:00;771.25;771.16;771.4;773.01;771.9;770.52;770.31;755.72;754.06;753.57;753.2;752.54;752.25;751.7;750.97;750.82;751.47;751.14
30-12-99 23:00;771.35;771.26;771.53;773.27;772.23;770.93;770.73;756.33;754.74;754.27;753.91;753.27;753;752.46;751.75;751.6;752.28;751.95
31-12-99 00:00;771.43;771.36;771.65;773.52;772.54;771.32;771.13;756.91;755.39;754.93;754.59;753.97;753.71;753.19;752.51;752.36;753.07;752.75
31-12-99 01:00;771.52;771.44;771.76;773.74;772.83;771.68;771.5;757.45;756;755.57;755.23;754.64;754.39;753.89;753.23;753.09;753.83;753.52
31-12-99 02:00;771.59;771.52;771.85;773.95;773.1;772.01;771.84;757.97;756.58;756.17;755.85;755.28;755.03;754.55;753.92;753.79;754.56;754.26
31-12-99 03:00;771.66;771.6;771.95;774.15;773.35;772.33;772.17;758.45;757.13;756.74;756.43;755.89;755.65;755.19;754.59;754.46;755.26;754.97
31-12-99 04:00;771.72;771.66;772.03;774.33;773.58;772.62;772.47;758.91;757.66;757.28;756.99;756.47;756.24;755.8;755.22;755.1;755.93;755.66
