Time [yyyy-MM-dd HH:mm:ss];Q-IJsselkpDoesbbrg: Discharge at (IJssel02_B_B_B_ 173_859)_ Flow1D [m³/s];905.00_IJ: Discharge at (IJssel03_B_A_ 474_452)_ Flow1D [m³/s];50844ObsUS: Discharge at (IJssel03_B_A_ 12393_22)_ Flow1D [m³/s];923.00_IJ: Discharge at (IJssel03_B_B_B_ 498_93)_ Flow1D [m³/s];50848ObsUS: Discharge at (IJssel04_A_ 109_4015)_ Flow1D [m³/s];940.00_IJ: Discharge at (IJssel05_B_ 665_96)_ Flow1D [m³/s];50842ObsUS: Discharge at (IJssel06_A_ 1202_662)_ Flow1D [m³/s];Veessenboven: Discharge at (IJssel07_B_B_ 348_517)_ Flow1D [m³/s];odd_006: Discharge at (IJssel07_A_ 249)_ Flow1D [m³/s];944.00_IJ: Discharge at (IJssel06_B_B_A_ 187_8305)_ Flow1D [m³/s];947.00_IJ: Discharge at (IJssel06_B_B_B_A_ 434_799)_ Flow1D [m³/s];949.00_IJ: Discharge at (IJssel06_B_B_B_B_A_ 42_872)_ Flow1D [m³/s];950.00_IJ: Discharge at (IJssel06_B_B_B_B_B_ 65_6005)_ Flow1D [m³/s];977.00_IJ: Discharge at (IJssel09_B_ 100_375)_ Flow1D [m³/s]
29-12-99 00:00;468.38;614.88;643.53;663.59;0;809.09;841.49;853.35;856.57;841.96;860.96;860.99;860.85;830.08
29-12-99 01:00;525.45;654.21;648.29;663.56;731.35;790.64;816.69;831.37;848.62;820.69;838.16;845.17;847.81;839.14
29-12-99 02:00;476.12;629.11;654;665.78;727.22;774.39;799.28;837.9;840.68;804.66;816.45;822.26;825.22;832.98
29-12-99 03:00;463.64;603.81;656.59;668.64;724.02;763.02;785.22;835.49;831.8;789.8;800.78;806.41;809.5;833.18
29-12-99 04:00;469.46;585.11;653.47;666.48;721.22;754.48;774.63;830.46;822.88;778.6;788.94;794.4;797.5;833.86
29-12-99 05:00;479.96;575.18;646.78;660.74;717.41;747.66;766.44;824.45;814.58;769.97;779.79;785;788.02;833.93
29-12-99 06:00;490.96;570.96;639.08;653.51;712.31;741.59;759.59;818.24;807.08;762.86;772.33;777.33;780.24;833.14
29-12-99 07:00;501.2;569.98;631.89;646.32;706.39;735.73;753.4;812.18;800.31;756.55;765.86;770.73;773.56;831.57
29-12-99 08:00;510.34;570.88;625.73;639.84;699.83;729.75;747.43;806.37;794.12;750.55;759.84;764.66;767.46;829.37
29-12-99 09:00;518.36;572.73;620.69;634.29;693.28;723.65;741.47;800.84;788.38;744.62;753.99;758.85;761.66;826.7
