Time [yyyy-MM-dd HH:mm:ss];ObservationPoint1: Water level at (Bovenrijn_B_B_ 2148_514)_ Flow1D [m AD];ObservationPoint3: Water level at (Waal1_ 0)_ Flow1D [m AD];ObservationPoint2: Water level at (PanKan1_ 0)_ Flow1D [m AD]
29-12-99 00:00;10.996;10.996;10.996
29-12-99 01:00;10.716;10.716;10.716
29-12-99 02:00;10.698;10.698;10.698
29-12-99 03:00;10.775;10.775;10.775
29-12-99 04:00;10.854;10.854;10.854
29-12-99 05:00;10.922;10.922;10.922
29-12-99 06:00;10.979;10.979;10.979
29-12-99 07:00;11.027;11.027;11.027
29-12-99 08:00;11.067;11.067;11.067
29-12-99 09:00;11.101;11.101;11.101
29-12-99 10:00;11.131;11.131;11.131
29-12-99 11:00;11.156;11.156;11.156
29-12-99 12:00;11.178;11.178;11.178
29-12-99 13:00;11.197;11.197;11.197
29-12-99 14:00;11.213;11.213;11.213
29-12-99 15:00;11.228;11.228;11.228
29-12-99 16:00;11.241;11.241;11.241
29-12-99 17:00;11.253;11.253;11.253
29-12-99 18:00;11.264;11.264;11.264
29-12-99 19:00;11.273;11.273;11.273
29-12-99 20:00;11.282;11.282;11.282
29-12-99 21:00;11.289;11.289;11.289
29-12-99 22:00;11.296;11.296;11.296
29-12-99 23:00;11.302;11.302;11.302
30-12-99 00:00;11.308;11.308;11.308
30-12-99 01:00;11.313;11.313;11.313
30-12-99 02:00;11.318;11.318;11.318
30-12-99 03:00;11.322;11.322;11.322
30-12-99 04:00;11.326;11.326;11.326
30-12-99 05:00;11.33;11.33;11.33
30-12-99 06:00;11.333;11.333;11.333
30-12-99 07:00;11.336;11.336;11.336
30-12-99 08:00;11.339;11.339;11.339
30-12-99 09:00;11.341;11.341;11.341
30-12-99 10:00;11.344;11.344;11.344
30-12-99 11:00;11.346;11.346;11.346
30-12-99 12:00;11.348;11.348;11.348
30-12-99 13:00;11.35;11.35;11.35
30-12-99 14:00;11.351;11.351;11.351
30-12-99 15:00;11.353;11.353;11.353
30-12-99 16:00;11.354;11.354;11.354
30-12-99 17:00;11.356;11.356;11.356
30-12-99 18:00;11.357;11.357;11.357
30-12-99 19:00;11.358;11.358;11.358
30-12-99 20:00;11.359;11.359;11.359
30-12-99 21:00;11.36;11.36;11.36
30-12-99 22:00;11.361;11.361;11.361
30-12-99 23:00;11.362;11.362;11.362
31-12-99 00:00;11.362;11.362;11.362
31-12-99 01:00;11.363;11.363;11.363
31-12-99 02:00;11.364;11.364;11.364
31-12-99 03:00;11.364;11.364;11.364
31-12-99 04:00;11.365;11.365;11.365
31-12-99 05:00;11.365;11.365;11.365
31-12-99 06:00;11.366;11.366;11.366
31-12-99 07:00;11.366;11.366;11.366
31-12-99 08:00;11.367;11.367;11.367
31-12-99 09:00;11.367;11.367;11.367
31-12-99 10:00;11.367;11.367;11.367
31-12-99 11:00;11.368;11.368;11.368
31-12-99 12:00;11.368;11.368;11.368
