Time [yyyy-MM-dd HH:mm:ss];ObservationPoint4: Water level at (PanKan2_B_B_ 3058_477)_ Flow1D [m AD];ObservationPoint6: Water level at (Nederrijn1_ 502)_ Flow1D [m AD];ObservationPoint5: Water level at (IJssel01_ 0)_ Flow1D [m AD]
29-12-99 00:00;10.171;10.179;10.171
29-12-99 01:00;10.024;9.9656;10.024
29-12-99 02:00;9.8967;9.8402;9.8967
29-12-99 03:00;9.8823;9.8208;9.8823
29-12-99 04:00;9.9059;9.8411;9.9059
29-12-99 05:00;9.9381;9.8712;9.9381
29-12-99 06:00;9.9712;9.903;9.9712
29-12-99 07:00;10.002;9.9332;10.002
29-12-99 08:00;10.03;9.9607;10.03
29-12-99 09:00;10.055;9.9854;10.055
29-12-99 10:00;10.077;10.007;10.077
29-12-99 11:00;10.097;10.027;10.097
29-12-99 12:00;10.114;10.045;10.114
29-12-99 13:00;10.13;10.06;10.13
29-12-99 14:00;10.144;10.074;10.144
29-12-99 15:00;10.157;10.087;10.157
29-12-99 16:00;10.168;10.099;10.168
29-12-99 17:00;10.179;10.109;10.179
29-12-99 18:00;10.188;10.119;10.188
29-12-99 19:00;10.197;10.127;10.197
29-12-99 20:00;10.204;10.135;10.204
29-12-99 21:00;10.211;10.142;10.211
29-12-99 22:00;10.218;10.149;10.218
29-12-99 23:00;10.224;10.155;10.224
30-12-99 00:00;10.229;10.16;10.229
30-12-99 01:00;10.234;10.165;10.234
30-12-99 02:00;10.239;10.17;10.239
30-12-99 03:00;10.243;10.174;10.243
30-12-99 04:00;10.247;10.178;10.247
30-12-99 05:00;10.25;10.182;10.25
30-12-99 06:00;10.254;10.185;10.254
30-12-99 07:00;10.257;10.188;10.257
30-12-99 08:00;10.26;10.191;10.26
30-12-99 09:00;10.262;10.194;10.262
30-12-99 10:00;10.265;10.196;10.265
30-12-99 11:00;10.267;10.198;10.267
30-12-99 12:00;10.269;10.2;10.269
30-12-99 13:00;10.271;10.202;10.271
30-12-99 14:00;10.272;10.204;10.272
30-12-99 15:00;10.274;10.206;10.274
30-12-99 16:00;10.276;10.207;10.276
30-12-99 17:00;10.277;10.209;10.277
30-12-99 18:00;10.278;10.21;10.278
30-12-99 19:00;10.279;10.211;10.279
30-12-99 20:00;10.281;10.212;10.281
30-12-99 21:00;10.282;10.213;10.282
30-12-99 22:00;10.283;10.214;10.283
30-12-99 23:00;10.283;10.215;10.283
