Time [yyyy-MM-dd HH:mm:ss];50872ObsUS: Water level at (Bovenrijn_A_ 2142_782)_ Flow1D [m AD];865.00_BR: Water level at (Bovenrijn_B_B_ 0)_ Flow1D [m AD]
29-12-99 00:00;11.165;11.124
29-12-99 01:00;11.058;10.997
29-12-99 02:00;11.009;10.948
29-12-99 03:00;11.074;11.016
29-12-99 04:00;11.145;11.088
29-12-99 05:00;11.207;11.151
29-12-99 06:00;11.259;11.205
29-12-99 07:00;11.303;11.25
29-12-99 08:00;11.34;11.287
29-12-99 09:00;11.371;11.319
29-12-99 10:00;11.398;11.346
29-12-99 11:00;11.421;11.369
29-12-99 12:00;11.441;11.39
29-12-99 13:00;11.458;11.408
29-12-99 14:00;11.473;11.423
29-12-99 15:00;11.487;11.437
29-12-99 16:00;11.499;11.449
29-12-99 17:00;11.51;11.46
29-12-99 18:00;11.52;11.47
29-12-99 19:00;11.528;11.479
29-12-99 20:00;11.536;11.487
29-12-99 21:00;11.543;11.494
29-12-99 22:00;11.549;11.5
29-12-99 23:00;11.555;11.506
30-12-99 00:00;11.56;11.511
30-12-99 01:00;11.565;11.516
30-12-99 02:00;11.569;11.521
30-12-99 03:00;11.573;11.525
30-12-99 04:00;11.577;11.528
30-12-99 05:00;11.58;11.532
30-12-99 06:00;11.583;11.535
30-12-99 07:00;11.586;11.538
30-12-99 08:00;11.588;11.54
30-12-99 09:00;11.591;11.542
30-12-99 10:00;11.593;11.545
30-12-99 11:00;11.595;11.547
30-12-99 12:00;11.597;11.549
30-12-99 13:00;11.598;11.55
30-12-99 14:00;11.6;11.552
30-12-99 15:00;11.601;11.553
30-12-99 16:00;11.602;11.555
30-12-99 17:00;11.604;11.556
30-12-99 18:00;11.605;11.557
30-12-99 19:00;11.606;11.558
30-12-99 20:00;11.607;11.559
30-12-99 21:00;11.608;11.56
30-12-99 22:00;11.608;11.561
30-12-99 23:00;11.609;11.561
31-12-99 00:00;11.61;11.562
31-12-99 01:00;11.61;11.563
31-12-99 02:00;11.611;11.563
31-12-99 03:00;11.612;11.564
31-12-99 04:00;11.612;11.564
31-12-99 05:00;11.612;11.565
31-12-99 06:00;11.613;11.565
31-12-99 07:00;11.613;11.566
31-12-99 08:00;11.614;11.566
31-12-99 09:00;11.614;11.566
31-12-99 10:00;11.614;11.567
31-12-99 11:00;11.615;11.567
31-12-99 12:00;11.615;11.567
31-12-99 13:00;11.615;11.567
31-12-99 14:00;11.615;11.568
31-12-99 15:00;11.615;11.568
31-12-99 16:00;11.616;11.568
31-12-99 17:00;11.616;11.568
31-12-99 18:00;11.616;11.568
31-12-99 19:00;11.616;11.568
31-12-99 20:00;11.616;11.569
31-12-99 21:00;11.616;11.569
31-12-99 22:00;11.616;11.569
31-12-99 23:00;11.617;11.569
01-01-00 00:00;11.617;11.569
01-01-00 01:00;11.617;11.569
01-01-00 02:00;11.616;11.569
01-01-00 03:00;11.616;11.569
01-01-00 04:00;11.616;11.568
01-01-00 05:00;11.616;11.568
01-01-00 06:00;11.615;11.568
01-01-00 07:00;11.615;11.567
01-01-00 08:00;11.615;11.567
01-01-00 09:00;11.614;11.567
01-01-00 10:00;11.614;11.566
01-01-00 11:00;11.613;11.566
01-01-00 12:00;11.613;11.565
01-01-00 13:00;11.613;11.565
01-01-00 14:00;11.612;11.565
01-01-00 15:00;11.612;11.564
01-01-00 16:00;11.611;11.564
01-01-00 17:00;11.611;11.563
01-01-00 18:00;11.61;11.563
01-01-00 19:00;11.61;11.562
01-01-00 20:00;11.609;11.562
01-01-00 21:00;11.609;11.561
01-01-00 22:00;11.608;11.561
01-01-00 23:00;11.608;11.56
02-01-00 00:00;11.607;11.56
02-01-00 01:00;11.606;11.559
02-01-00 02:00;11.605;11.558
02-01-00 03:00;11.604;11.557
02-01-00 04:00;11.603;11.556
02-01-00 05:00;11.602;11.554
02-01-00 06:00;11.6;11.553
02-01-00 07:00;11.599;11.551
02-01-00 08:00;11.597;11.55
02-01-00 09:00;11.596;11.548
02-01-00 10:00;11.594;11.547
02-01-00 11:00;11.593;11.545
02-01-00 12:00;11.591;11.544
02-01-00 13:00;11.589;11.542
02-01-00 14:00;11.588;11.54
02-01-00 15:00;11.586;11.539
02-01-00 16:00;11.584;11.537
02-01-00 17:00;11.583;11.535
02-01-00 18:00;11.581;11.534
02-01-00 19:00;11.579;11.532
02-01-00 20:00;11.578;11.53
02-01-00 21:00;11.576;11.529
02-01-00 22:00;11.574;11.527
02-01-00 23:00;11.573;11.525
03-01-00 00:00;11.571;11.523
03-01-00 01:00;11.571;11.523
03-01-00 02:00;11.572;11.524
03-01-00 03:00;11.573;11.526
03-01-00 04:00;11.576;11.528
03-01-00 05:00;11.578;11.53
03-01-00 06:00;11.581;11.533
03-01-00 07:00;11.584;11.536
03-01-00 08:00;11.588;11.54
03-01-00 09:00;11.591;11.543
03-01-00 10:00;11.595;11.547
03-01-00 11:00;11.599;11.551
03-01-00 12:00;11.603;11.555
03-01-00 13:00;11.607;11.559
03-01-00 14:00;11.611;11.563
03-01-00 15:00;11.615;11.567
03-01-00 16:00;11.62;11.572
03-01-00 17:00;11.624;11.576
03-01-00 18:00;11.629;11.581
03-01-00 19:00;11.634;11.586
03-01-00 20:00;11.638;11.59
03-01-00 21:00;11.643;11.595
03-01-00 22:00;11.648;11.6
03-01-00 23:00;11.653;11.605
04-01-00 00:00;11.658;11.609
04-01-00 01:00;11.662;11.614
04-01-00 02:00;11.667;11.619
04-01-00 03:00;11.671;11.623
04-01-00 04:00;11.676;11.627
04-01-00 05:00;11.68;11.632
04-01-00 06:00;11.684;11.636
04-01-00 07:00;11.688;11.64
04-01-00 08:00;11.693;11.644
04-01-00 09:00;11.697;11.649
04-01-00 10:00;11.701;11.653
04-01-00 11:00;11.705;11.657
04-01-00 12:00;11.709;11.661
04-01-00 13:00;11.714;11.666
04-01-00 14:00;11.718;11.67
04-01-00 15:00;11.722;11.674
04-01-00 16:00;11.726;11.678
