Time [yyyy-MM-dd HH:mm:ss];Water level at (51_A_B_ 4214_795) [m AD];Water level at (Bovenrijn_A_ 2156_515) [m AD]
27-12-99 00:00;8.6986;7.8012
27-12-99 01:00;8.2854;7.8748
27-12-99 02:00;8.4985;8.0086
27-12-99 03:00;8.8817;8.2614
27-12-99 04:00;9.3008;8.6261
27-12-99 05:00;9.6907;9.0077
27-12-99 06:00;10.048;9.3676
27-12-99 07:00;10.361;9.6975
27-12-99 08:00;10.623;9.9835
27-12-99 09:00;10.847;10.231
27-12-99 10:00;11.038;10.445
27-12-99 11:00;11.202;10.629
27-12-99 12:00;11.345;10.789
27-12-99 13:00;11.473;10.932
27-12-99 14:00;11.588;11.059
27-12-99 15:00;11.691;11.174
27-12-99 16:00;11.783;11.277
27-12-99 17:00;11.865;11.369
27-12-99 18:00;11.939;11.453
27-12-99 19:00;12.006;11.529
27-12-99 20:00;12.067;11.598
27-12-99 21:00;12.123;11.661
27-12-99 22:00;12.173;11.719
27-12-99 23:00;12.22;11.772
28-12-99 00:00;12.263;11.82
28-12-99 01:00;12.303;11.865
28-12-99 02:00;12.339;11.907
28-12-99 03:00;12.373;11.945
28-12-99 04:00;12.404;11.98
28-12-99 05:00;12.432;12.012
28-12-99 06:00;12.459;12.042
28-12-99 07:00;12.483;12.07
28-12-99 08:00;12.505;12.096
28-12-99 09:00;12.526;12.12
28-12-99 10:00;12.545;12.143
28-12-99 11:00;12.563;12.164
28-12-99 12:00;12.579;12.183
28-12-99 13:00;12.594;12.202
28-12-99 14:00;12.608;12.219
28-12-99 15:00;12.622;12.235
28-12-99 16:00;12.634;12.25
28-12-99 17:00;12.646;12.265
28-12-99 18:00;12.656;12.278
28-12-99 19:00;12.667;12.291
28-12-99 20:00;12.676;12.302
28-12-99 21:00;12.685;12.313
28-12-99 22:00;12.693;12.324
28-12-99 23:00;12.701;12.333
29-12-99 00:00;12.709;12.343
29-12-99 01:00;12.716;12.351
29-12-99 02:00;12.722;12.359
29-12-99 03:00;12.729;12.367
29-12-99 04:00;12.735;12.374
29-12-99 05:00;12.74;12.38
29-12-99 06:00;12.745;12.386
29-12-99 07:00;12.75;12.392
29-12-99 08:00;12.755;12.398
29-12-99 09:00;12.759;12.403
29-12-99 10:00;12.763;12.408
29-12-99 11:00;12.767;12.413
29-12-99 12:00;12.771;12.417
29-12-99 13:00;12.775;12.421
29-12-99 14:00;12.778;12.425
29-12-99 15:00;12.781;12.429
29-12-99 16:00;12.784;12.432
29-12-99 17:00;12.787;12.436
29-12-99 18:00;12.79;12.439
29-12-99 19:00;12.792;12.442
29-12-99 20:00;12.795;12.445
29-12-99 21:00;12.797;12.447
29-12-99 22:00;12.799;12.45
29-12-99 23:00;12.801;12.452
30-12-99 00:00;12.803;12.454
30-12-99 01:00;12.805;12.457
30-12-99 02:00;12.807;12.459
30-12-99 03:00;12.809;12.461
30-12-99 04:00;12.81;12.462
30-12-99 05:00;12.812;12.464
30-12-99 06:00;12.813;12.466
30-12-99 07:00;12.815;12.467
30-12-99 08:00;12.816;12.469
30-12-99 09:00;12.817;12.47
30-12-99 10:00;12.818;12.472
30-12-99 11:00;12.819;12.473
30-12-99 12:00;12.82;12.474
30-12-99 13:00;12.82;12.474
30-12-99 14:00;12.821;12.475
30-12-99 15:00;12.822;12.476
30-12-99 16:00;12.823;12.477
30-12-99 17:00;12.824;12.478
30-12-99 18:00;12.825;12.479
30-12-99 19:00;12.826;12.48
30-12-99 20:00;12.826;12.481
30-12-99 21:00;12.827;12.482
30-12-99 22:00;12.828;12.483
30-12-99 23:00;12.828;12.483
31-12-99 00:00;12.829;12.484
31-12-99 01:00;12.829;12.485
31-12-99 02:00;12.83;12.485
31-12-99 03:00;12.831;12.486
31-12-99 04:00;12.831;12.486
31-12-99 05:00;12.831;12.487
31-12-99 06:00;12.832;12.487
31-12-99 07:00;12.832;12.488
31-12-99 08:00;12.833;12.488
31-12-99 09:00;12.833;12.489
31-12-99 10:00;12.833;12.489
31-12-99 11:00;12.834;12.489
31-12-99 12:00;12.834;12.49
31-12-99 13:00;12.834;12.49
31-12-99 14:00;12.835;12.49
31-12-99 15:00;12.835;12.491
31-12-99 16:00;12.835;12.491
31-12-99 17:00;12.835;12.491
31-12-99 18:00;12.836;12.492
31-12-99 19:00;12.836;12.492
31-12-99 20:00;12.836;12.492
31-12-99 21:00;12.836;12.492
31-12-99 22:00;12.836;12.493
31-12-99 23:00;12.837;12.493
01-01-00 00:00;12.837;12.493
01-01-00 01:00;12.837;12.493
01-01-00 02:00;12.837;12.493
01-01-00 03:00;12.837;12.494
01-01-00 04:00;12.838;12.494
01-01-00 05:00;12.837;12.494
01-01-00 06:00;12.837;12.494
01-01-00 07:00;12.837;12.493
01-01-00 08:00;12.836;12.493
01-01-00 09:00;12.835;12.492
01-01-00 10:00;12.834;12.491
01-01-00 11:00;12.832;12.489
01-01-00 12:00;12.83;12.487
01-01-00 13:00;12.828;12.486
01-01-00 14:00;12.826;12.483
01-01-00 15:00;12.824;12.481
01-01-00 16:00;12.821;12.479
01-01-00 17:00;12.818;12.476
01-01-00 18:00;12.815;12.473
01-01-00 19:00;12.812;12.47
01-01-00 20:00;12.809;12.466
01-01-00 21:00;12.805;12.463
01-01-00 22:00;12.801;12.459
01-01-00 23:00;12.798;12.455
02-01-00 00:00;12.794;12.452
