Time [yyyy-MM-dd HH:mm:ss];876.00_PK: Water level at (PanKan2_B_B_ 591_477)_ Flow1D [m AD];50892ObsUS: Water level at (PanKan2_B_A_A_ 1969_046)_ Flow1D [m AD];874.00_PK: Water level at (PanKan2_B_A_A_ 772_431)_ Flow1D [m AD];50869ObsUS: Water level at (PanKan2_A_ 3174_569)_ Flow1D [m AD]
29-12-99 00:00;10.359;4.94;10.506;10.541
29-12-99 01:00;10.2;10.252;10.33;10.373
29-12-99 02:00;10.075;10.13;10.216;10.267
29-12-99 03:00;10.079;10.141;10.236;10.293
29-12-99 04:00;10.117;10.183;10.284;10.346
29-12-99 05:00;10.16;10.228;10.334;10.398
29-12-99 06:00;10.2;10.271;10.38;10.445
29-12-99 07:00;10.237;10.309;10.42;10.487
29-12-99 08:00;10.269;10.342;10.455;10.522
29-12-99 09:00;10.297;10.371;10.485;10.553
29-12-99 10:00;10.322;10.396;10.511;10.58
29-12-99 11:00;10.343;10.418;10.534;10.603
29-12-99 12:00;10.362;10.438;10.554;10.623
29-12-99 13:00;10.379;10.455;10.572;10.641
29-12-99 14:00;10.395;10.471;10.587;10.657
29-12-99 15:00;10.408;10.484;10.601;10.672
29-12-99 16:00;10.42;10.497;10.614;10.684
29-12-99 17:00;10.431;10.508;10.625;10.696
29-12-99 18:00;10.441;10.518;10.635;10.706
29-12-99 19:00;10.45;10.527;10.644;10.715
29-12-99 20:00;10.458;10.535;10.653;10.723
29-12-99 21:00;10.465;10.542;10.66;10.731
29-12-99 22:00;10.472;10.549;10.667;10.738
29-12-99 23:00;10.478;10.555;10.673;10.744
30-12-99 00:00;10.484;10.561;10.679;10.75
30-12-99 01:00;10.489;10.566;10.684;10.755
30-12-99 02:00;10.493;10.57;10.689;10.759
30-12-99 03:00;10.498;10.575;10.693;10.764
30-12-99 04:00;10.502;10.579;10.697;10.768
30-12-99 05:00;10.505;10.582;10.7;10.771
30-12-99 06:00;10.509;10.586;10.704;10.775
30-12-99 07:00;10.512;10.589;10.707;10.778
30-12-99 08:00;10.515;10.592;10.71;10.781
30-12-99 09:00;10.517;10.594;10.712;10.783
30-12-99 10:00;10.52;10.597;10.715;10.786
30-12-99 11:00;10.522;10.599;10.717;10.788
30-12-99 12:00;10.524;10.601;10.719;10.79
30-12-99 13:00;10.526;10.603;10.721;10.792
30-12-99 14:00;10.527;10.604;10.723;10.793
30-12-99 15:00;10.529;10.606;10.724;10.795
30-12-99 16:00;10.531;10.608;10.726;10.797
30-12-99 17:00;10.532;10.609;10.727;10.798
30-12-99 18:00;10.533;10.61;10.728;10.799
30-12-99 19:00;10.534;10.611;10.729;10.8
30-12-99 20:00;10.535;10.612;10.73;10.801
30-12-99 21:00;10.537;10.613;10.731;10.802
30-12-99 22:00;10.537;10.614;10.732;10.803
30-12-99 23:00;10.538;10.615;10.733;10.804
31-12-99 00:00;10.539;10.616;10.734;10.805
31-12-99 01:00;10.54;10.617;10.735;10.806
31-12-99 02:00;10.54;10.617;10.735;10.806
31-12-99 03:00;10.541;10.618;10.736;10.807
31-12-99 04:00;10.542;10.619;10.737;10.807
31-12-99 05:00;10.542;10.619;10.737;10.808
31-12-99 06:00;10.543;10.62;10.738;10.808
31-12-99 07:00;10.543;10.62;10.738;10.809
31-12-99 08:00;10.544;10.621;10.738;10.809
31-12-99 09:00;10.544;10.621;10.739;10.81
31-12-99 10:00;10.544;10.621;10.739;10.81
31-12-99 11:00;10.545;10.622;10.739;10.81
31-12-99 12:00;10.545;10.622;10.74;10.811
31-12-99 13:00;10.545;10.622;10.74;10.811
31-12-99 14:00;10.545;10.622;10.74;10.811
31-12-99 15:00;10.546;10.623;10.741;10.811
31-12-99 16:00;10.546;10.623;10.741;10.812
31-12-99 17:00;10.546;10.623;10.741;10.812
31-12-99 18:00;10.546;10.623;10.741;10.812
31-12-99 19:00;10.546;10.623;10.741;10.812
31-12-99 20:00;10.547;10.624;10.741;10.812
31-12-99 21:00;10.547;10.624;10.742;10.812
31-12-99 22:00;10.547;10.624;10.742;10.813
31-12-99 23:00;10.547;10.624;10.742;10.813
01-01-00 00:00;10.547;10.624;10.742;10.813
01-01-00 01:00;10.547;10.624;10.742;10.813
01-01-00 02:00;10.547;10.624;10.742;10.813
01-01-00 03:00;10.547;10.624;10.742;10.813
01-01-00 04:00;10.547;10.624;10.742;10.813
01-01-00 05:00;10.547;10.624;10.741;10.812
01-01-00 06:00;10.547;10.623;10.741;10.812
01-01-00 07:00;10.546;10.623;10.741;10.812
01-01-00 08:00;10.546;10.623;10.741;10.812
01-01-00 09:00;10.546;10.623;10.74;10.811
01-01-00 10:00;10.545;10.622;10.74;10.811
01-01-00 11:00;10.545;10.622;10.74;10.811
01-01-00 12:00;10.545;10.622;10.739;10.81
01-01-00 13:00;10.544;10.621;10.739;10.81
01-01-00 14:00;10.544;10.621;10.739;10.809
01-01-00 15:00;10.544;10.62;10.738;10.809
01-01-00 16:00;10.543;10.62;10.738;10.809
