Time [yyyy-MM-dd HH:mm:ss];ObservationPoint4: Water level at (PanKan2_B_B_ 3058_477)_ Flow1D [m AD];ObservationPoint6: Water level at (Nederrijn1_ 502)_ Flow1D [m AD];ObservationPoint5: Water level at (IJssel01_ 0)_ Flow1D [m AD];50909ObsUS: Water level at (Waal2_B_A_A_A_ 6292_695)_ Flow1D [m AD];50906ObsUS: Water level at (Waal3_A_ 691_776)_ Flow1D [m AD];889.00_WA: Water level at (Waal3_B_B_A_ 200_736)_ Flow1D [m AD];905.00_WA: Water level at (Waal3_B_B_B_ 334_729)_ Flow1D [m AD];50922ObsUS: Water level at (Waal4_A_ 2996)_ Flow1D [m AD];50930ObsUS: Water level at (Waal5_A_ 4993)_ Flow1D [m AD];938.00_WA: Water level at (Waal5_B_B_A_ 721_827)_ Flow1D [m AD];946.00_WA: Water level at (Waal5_B_B_B_A_ 332_373)_ Flow1D [m AD];51021ObsUS: Water level at (Waal5_B_B_B_A_ 5597_94)_ Flow1D [m AD];953.00_WA: Water level at (Waal6_A_ 499)_ Flow1D [m AD];51043ObsUS: Water level at (Waal6_A_ 2732_459)_ Flow1D [m AD];956.00_WA: Water level at (Waal6_B_A_ 762_541)_ Flow1D [m AD];957.00_WA: Water level at (Waal6_B_B_A_ 704_149)_ Flow1D [m AD];960.00_WA: Water level at (Waal6_B_B_B_B_B_ 0)_ Flow1D [m AD]
29-12-99 00:00;10.171;10.179;10.171;4.74;9.1612;9.0717;7.6981;6.4274;4.4125;3.6229;2.5537;1.04;1.2813;0.9207;1.1158;0.83277;0.29
29-12-99 01:00;10.024;9.9656;10.024;8.227;7.7358;7.6317;6.8529;6.396;4.3661;3.5892;2.4935;1.809;1.6767;1.529;1.4822;1.4271;1.2893
29-12-99 02:00;9.8967;9.8402;9.8967;8.9845;8.3892;8.2401;6.8027;5.8267;4.2914;3.5497;2.5048;1.8503;1.7191;1.5682;1.5194;1.4614;1.3153
29-12-99 03:00;9.8823;9.8208;9.8823;9.2703;8.6935;8.5385;6.9282;5.7526;4.0645;3.4093;2.4718;1.857;1.7287;1.5798;1.5313;1.4733;1.3261
29-12-99 04:00;9.9059;9.8411;9.9059;9.4496;8.8956;8.7421;7.0535;5.7401;3.9354;3.2812;2.3924;1.8152;1.6942;1.5553;1.5097;1.4551;1.3142
29-12-99 05:00;9.9381;9.8712;9.9381;9.5819;9.043;8.8915;7.174;5.7795;3.8656;3.1962;2.317;1.756;1.6404;1.511;1.4685;1.4177;1.2874
29-12-99 06:00;9.9712;9.903;9.9712;9.685;9.1577;9.0084;7.2849;5.843;3.8384;3.1462;2.2582;1.7034;1.5923;1.471;1.4311;1.3839;1.2633
29-12-99 07:00;10.002;9.9332;10.002;9.7681;9.2506;9.1033;7.3849;5.9161;3.8405;3.1247;2.2205;1.6657;1.5573;1.4412;1.4032;1.3583;1.2445
29-12-99 08:00;10.03;9.9607;10.03;9.8366;9.3274;9.1821;7.4744;5.9904;3.8625;3.1253;2.2026;1.6436;1.5364;1.4231;1.386;1.3424;1.2325
29-12-99 09:00;10.055;9.9854;10.055;9.8939;9.3921;9.2486;7.5537;6.0625;3.8975;3.142;2.2008;1.6351;1.5279;1.4152;1.3784;1.3352;1.2268
