Time [yyyy-MM-dd HH:mm:ss],Water level at (Waal2_A_ 3753_233) [m AD],Water level at (Waal2_B_A_A_A_ 6438_712) [m AD],Water level at (Waal2_B_A_A_B_ 2469_155) [m AD]
1999-12-27 00:00:00,6_9925,7_024,6_0444
1999-12-27 01:00:00,6_9668,6_5449,6_392
1999-12-27 02:00:00,7_0573,6_5709,6_4025
1999-12-27 03:00:00,7_1499,6_6245,6_4462
1999-12-27 04:00:00,7_3264,6_7369,6_5394
1999-12-27 05:00:00,7_5657,6_9175,6_6992
1999-12-27 06:00:00,7_8512,7_1541,6_9173
1999-12-27 07:00:00,8_1534,7_4295,7_1805
1999-12-27 08:00:00,8_4481,7_719,7_4655
1999-12-27 09:00:00,8_721,8_0022,7_7506
1999-12-27 10:00:00,8_9695,8_2695,8_0235
1999-12-27 11:00:00,9_1936,8_5163,8_2777
1999-12-27 12:00:00,9_3938,8_7406,8_5102
1999-12-27 13:00:00,9_5724,8_9424,8_72
1999-12-27 14:00:00,9_7327,9_1237,8_9087
1999-12-27 15:00:00,9_8775,9_2874,9_0791
1999-12-27 16:00:00,10_009,9_4358,9_2335
1999-12-27 17:00:00,10_128,9_5703,9_3736
1999-12-27 18:00:00,10_236,9_6925,9_5005
1999-12-27 19:00:00,10_334,9_8033,9_6158
1999-12-27 20:00:00,10_424,9_9045,9_721
1999-12-27 21:00:00,10_506,9_9971,9_8172
1999-12-27 22:00:00,10_581,10_082,9_9049
1999-12-27 23:00:00,10_65,10_159,9_985
1999-12-28 00:00:00,10_713,10_229,10_058
1999-12-28 01:00:00,10_77,10_294,10_125
1999-12-28 02:00:00,10_823,10_353,10_187
1999-12-28 03:00:00,10_872,10_407,10_243
1999-12-28 04:00:00,10_917,10_457,10_294
1999-12-28 05:00:00,10_958,10_503,10_342
1999-12-28 06:00:00,10_997,10_546,10_386
1999-12-28 07:00:00,11_032,10_585,10_427
1999-12-28 08:00:00,11_065,10_621,10_464
1999-12-28 09:00:00,11_096,10_656,10_5
1999-12-28 10:00:00,11_124,10_687,10_533
1999-12-28 11:00:00,11_151,10_717,10_564
1999-12-28 12:00:00,11_176,10_745,10_592
1999-12-28 13:00:00,11_2,10_771,10_619
1999-12-28 14:00:00,11_222,10_795,10_644
1999-12-28 15:00:00,11_243,10_818,10_668
1999-12-28 16:00:00,11_262,10_839,10_69
1999-12-28 17:00:00,11_28,10_859,10_71
1999-12-28 18:00:00,11_297,10_878,10_73
1999-12-28 19:00:00,11_313,10_895,10_748
1999-12-28 20:00:00,11_328,10_912,10_765
1999-12-28 21:00:00,11_342,10_927,10_78
1999-12-28 22:00:00,11_355,10_941,10_795
1999-12-28 23:00:00,11_367,10_954,10_809
1999-12-29 00:00:00,11_379,10_967,10_822
1999-12-29 01:00:00,11_389,10_979,10_834
1999-12-29 02:00:00,11_399,10_989,10_845
1999-12-29 03:00:00,11_409,11,10_855
1999-12-29 04:00:00,11_418,11_009,10_865
1999-12-29 05:00:00,11_426,11_018,10_875
1999-12-29 06:00:00,11_434,11_027,10_883
1999-12-29 07:00:00,11_441,11_035,10_891
1999-12-29 08:00:00,11_448,11_042,10_899
1999-12-29 09:00:00,11_455,11_049,10_907
1999-12-29 10:00:00,11_461,11_056,10_913
1999-12-29 11:00:00,11_467,11_062,10_92
1999-12-29 12:00:00,11_472,11_068,10_926
1999-12-29 13:00:00,11_477,11_074,10_932
1999-12-29 14:00:00,11_482,11_079,10_937
1999-12-29 15:00:00,11_487,11_084,10_943
1999-12-29 16:00:00,11_491,11_089,10_948
1999-12-29 17:00:00,11_496,11_094,10_952
1999-12-29 18:00:00,11_5,11_098,10_957
1999-12-29 19:00:00,11_503,11_102,10_961
1999-12-29 20:00:00,11_507,11_106,10_965
1999-12-29 21:00:00,11_51,11_11,10_969
1999-12-29 22:00:00,11_514,11_113,10_973
1999-12-29 23:00:00,11_517,11_117,10_976
1999-12-30 00:00:00,11_52,11_12,10_979
1999-12-30 01:00:00,11_522,11_123,10_982
1999-12-30 02:00:00,11_525,11_126,10_985
1999-12-30 03:00:00,11_527,11_129,10_988
1999-12-30 04:00:00,11_53,11_131,10_991
1999-12-30 05:00:00,11_532,11_134,10_993
1999-12-30 06:00:00,11_534,11_136,10_996
1999-12-30 07:00:00,11_536,11_138,10_998
1999-12-30 08:00:00,11_538,11_14,11
1999-12-30 09:00:00,11_54,11_142,11_002
1999-12-30 10:00:00,11_542,11_144,11_004
1999-12-30 11:00:00,11_543,11_146,11_006
1999-12-30 12:00:00,11_539,11_141,11_001
1999-12-30 13:00:00,11_543,11_145,11_005
1999-12-30 14:00:00,11_545,11_147,11_007
1999-12-30 15:00:00,11_547,11_149,11_01
1999-12-30 16:00:00,11_548,11_151,11_011
1999-12-30 17:00:00,11_55,11_153,11_013
1999-12-30 18:00:00,11_551,11_154,11_015
1999-12-30 19:00:00,11_552,11_155,11_016
1999-12-30 20:00:00,11_553,11_157,11_017
1999-12-30 21:00:00,11_554,11_158,11_019
1999-12-30 22:00:00,11_555,11_159,11_02
1999-12-30 23:00:00,11_556,11_16,11_021
1999-12-31 00:00:00,11_557,11_161,11_022
1999-12-31 01:00:00,11_558,11_162,11_023
1999-12-31 02:00:00,11_559,11_163,11_024
1999-12-31 03:00:00,11_56,11_164,11_024
1999-12-31 04:00:00,11_56,11_164,11_025
1999-12-31 05:00:00,11_561,11_165,11_026
1999-12-31 06:00:00,11_562,11_166,11_027
1999-12-31 07:00:00,11_562,11_166,11_027
1999-12-31 08:00:00,11_563,11_167,11_028
1999-12-31 09:00:00,11_563,11_168,11_029
1999-12-31 10:00:00,11_564,11_168,11_029
1999-12-31 11:00:00,11_564,11_169,11_03
1999-12-31 12:00:00,11_565,11_169,11_03
1999-12-31 13:00:00,11_565,11_17,11_031
1999-12-31 14:00:00,11_565,11_17,11_031
1999-12-31 15:00:00,11_566,11_171,11_032
1999-12-31 16:00:00,11_566,11_171,11_032
1999-12-31 17:00:00,11_567,11_171,11_032
1999-12-31 18:00:00,11_567,11_172,11_033
1999-12-31 19:00:00,11_567,11_172,11_033
1999-12-31 20:00:00,11_567,11_172,11_033
1999-12-31 21:00:00,11_568,11_173,11_034
1999-12-31 22:00:00,11_568,11_173,11_034
1999-12-31 23:00:00,11_568,11_173,11_034
2000-01-01 00:00:00,11_568,11_173,11_034
2000-01-01 01:00:00,11_569,11_174,11_035
2000-01-01 02:00:00,11_569,11_174,11_035
2000-01-01 03:00:00,11_569,11_174,11_035
2000-01-01 04:00:00,11_569,11_174,11_035
2000-01-01 05:00:00,11_57,11_175,11_036
2000-01-01 06:00:00,11_57,11_175,11_036
2000-01-01 07:00:00,11_57,11_175,11_036
2000-01-01 08:00:00,11_569,11_175,11_036
2000-01-01 09:00:00,11_569,11_174,11_036
2000-01-01 10:00:00,11_568,11_174,11_035
2000-01-01 11:00:00,11_567,11_173,11_035
2000-01-01 12:00:00,11_566,11_172,11_034
2000-01-01 13:00:00,11_565,11_171,11_033
2000-01-01 14:00:00,11_563,11_17,11_031
2000-01-01 15:00:00,11_562,11_168,11_03
2000-01-01 16:00:00,11_56,11_166,11_028
2000-01-01 17:00:00,11_557,11_164,11_026
2000-01-01 18:00:00,11_555,11_162,11_024
2000-01-01 19:00:00,11_552,11_16,11_021
2000-01-01 20:00:00,11_55,11_157,11_019
2000-01-01 21:00:00,11_547,11_154,11_016
2000-01-01 22:00:00,11_544,11_151,11_013
2000-01-01 23:00:00,11_54,11_148,11_01
2000-01-02 00:00:00,11_537,11_145,11_007
2000-01-02 01:00:00,11_533,11_141,11_003
2000-01-02 02:00:00,11_529,11_138,11
2000-01-02 03:00:00,11_525,11_134,10_996
2000-01-02 04:00:00,11_521,11_13,10_992
2000-01-02 05:00:00,11_517,11_126,10_988
2000-01-02 06:00:00,11_514,11_122,10_984
2000-01-02 07:00:00,11_51,11_118,10_98
2000-01-02 08:00:00,11_507,11_115,10_977
2000-01-02 09:00:00,11_505,11_112,10_974
2000-01-02 10:00:00,11_503,11_11,10_972
2000-01-02 11:00:00,11_502,11_108,10_97
2000-01-02 12:00:00,11_501,11_107,10_968
2000-01-02 13:00:00,11_501,11_106,10_968
2000-01-02 14:00:00,11_501,11_106,10_967
2000-01-02 15:00:00,11_502,11_107,10_968
2000-01-02 16:00:00,11_503,11_108,10_968
2000-01-02 17:00:00,11_505,11_109,10_97
2000-01-02 18:00:00,11_508,11_111,10_972
2000-01-02 19:00:00,11_511,11_114,10_974
2000-01-02 20:00:00,11_514,11_117,10_977
2000-01-02 21:00:00,11_518,11_12,10_98
2000-01-02 22:00:00,11_523,11_124,10_984
2000-01-02 23:00:00,11_528,11_129,10_988
2000-01-03 00:00:00,11_533,11_133,10_993
2000-01-03 01:00:00,11_538,11_139,10_998
2000-01-03 02:00:00,11_544,11_144,11_004
