Time [yyyy-MM-dd HH:mm:ss];odd_018: Water level at (Nederrijn2_A_ 0)_ Flow1D [m AD];882.00_NR: Water level at (Nederrijn2_B_B_A_ 149_703)_ Flow1D [m AD];886.00_NR: Water level at (Nederrijn2_B_B_B_A_ 2770_079)_ Flow1D [m AD];903.00_NR: Water level at (Nederrijn3_A_ 1004)_ Flow1D [m AD];909.00_NR: Water level at (Nederrijn4_A_ 1005)_ Flow1D [m AD];917.00_NR: Water level at (Nederrijn5_A_ 3014)_ Flow1D [m AD];EckenWiel: Water level at (Nederrijn5_B_A_ 870_737)_ Flow1D [m AD];931.00_LE: Water level at (Lek1_B_A_ 1177_909)_ Flow1D [m AD];941.00_LE: Water level at (Lek1_B_B_A_ 1192_286)_ Flow1D [m AD];944.00_LE: Water level at (Lek1_B_B_B_A_ 658_638)_ Flow1D [m AD];946.00_LE: Water level at (Lek1_B_B_B_B_ 565_87)_ Flow1D [m AD];949.00_LE: Water level at (Lek2_ 1505)_ Flow1D [m AD];951.00_LE: Water level at (Lek5_A_ 0)_ Flow1D [m AD];50983ObsUS: Water level at (Lek5_B_A_ 1036_231)_ Flow1D [m AD];Q-HagestbeSchoonh: Water level at (Lek5_B_B_A_ 5742_415)_ Flow1D [m AD];961.00_LE: Water level at (Lek5_B_B_B_ 718_746)_ Flow1D [m AD];972.00_LE: Water level at (Lek7_A_B_ 4715_827)_ Flow1D [m AD];978.00_LE: Water level at (Lek7_B_B_ 1192_65)_ Flow1D [m AD]
29-12-99 00:00;9.9381;9.761;9.2271;7.1652;6.3639;5.4271;5.1889;3.9495;2.8727;2.6161;2.4849;2.2609;-0.85;2.047;1.8181;1.7633;1.4457;1.3653
29-12-99 01:00;9.7806;9.5859;9.0723;7.1453;6.342;5.3467;5.1053;3.9081;2.837;2.5822;2.4596;2.2302;2.1353;1.9888;1.6718;1.5711;1.1235;1.2463
29-12-99 02:00;9.6659;9.4869;9.0153;7.1132;6.3091;5.3099;5.0684;3.8782;2.8264;2.5745;2.4468;2.1958;2.0953;1.9541;1.7128;1.6571;1.3597;1.2904
29-12-99 03:00;9.6332;9.4457;8.9574;7.0798;6.276;5.2758;5.0346;3.849;2.8034;2.563;2.4445;2.2165;2.1273;1.9941;1.7531;1.6989;1.3941;1.3182
29-12-99 04:00;9.6436;9.4471;8.935;7.0388;6.2376;5.2427;5.0023;3.8222;2.7967;2.5633;2.4481;2.2262;2.1395;2.0091;1.7696;1.7153;1.4064;1.3297
29-12-99 05:00;9.6674;9.4644;8.9337;7.0011;6.1974;5.2084;4.9696;3.7987;2.7886;2.5597;2.4468;2.2288;2.1435;2.0148;1.7773;1.7232;1.4142;1.3367
29-12-99 06:00;9.6951;9.4877;8.9435;6.9717;6.1614;5.1749;4.9377;3.7758;2.7783;2.5529;2.4418;2.2272;2.1431;2.0158;1.7803;1.7266;1.4182;1.3404
29-12-99 07:00;9.7228;9.5125;8.9589;6.951;6.1322;5.1442;4.9078;3.7529;2.7659;2.5435;2.434;2.2224;2.1393;2.0133;1.7799;1.7266;1.4196;1.342
29-12-99 08:00;9.7489;9.5367;8.9766;6.9382;6.1103;5.1175;4.881;3.7303;2.752;2.5322;2.424;2.2152;2.1331;2.0082;1.777;1.7242;1.4193;1.342
29-12-99 09:00;9.7728;9.5594;8.9949;6.9317;6.0951;5.095;4.8577;3.7086;2.7371;2.5194;2.4125;2.2062;2.1251;2.0012;1.7723;1.7199;1.4177;1.3409
29-12-99 10:00;9.7943;9.5802;9.0129;6.9302;6.0856;5.0767;4.8381;3.6882;2.7219;2.5059;2.4;2.1961;2.1159;1.9929;1.7663;1.7144;1.4151;1.339
29-12-99 11:00;9.8138;9.5992;9.0301;6.9323;6.0806;5.0624;4.822;3.6697;2.7068;2.4922;2.3872;2.1854;2.106;1.9838;1.7594;1.7081;1.4119;1.3366
29-12-99 12:00;9.8314;9.6166;9.0464;6.937;6.0792;5.0515;4.8092;3.6532;2.6923;2.4788;2.3745;2.1746;2.0958;1.9743;1.7521;1.7013;1.4082;1.3337
29-12-99 13:00;9.8473;9.6324;9.0617;6.9436;6.0806;5.0437;4.7993;3.6388;2.6788;2.4661;2.3624;2.1639;2.0858;1.9649;1.7446;1.6943;1.4044;1.3307
29-12-99 14:00;9.8616;9.6468;9.0759;6.9514;6.084;5.0384;4.7921;3.6265;2.6664;2.4543;2.351;2.1538;2.0762;1.9559;1.7373;1.6875;1.4005;1.3276
29-12-99 15:00;9.8746;9.6599;9.0891;6.9599;6.089;5.0354;4.787;3.6163;2.6554;2.4435;2.3406;2.1445;2.0672;1.9473;1.7304;1.681;1.3967;1.3245
29-12-99 16:00;9.8865;9.6719;9.1013;6.9689;6.0951;5.0341;4.784;3.608;2.6457;2.434;2.3313;2.136;2.0591;1.9395;1.724;1.6749;1.393;1.3216
29-12-99 17:00;9.8972;9.6828;9.1126;6.978;6.1019;5.0344;4.7825;3.6014;2.6374;2.4257;2.3231;2.1284;2.0518;1.9325;1.7181;1.6694;1.3897;1.3189
29-12-99 18:00;9.907;9.6928;9.123;6.9872;6.1092;5.0358;4.7824;3.5964;2.6305;2.4186;2.316;2.1219;2.0454;1.9264;1.7129;1.6644;1.3867;1.3164
29-12-99 19:00;9.9159;9.7019;9.1327;6.9962;6.1167;5.0382;4.7833;3.5929;2.6248;2.4127;2.3101;2.1163;2.04;1.921;1.7084;1.6601;1.384;1.3142
29-12-99 20:00;9.924;9.7102;9.1416;7.005;6.1245;5.0414;4.7852;3.5906;2.6203;2.4079;2.3053;2.1116;2.0354;1.9165;1.7045;1.6565;1.3816;1.3123
29-12-99 21:00;9.9315;9.7179;9.1498;7.0135;6.1322;5.0451;4.7879;3.5894;2.6169;2.4041;2.3014;2.1078;2.0316;1.9129;1.7013;1.6534;1.3797;1.3107
29-12-99 22:00;9.9383;9.7249;9.1574;7.0216;6.1398;5.0493;4.7911;3.5891;2.6144;2.4013;2.2985;2.1048;2.0287;1.9099;1.6987;1.6509;1.3781;1.3094
29-12-99 23:00;9.9445;9.7313;9.1644;7.0295;6.1473;5.0539;4.7947;3.5896;2.6128;2.3993;2.2964;2.1026;2.0265;1.9077;1.6967;1.649;1.377;1.3086
30-12-99 00:00;9.9502;9.7373;9.1708;7.0369;6.1545;5.0586;4.7987;3.5908;2.612;2.3982;2.2951;2.1012;2.025;1.9061;1.6954;1.6477;1.3762;1.308
30-12-99 01:00;9.9555;9.7427;9.1768;7.044;6.1616;5.0635;4.8029;3.5926;2.6119;2.3977;2.2944;2.1003;2.0241;1.9052;1.6945;1.6468;1.3757;1.3076
30-12-99 02:00;9.9604;9.7478;9.1824;7.0507;6.1683;5.0685;4.8073;3.5948;2.6124;2.3978;2.2944;2.1001;2.0237;1.9048;1.694;1.6464;1.3754;1.3074
30-12-99 03:00;9.9649;9.7524;9.1875;7.057;6.1749;5.0735;4.8118;3.5974;2.6134;2.3985;2.2949;2.1003;2.0238;1.9048;1.6939;1.6463;1.3753;1.3072
30-12-99 04:00;9.969;9.7567;9.1922;7.063;6.1811;5.0784;4.8164;3.6003;2.6149;2.3996;2.2958;2.1009;2.0243;1.9052;1.6941;1.6464;1.3753;1.3072
30-12-99 05:00;9.9728;9.7607;9.1967;7.0687;6.187;5.0833;4.8209;3.6034;2.6167;2.401;2.2971;2.1018;2.0251;1.9058;1.6945;1.6468;1.3754;1.3073
30-12-99 06:00;9.9763;9.7643;9.2007;7.074;6.1927;5.0882;4.8254;3.6067;2.6187;2.4027;2.2986;2.103;2.0262;1.9068;1.6952;1.6474;1.3757;1.3075
30-12-99 07:00;9.9796;9.7677;9.2045;7.079;6.1981;5.0929;4.8299;3.6101;2.621;2.4047;2.3004;2.1044;2.0275;1.9079;1.696;1.6481;1.376;1.3077
30-12-99 08:00;9.9826;9.7709;9.2081;7.0838;6.2032;5.0975;4.8343;3.6136;2.6234;2.4068;2.3023;2.106;2.0289;1.9092;1.6969;1.6489;1.3764;1.3079
30-12-99 09:00;9.9854;9.7738;9.2113;7.0882;6.2081;5.1019;4.8385;3.6171;2.626;2.409;2.3044;2.1077;2.0305;1.9106;1.698;1.6499;1.3768;1.3083
30-12-99 10:00;9.9879;9.7765;9.2144;7.0924;6.2127;5.1062;4.8427;3.6206;2.6286;2.4114;2.3066;2.1095;2.0322;1.9121;1.6991;1.6509;1.3773;1.3086
30-12-99 11:00;9.9903;9.779;9.2172;7.0963;6.2171;5.1103;4.8467;3.6241;2.6313;2.4138;2.3089;2.1114;2.0339;1.9137;1.7003;1.652;1.3778;1.309
30-12-99 12:00;9.9925;9.7813;9.2198;7.1;6.2212;5.1143;4.8506;3.6275;2.634;2.4163;2.3112;2.1134;2.0357;1.9154;1.7015;1.6532;1.3784;1.3094
30-12-99 13:00;9.9946;9.7834;9.2222;7.1035;6.2251;5.1181;4.8544;3.6309;2.6367;2.4187;2.3135;2.1153;2.0376;1.9171;1.7028;1.6544;1.3789;1.3098
30-12-99 14:00;9.9965;9.7854;9.2245;7.1068;6.2288;5.1218;4.858;3.6341;2.6393;2.4212;2.3158;2.1173;2.0394;1.9187;1.7041;1.6555;1.3795;1.3102
30-12-99 15:00;9.9982;9.7873;9.2266;7.1098;6.2322;5.1253;4.8614;3.6373;2.642;2.4236;2.3181;2.1192;2.0412;1.9204;1.7054;1.6567;1.3801;1.3106
30-12-99 16:00;9.9999;9.789;9.2285;7.1127;6.2355;5.1286;4.8647;3.6404;2.6446;2.426;2.3203;2.1212;2.043;1.9221;1.7066;1.6579;1.3806;1.311
30-12-99 17:00;10.001;9.7905;9.2304;7.1154;6.2386;5.1318;4.8679;3.6434;2.6471;2.4283;2.3225;2.1231;2.0448;1.9237;1.7079;1.6591;1.3812;1.3114
30-12-99 18:00;10.003;9.792;9.232;7.1179;6.2415;5.1348;4.8709;3.6463;2.6495;2.4306;2.3247;2.1249;2.0466;1.9253;1.7091;1.6602;1.3818;1.3119
30-12-99 19:00;10.004;9.7934;9.2336;7.1203;6.2443;5.1377;4.8738;3.6491;2.6519;2.4328;2.3268;2.1267;2.0483;1.9269;1.7104;1.6614;1.3825;1.3124
30-12-99 20:00;10.005;9.7946;9.2351;7.1225;6.2468;5.1404;4.8765;3.6518;2.6542;2.435;2.3288;2.1285;2.05;1.9285;1.7116;1.6626;1.3832;1.313
30-12-99 21:00;10.006;9.7958;9.2364;7.1246;6.2493;5.1429;4.8791;3.6543;2.6565;2.4371;2.3308;2.1303;2.0516;1.93;1.7129;1.6637;1.3838;1.3135
30-12-99 22:00;10.007;9.7969;9.2377;7.1265;6.2515;5.1454;4.8815;3.6567;2.6586;2.4391;2.3328;2.132;2.0532;1.9315;1.7141;1.6648;1.3845;1.314
30-12-99 23:00;10.008;9.7979;9.2388;7.1283;6.2537;5.1477;4.8839;3.6591;2.6607;2.4411;2.3346;2.1336;2.0548;1.933;1.7152;1.6659;1.3851;1.3145
31-12-99 00:00;10.009;9.7988;9.2399;7.13;6.2557;5.1499;4.8861;3.6613;2.6627;2.443;2.3365;2.1352;2.0563;1.9344;1.7164;1.667;1.3857;1.315
31-12-99 01:00;10.01;9.7997;9.2409;7.1316;6.2576;5.1519;4.8882;3.6634;2.6646;2.4448;2.3382;2.1367;2.0577;1.9358;1.7175;1.668;1.3863;1.3155
31-12-99 02:00;10.011;9.8005;9.2419;7.1331;6.2593;5.1539;4.8901;3.6654;2.6665;2.4465;2.3399;2.1382;2.0591;1.9371;1.7185;1.669;1.3869;1.3159
31-12-99 03:00;10.011;9.8012;9.2427;7.1345;6.261;5.1557;4.892;3.6673;2.6682;2.4482;2.3414;2.1396;2.0604;1.9384;1.7195;1.67;1.3874;1.3164
31-12-99 04:00;10.012;9.8019;9.2435;7.1358;6.2625;5.1574;4.8937;3.6692;2.6699;2.4498;2.343;2.1409;2.0617;1.9396;1.7205;1.6709;1.388;1.3168
31-12-99 05:00;10.013;9.8025;9.2443;7.1371;6.264;5.1591;4.8954;3.6709;2.6715;2.4513;2.3444;2.1422;2.0629;1.9407;1.7214;1.6718;1.3885;1.3172
31-12-99 06:00;10.013;9.8031;9.2449;7.1382;6.2654;5.1606;4.897;3.6725;2.673;2.4527;2.3458;2.1434;2.0641;1.9418;1.7223;1.6726;1.389;1.3176
31-12-99 07:00;10.014;9.8036;9.2456;7.1392;6.2666;5.162;4.8984;3.674;2.6744;2.4541;2.3471;2.1446;2.0652;1.9429;1.7232;1.6734;1.3894;1.318
