Time [yyyy-MM-dd HH:mm:ss];Q-IJsselkpDoesbbrg: Water level at (IJssel02_B_B_B_ 347_718)_ Flow1D [m AD];905.00_IJ: Water level at (IJssel03_B_A_ 724_952)_ Flow1D [m AD];50844ObsUS: Water level at (IJssel03_B_A_ 12529_48)_ Flow1D [m AD];923.00_IJ: Water level at (IJssel03_B_B_B_ 248_43)_ Flow1D [m AD];50848ObsUS: Water level at (IJssel04_A_ 218_803)_ Flow1D [m AD];940.00_IJ: Water level at (IJssel05_B_ 415_46)_ Flow1D [m AD];50842ObsUS: Water level at (IJssel06_A_ 1402_323)_ Flow1D [m AD];Veessenboven: Water level at (IJssel07_B_B_ 597_517)_ Flow1D [m AD];odd_006: Water level at (IJssel07_A_ 0)_ Flow1D [m AD];944.00_IJ: Water level at (IJssel06_B_B_A_ 375_661)_ Flow1D [m AD];947.00_IJ: Water level at (IJssel06_B_B_B_A_ 685_299)_ Flow1D [m AD];949.00_IJ: Water level at (IJssel06_B_B_B_B_A_ 85_744)_ Flow1D [m AD];950.00_IJ: Water level at (IJssel06_B_B_B_B_B_ 131_201)_ Flow1D [m AD];977.00_IJ: Water level at (IJssel09_B_ 200_75)_ Flow1D [m AD]
29-12-99 00:00;9.4307;8.5828;6.1;7.4803;6.62;6.0595;5.7344;4.1409;4.5724;5.6242;5.3236;5.1498;5.1567;2.6716
29-12-99 01:00;9.3109;8.6121;7.5573;7.4481;6.7791;6.0316;5.7149;4.1118;4.5388;5.5965;5.3115;5.1489;5.1293;2.6546
29-12-99 02:00;9.2218;8.6021;7.5446;7.4335;6.7576;6.0057;5.6921;4.1191;4.5443;5.5771;5.2951;5.137;5.1182;2.6519
29-12-99 03:00;9.15;8.5692;7.5341;7.4217;6.7406;5.9846;5.6719;4.1204;4.5408;5.559;5.2807;5.1253;5.1068;2.651
29-12-99 04:00;9.1036;8.5288;7.52;7.4079;6.7265;5.9669;5.6545;4.1177;4.5328;5.5432;5.267;5.1133;5.0949;2.651
29-12-99 05:00;9.0739;8.4903;7.5016;7.3908;6.7138;5.9517;5.6392;4.1124;4.5225;5.529;5.2542;5.1014;5.0831;2.651
29-12-99 06:00;9.0546;8.4563;7.48;7.3708;6.7011;5.9381;5.6253;4.1054;4.511;5.516;5.2421;5.0899;5.0716;2.6504
29-12-99 07:00;9.042;8.4274;7.457;7.349;6.6881;5.9251;5.6121;4.0972;4.4988;5.5035;5.2305;5.0787;5.0605;2.6488
29-12-99 08:00;9.0341;8.4031;7.4337;7.3268;6.6745;5.9122;5.5991;4.0884;4.4864;5.4913;5.2191;5.0678;5.0495;2.6463
29-12-99 09:00;9.0293;8.3828;7.4113;7.3051;6.6605;5.8991;5.5859;4.0791;4.4738;5.479;5.2077;5.0568;5.0385;2.6429
29-12-99 10:00;9.0267;8.3659;7.3902;7.2844;6.6465;5.8858;5.5726;4.0695;4.4612;5.4664;5.1961;5.0457;5.0274;2.6386
29-12-99 11:00;9.0256;8.3519;7.3707;7.2651;6.6326;5.8724;5.5591;4.0596;4.4483;5.4538;5.1842;5.0345;5.0162;2.6336
29-12-99 12:00;9.0257;8.3403;7.3528;7.2473;6.619;5.8591;5.5457;4.0495;4.4354;5.4411;5.1722;5.0231;5.0047;2.6279
29-12-99 13:00;9.0265;8.3307;7.3368;7.2311;6.6058;5.8458;5.5322;4.0391;4.4222;5.4283;5.16;5.0116;4.9932;2.6217
29-12-99 14:00;9.0279;8.3228;7.3224;7.2164;6.5933;5.8329;5.519;4.0285;4.409;5.4156;5.1479;5.0001;4.9815;2.6149
29-12-99 15:00;9.0297;8.3164;7.3095;7.2031;6.5813;5.8204;5.506;4.0177;4.3957;5.4031;5.1358;4.9886;4.9699;2.6077
29-12-99 16:00;9.0319;8.3112;7.2979;7.1911;6.57;5.8084;5.4934;4.0067;4.3824;5.3909;5.1239;4.9772;4.9584;2.6
29-12-99 17:00;9.0343;8.3071;7.2876;7.1803;6.5594;5.7969;5.4812;3.9957;4.3691;5.379;5.1122;4.966;4.947;2.592
29-12-99 18:00;9.0368;8.3039;7.2784;7.1707;6.5493;5.7859;5.4695;3.9845;4.356;5.3675;5.1008;4.9549;4.9358;2.5837
29-12-99 19:00;9.0395;8.3014;7.2702;7.1621;6.5399;5.7753;5.4582;3.9734;4.343;5.3564;5.0897;4.9441;4.9248;2.575
29-12-99 20:00;9.0421;8.2995;7.263;7.1544;6.5311;5.7654;5.4474;3.9623;4.3303;5.3457;5.079;4.9336;4.9141;2.5661
29-12-99 21:00;9.0448;8.2981;7.2565;7.1474;6.5228;5.7559;5.437;3.9513;4.3178;5.3354;5.0686;4.9233;4.9037;2.5571
29-12-99 22:00;9.0475;8.2971;7.2507;7.1412;6.5151;5.7469;5.4271;3.9404;4.3055;5.3255;5.0586;4.9134;4.8936;2.5478
29-12-99 23:00;9.0502;8.2965;7.2455;7.1355;6.5078;5.7383;5.4176;3.9297;4.2936;5.3161;5.0489;4.9037;4.8838;2.5385
30-12-99 00:00;9.0528;8.2961;7.2409;7.1304;6.501;5.7301;5.4086;3.919;4.282;5.3071;5.0396;4.8944;4.8743;2.5291
30-12-99 01:00;9.0553;8.296;7.2367;7.1258;6.4945;5.7223;5.4;3.9086;4.2707;5.2984;5.0306;4.8855;4.8652;2.5196
30-12-99 02:00;9.0578;8.296;7.2329;7.1216;6.4884;5.7149;5.3918;3.8983;4.2598;5.2901;5.022;4.8768;4.8563;2.5101
