Time [yyyy-MM-dd HH:mm:ss],50844ObsUS: Discharge at (IJssel03_B_A_ 6264_74)_ Flow1D [m³/s]
1999-12-29 00:00:00,614_88
1999-12-29 01:00:00,687_88
1999-12-29 02:00:00,622_87
1999-12-29 03:00:00,591_36
1999-12-29 04:00:00,573_37
1999-12-29 05:00:00,562_31
1999-12-29 06:00:00,555_5
1999-12-29 07:00:00,551_57
1999-12-29 08:00:00,549_7
1999-12-29 09:00:00,549_34
1999-12-29 10:00:00,550_1
1999-12-29 11:00:00,551_69
1999-12-29 12:00:00,553_86
1999-12-29 13:00:00,556_43
1999-12-29 14:00:00,559_27
1999-12-29 15:00:00,562_27
1999-12-29 16:00:00,565_37
1999-12-29 17:00:00,568_52
1999-12-29 18:00:00,571_69
1999-12-29 19:00:00,574_83
1999-12-29 20:00:00,577_92
1999-12-29 21:00:00,580_96
1999-12-29 22:00:00,583_92
1999-12-29 23:00:00,586_79
1999-12-30 00:00:00,589_57
1999-12-30 01:00:00,592_25
1999-12-30 02:00:00,594_83
1999-12-30 03:00:00,597_31
1999-12-30 04:00:00,599_68
1999-12-30 05:00:00,601_95
1999-12-30 06:00:00,604_12
1999-12-30 07:00:00,606_19
1999-12-30 08:00:00,608_17
1999-12-30 09:00:00,610_05
1999-12-30 10:00:00,611_83
1999-12-30 11:00:00,613_53
1999-12-30 12:00:00,615_14
1999-12-30 13:00:00,616_67
1999-12-30 14:00:00,618_13
1999-12-30 15:00:00,619_5
1999-12-30 16:00:00,620_81
1999-12-30 17:00:00,622_04
1999-12-30 18:00:00,623_21
1999-12-30 19:00:00,624_32
1999-12-30 20:00:00,625_37
1999-12-30 21:00:00,626_36
1999-12-30 22:00:00,627_3
1999-12-30 23:00:00,628_19
1999-12-31 00:00:00,629_03
1999-12-31 01:00:00,629_82
1999-12-31 02:00:00,630_48
1999-12-31 03:00:00,631_1
1999-12-31 04:00:00,631_7
1999-12-31 05:00:00,632_28
1999-12-31 06:00:00,632_84
1999-12-31 07:00:00,633_37
1999-12-31 08:00:00,633_88
1999-12-31 09:00:00,634_37
1999-12-31 10:00:00,634_83
1999-12-31 11:00:00,635_26
1999-12-31 12:00:00,635_68
1999-12-31 13:00:00,636_07
1999-12-31 14:00:00,636_44
1999-12-31 15:00:00,636_79
1999-12-31 16:00:00,637_12
1999-12-31 17:00:00,637_44
1999-12-31 18:00:00,637_74
1999-12-31 19:00:00,638_02
1999-12-31 20:00:00,638_29
1999-12-31 21:00:00,638_55
1999-12-31 22:00:00,638_79
1999-12-31 23:00:00,639_01
2000-01-01 00:00:00,639_23
2000-01-01 01:00:00,639_43
2000-01-01 02:00:00,639_63
2000-01-01 03:00:00,639_82
2000-01-01 04:00:00,640
2000-01-01 05:00:00,640_19
2000-01-01 06:00:00,640_39
2000-01-01 07:00:00,640_61
2000-01-01 08:00:00,640_84
2000-01-01 09:00:00,641_09
2000-01-01 10:00:00,641_35
2000-01-01 11:00:00,641_63
2000-01-01 12:00:00,641_93
2000-01-01 13:00:00,642_25
2000-01-01 14:00:00,642_59
2000-01-01 15:00:00,642_93
2000-01-01 16:00:00,643_3
2000-01-01 17:00:00,643_68
2000-01-01 18:00:00,644_08
2000-01-01 19:00:00,644_49
2000-01-01 20:00:00,644_92
2000-01-01 21:00:00,645_35
2000-01-01 22:00:00,645_8
2000-01-01 23:00:00,646_27
2000-01-02 00:00:00,646_74
2000-01-02 01:00:00,647_22
2000-01-02 02:00:00,647_72
2000-01-02 03:00:00,648_21
2000-01-02 04:00:00,648_69
2000-01-02 05:00:00,649_13
2000-01-02 06:00:00,649_54
2000-01-02 07:00:00,649_89
2000-01-02 08:00:00,650_19
2000-01-02 09:00:00,650_43
2000-01-02 10:00:00,650_61
2000-01-02 11:00:00,650_73
2000-01-02 12:00:00,650_78
2000-01-02 13:00:00,650_77
2000-01-02 14:00:00,650_7
2000-01-02 15:00:00,650_57
2000-01-02 16:00:00,650_38
2000-01-02 17:00:00,650_15
2000-01-02 18:00:00,649_89
2000-01-02 19:00:00,649_66
2000-01-02 20:00:00,649_45
2000-01-02 21:00:00,649_25
2000-01-02 22:00:00,649_05
2000-01-02 23:00:00,648_84
2000-01-03 00:00:00,648_61
2000-01-03 01:00:00,648_37
2000-01-03 02:00:00,648_11
2000-01-03 03:00:00,647_85
2000-01-03 04:00:00,647_57
2000-01-03 05:00:00,647_31
2000-01-03 06:00:00,647_05
2000-01-03 07:00:00,646_8
2000-01-03 08:00:00,646_56
2000-01-03 09:00:00,646_35
2000-01-03 10:00:00,646_15
2000-01-03 11:00:00,645_97
2000-01-03 12:00:00,645_81
2000-01-03 13:00:00,645_66
2000-01-03 14:00:00,645_52
2000-01-03 15:00:00,645_39
2000-01-03 16:00:00,645_26
2000-01-03 17:00:00,645_14
2000-01-03 18:00:00,645_01
2000-01-03 19:00:00,644_89
2000-01-03 20:00:00,644_78
2000-01-03 21:00:00,644_67
2000-01-03 22:00:00,644_58
2000-01-03 23:00:00,644_48
2000-01-04 00:00:00,644_39
2000-01-04 01:00:00,644_28
2000-01-04 02:00:00,644_17
2000-01-04 03:00:00,644_06
2000-01-04 04:00:00,643_98
2000-01-04 05:00:00,643_96
2000-01-04 06:00:00,644_01
2000-01-04 07:00:00,644_13
2000-01-04 08:00:00,644_34
2000-01-04 09:00:00,644_65
2000-01-04 10:00:00,645_06
2000-01-04 11:00:00,645_56
2000-01-04 12:00:00,646_17
2000-01-04 13:00:00,646_87
2000-01-04 14:00:00,647_67
2000-01-04 15:00:00,648_56
2000-01-04 16:00:00,649_54
2000-01-04 17:00:00,650_61
2000-01-04 18:00:00,651_76
2000-01-04 19:00:00,653
2000-01-04 20:00:00,654_3
2000-01-04 21:00:00,655_65
2000-01-04 22:00:00,657_07
2000-01-04 23:00:00,658_57
2000-01-05 00:00:00,660_12
2000-01-05 01:00:00,661_74
2000-01-05 02:00:00,663_41
2000-01-05 03:00:00,665_16
2000-01-05 04:00:00,666_96
2000-01-05 05:00:00,668_78
2000-01-05 06:00:00,670_63
2000-01-05 07:00:00,672_49
2000-01-05 08:00:00,674_34
2000-01-05 09:00:00,676_23
2000-01-05 10:00:00,678_21
2000-01-05 11:00:00,680_08
2000-01-05 12:00:00,681_87
2000-01-05 13:00:00,683_59
2000-01-05 14:00:00,685_28
2000-01-05 15:00:00,686_93
2000-01-05 16:00:00,688_53
2000-01-05 17:00:00,690_11
2000-01-05 18:00:00,691_65
2000-01-05 19:00:00,693_17
2000-01-05 20:00:00,694_66
2000-01-05 21:00:00,696_13
2000-01-05 22:00:00,697_57
2000-01-05 23:00:00,699
2000-01-06 00:00:00,700_42
2000-01-06 01:00:00,701_82
2000-01-06 02:00:00,703_22
2000-01-06 03:00:00,704_62
2000-01-06 04:00:00,706_04
2000-01-06 05:00:00,707_48
2000-01-06 06:00:00,708_97
2000-01-06 07:00:00,710_52
2000-01-06 08:00:00,712_13
2000-01-06 09:00:00,713_79
2000-01-06 10:00:00,715_53
