Time [yyyy-MM-dd HH:mm:ss],944.00_IJ: Discharge at (IJssel06_B_B_A_ 657_3305)_ Flow1D [m³/s]
1999-12-29 00:00:00,841_96
1999-12-29 01:00:00,835_25
1999-12-29 02:00:00,762_46
1999-12-29 03:00:00,725_16
1999-12-29 04:00:00,706_22
1999-12-29 05:00:00,696_03
1999-12-29 06:00:00,690_02
1999-12-29 07:00:00,685_9
1999-12-29 08:00:00,682_52
1999-12-29 09:00:00,679_41
1999-12-29 10:00:00,676_54
1999-12-29 11:00:00,673_57
1999-12-29 12:00:00,670_6
1999-12-29 13:00:00,667_75
1999-12-29 14:00:00,665_14
1999-12-29 15:00:00,662_72
1999-12-29 16:00:00,660_59
1999-12-29 17:00:00,658_71
1999-12-29 18:00:00,657_09
1999-12-29 19:00:00,655_73
1999-12-29 20:00:00,654_61
1999-12-29 21:00:00,653_7
1999-12-29 22:00:00,652_99
1999-12-29 23:00:00,652_48
1999-12-30 00:00:00,652_15
1999-12-30 01:00:00,651_97
1999-12-30 02:00:00,651_92
1999-12-30 03:00:00,652
1999-12-30 04:00:00,652_19
1999-12-30 05:00:00,652_49
1999-12-30 06:00:00,652_88
1999-12-30 07:00:00,653_35
1999-12-30 08:00:00,653_88
1999-12-30 09:00:00,654_45
1999-12-30 10:00:00,655_04
1999-12-30 11:00:00,655_68
1999-12-30 12:00:00,656_37
1999-12-30 13:00:00,657_08
1999-12-30 14:00:00,657_82
1999-12-30 15:00:00,658_57
1999-12-30 16:00:00,659_33
1999-12-30 17:00:00,660_08
1999-12-30 18:00:00,660_84
1999-12-30 19:00:00,661_61
1999-12-30 20:00:00,662_38
1999-12-30 21:00:00,663_15
1999-12-30 22:00:00,663_91
1999-12-30 23:00:00,664_66
1999-12-31 00:00:00,665_41
1999-12-31 01:00:00,666_15
1999-12-31 02:00:00,666_87
1999-12-31 03:00:00,667_59
1999-12-31 04:00:00,668_29
1999-12-31 05:00:00,668_97
1999-12-31 06:00:00,669_64
1999-12-31 07:00:00,670_3
1999-12-31 08:00:00,670_93
1999-12-31 09:00:00,671_55
1999-12-31 10:00:00,672_14
1999-12-31 11:00:00,672_72
1999-12-31 12:00:00,673_29
1999-12-31 13:00:00,673_84
1999-12-31 14:00:00,674_37
1999-12-31 15:00:00,674_9
1999-12-31 16:00:00,675_43
