Time [yyyy-MM-dd HH:mm:ss],903.00_IJ: Discharge at (IJssel03_A_ 909)_ Flow1D [m³/s]
1999-12-29 00:00:00,610_22
1999-12-29 01:00:00,570_1
1999-12-29 02:00:00,543_79
1999-12-29 03:00:00,535_61
1999-12-29 04:00:00,530_09
1999-12-29 05:00:00,527_81
1999-12-29 06:00:00,528_29
1999-12-29 07:00:00,530_76
1999-12-29 08:00:00,534_53
1999-12-29 09:00:00,539_08
1999-12-29 10:00:00,544_17
1999-12-29 11:00:00,549_38
1999-12-29 12:00:00,554_59
1999-12-29 13:00:00,559_68
1999-12-29 14:00:00,564_59
1999-12-29 15:00:00,569_29
1999-12-29 16:00:00,573_77
1999-12-29 17:00:00,578_03
1999-12-29 18:00:00,582_06
1999-12-29 19:00:00,585_87
1999-12-29 20:00:00,589_47
1999-12-29 21:00:00,592_85
1999-12-29 22:00:00,596_04
1999-12-29 23:00:00,599_04
1999-12-30 00:00:00,601_86
1999-12-30 01:00:00,604_51
1999-12-30 02:00:00,607
1999-12-30 03:00:00,609_33
1999-12-30 04:00:00,611_52
1999-12-30 05:00:00,613_58
1999-12-30 06:00:00,615_51
1999-12-30 07:00:00,617_31
1999-12-30 08:00:00,619
1999-12-30 09:00:00,620_58
1999-12-30 10:00:00,622_07
1999-12-30 11:00:00,623_46
1999-12-30 12:00:00,624_76
1999-12-30 13:00:00,625_98
1999-12-30 14:00:00,627_12
1999-12-30 15:00:00,628_19
1999-12-30 16:00:00,629_2
1999-12-30 17:00:00,630_14
1999-12-30 18:00:00,631_02
1999-12-30 19:00:00,631_84
1999-12-30 20:00:00,632_61
1999-12-30 21:00:00,633_33
1999-12-30 22:00:00,634_01
1999-12-30 23:00:00,634_64
1999-12-31 00:00:00,635_24
1999-12-31 01:00:00,635_79
1999-12-31 02:00:00,636_3
1999-12-31 03:00:00,636_75
1999-12-31 04:00:00,637_18
1999-12-31 05:00:00,637_57
1999-12-31 06:00:00,637_95
1999-12-31 07:00:00,638_29
1999-12-31 08:00:00,638_62
1999-12-31 09:00:00,638_93
1999-12-31 10:00:00,639_22
1999-12-31 11:00:00,639_49
1999-12-31 12:00:00,639_75
1999-12-31 13:00:00,639_99
1999-12-31 14:00:00,640_21
1999-12-31 15:00:00,640_42
1999-12-31 16:00:00,640_62
1999-12-31 17:00:00,640_8
1999-12-31 18:00:00,640_98
1999-12-31 19:00:00,641_14
1999-12-31 20:00:00,641_29
1999-12-31 21:00:00,641_43
1999-12-31 22:00:00,641_57
1999-12-31 23:00:00,641_69
2000-01-01 00:00:00,641_81
2000-01-01 01:00:00,641_92
2000-01-01 02:00:00,642_03
2000-01-01 03:00:00,642_16
2000-01-01 04:00:00,642_31
2000-01-01 05:00:00,642_5
2000-01-01 06:00:00,642_72
2000-01-01 07:00:00,642_97
2000-01-01 08:00:00,643_26
2000-01-01 09:00:00,643_57
2000-01-01 10:00:00,643_9
2000-01-01 11:00:00,644_26
2000-01-01 12:00:00,644_64
2000-01-01 13:00:00,645_04
2000-01-01 14:00:00,645_46
2000-01-01 15:00:00,645_9
2000-01-01 16:00:00,646_35
2000-01-01 17:00:00,646_82
2000-01-01 18:00:00,647_3
2000-01-01 19:00:00,647_79
