Time [yyyy-MM-dd HH:mm:ss],50846ObsUS: Discharge at (IJssel05_A_ 1547_27)_ Flow1D [m³/s]
1999-12-29 00:00:00,806_2
1999-12-29 01:00:00,676_08
1999-12-29 02:00:00,676_76
1999-12-29 03:00:00,668_52
1999-12-29 04:00:00,664_89
1999-12-29 05:00:00,662_85
1999-12-29 06:00:00,661_24
1999-12-29 07:00:00,659_33
1999-12-29 08:00:00,656_86
1999-12-29 09:00:00,654_37
1999-12-29 10:00:00,651_34
1999-12-29 11:00:00,648_01
1999-12-29 12:00:00,645_15
1999-12-29 13:00:00,642_64
1999-12-29 14:00:00,640_53
1999-12-29 15:00:00,638_79
1999-12-29 16:00:00,637_38
1999-12-29 17:00:00,636_31
1999-12-29 18:00:00,635_53
1999-12-29 19:00:00,635_02
1999-12-29 20:00:00,634_74
1999-12-29 21:00:00,634_68
1999-12-29 22:00:00,634_8
1999-12-29 23:00:00,635_1
1999-12-30 00:00:00,635_54
1999-12-30 01:00:00,636_12
1999-12-30 02:00:00,636_8
1999-12-30 03:00:00,637_58
1999-12-30 04:00:00,638_43
1999-12-30 05:00:00,639_35
1999-12-30 06:00:00,640_33
1999-12-30 07:00:00,641_34
1999-12-30 08:00:00,642_39
1999-12-30 09:00:00,643_46
1999-12-30 10:00:00,644_54
1999-12-30 11:00:00,645_62
1999-12-30 12:00:00,646_7
1999-12-30 13:00:00,647_78
1999-12-30 14:00:00,648_86
1999-12-30 15:00:00,649_93
1999-12-30 16:00:00,650_98
1999-12-30 17:00:00,652_02
1999-12-30 18:00:00,653_04
1999-12-30 19:00:00,654_04
1999-12-30 20:00:00,655_01
1999-12-30 21:00:00,655_97
1999-12-30 22:00:00,656_9
1999-12-30 23:00:00,657_82
1999-12-31 00:00:00,658_71
1999-12-31 01:00:00,659_57
1999-12-31 02:00:00,660_41
1999-12-31 03:00:00,661_23
1999-12-31 04:00:00,662_01
1999-12-31 05:00:00,662_77
1999-12-31 06:00:00,663_51
1999-12-31 07:00:00,664_21
1999-12-31 08:00:00,664_9
1999-12-31 09:00:00,665_56
1999-12-31 10:00:00,666_19
1999-12-31 11:00:00,666_81
1999-12-31 12:00:00,667_4
1999-12-31 13:00:00,667_97
1999-12-31 14:00:00,668_52
1999-12-31 15:00:00,669_06
1999-12-31 16:00:00,669_58
1999-12-31 17:00:00,670_09
1999-12-31 18:00:00,670_58
1999-12-31 19:00:00,671_05
1999-12-31 20:00:00,671_5
1999-12-31 21:00:00,671_94
1999-12-31 22:00:00,672_36
1999-12-31 23:00:00,672_77
2000-01-01 00:00:00,673_16
2000-01-01 01:00:00,673_54
2000-01-01 02:00:00,673_9
2000-01-01 03:00:00,674_25
2000-01-01 04:00:00,674_59
2000-01-01 05:00:00,674_92
2000-01-01 06:00:00,675_26
2000-01-01 07:00:00,675_6
2000-01-01 08:00:00,675_91
2000-01-01 09:00:00,676_22
2000-01-01 10:00:00,676_52
2000-01-01 11:00:00,676_82
2000-01-01 12:00:00,677_11
2000-01-01 13:00:00,677_41
2000-01-01 14:00:00,677_72
2000-01-01 15:00:00,678_03
2000-01-01 16:00:00,678_34
2000-01-01 17:00:00,678_65
2000-01-01 18:00:00,678_97
2000-01-01 19:00:00,679_3
2000-01-01 20:00:00,679_63
2000-01-01 21:00:00,679_97
2000-01-01 22:00:00,680_31
2000-01-01 23:00:00,680_67
2000-01-02 00:00:00,681_03
2000-01-02 01:00:00,681_39
2000-01-02 02:00:00,681_77
2000-01-02 03:00:00,682_15
2000-01-02 04:00:00,682_54
2000-01-02 05:00:00,682_93
2000-01-02 06:00:00,683_33
2000-01-02 07:00:00,683_73
2000-01-02 08:00:00,684_13
2000-01-02 09:00:00,684_53
2000-01-02 10:00:00,684_92
2000-01-02 11:00:00,685_31
2000-01-02 12:00:00,685_67
2000-01-02 13:00:00,686_02
2000-01-02 14:00:00,686_35
2000-01-02 15:00:00,686_65
2000-01-02 16:00:00,686_94
