Time [yyyy-MM-dd HH:mm:ss],50827ObsUS: Discharge at (IJssel09_A_ 1641_625)_ Flow1D [m³/s]
1999-12-29 00:00:00,834_34
1999-12-29 01:00:00,752_69
1999-12-29 02:00:00,745_2
1999-12-29 03:00:00,738_04
1999-12-29 04:00:00,737_76
1999-12-29 05:00:00,738_09
1999-12-29 06:00:00,737_83
1999-12-29 07:00:00,736_94
1999-12-29 08:00:00,735_58
1999-12-29 09:00:00,733_89
1999-12-29 10:00:00,732_01
1999-12-29 11:00:00,729_98
1999-12-29 12:00:00,727_79
1999-12-29 13:00:00,725_62
1999-12-29 14:00:00,723_46
1999-12-29 15:00:00,721_32
1999-12-29 16:00:00,719_16
1999-12-29 17:00:00,716_91
1999-12-29 18:00:00,714_56
1999-12-29 19:00:00,712_2
1999-12-29 20:00:00,709_88
1999-12-29 21:00:00,707_6
1999-12-29 22:00:00,705_36
1999-12-29 23:00:00,703_19
1999-12-30 00:00:00,701_07
1999-12-30 01:00:00,699_02
1999-12-30 02:00:00,697_03
1999-12-30 03:00:00,695_1
1999-12-30 04:00:00,693_24
1999-12-30 05:00:00,691_47
1999-12-30 06:00:00,689_79
1999-12-30 07:00:00,688_2
1999-12-30 08:00:00,686_69
1999-12-30 09:00:00,685_28
1999-12-30 10:00:00,683_97
1999-12-30 11:00:00,682_74
1999-12-30 12:00:00,681_6
1999-12-30 13:00:00,680_55
1999-12-30 14:00:00,679_58
1999-12-30 15:00:00,678_7
1999-12-30 16:00:00,677_89
1999-12-30 17:00:00,677_16
1999-12-30 18:00:00,676_5
1999-12-30 19:00:00,675_91
1999-12-30 20:00:00,675_39
1999-12-30 21:00:00,674_93
1999-12-30 22:00:00,674_53
1999-12-30 23:00:00,674_18
1999-12-31 00:00:00,673_9
1999-12-31 01:00:00,673_66
1999-12-31 02:00:00,673_47
1999-12-31 03:00:00,673_33
1999-12-31 04:00:00,673_22
1999-12-31 05:00:00,673_16
1999-12-31 06:00:00,673_14
1999-12-31 07:00:00,673_15
1999-12-31 08:00:00,673_19
1999-12-31 09:00:00,673_26
1999-12-31 10:00:00,673_36
1999-12-31 11:00:00,673_49
1999-12-31 12:00:00,673_63
1999-12-31 13:00:00,673_8
1999-12-31 14:00:00,673_98
1999-12-31 15:00:00,674_18
1999-12-31 16:00:00,674_39
1999-12-31 17:00:00,674_62
1999-12-31 18:00:00,674_86
1999-12-31 19:00:00,675_11
1999-12-31 20:00:00,675_37
1999-12-31 21:00:00,675_65
1999-12-31 22:00:00,675_93
1999-12-31 23:00:00,676_22
2000-01-01 00:00:00,676_51
2000-01-01 01:00:00,676_82
2000-01-01 02:00:00,677_12
2000-01-01 03:00:00,677_43
2000-01-01 04:00:00,677_74
2000-01-01 05:00:00,678_06
2000-01-01 06:00:00,678_38
2000-01-01 07:00:00,678_7
2000-01-01 08:00:00,679_02
2000-01-01 09:00:00,679_34
2000-01-01 10:00:00,679_66
2000-01-01 11:00:00,679_98
2000-01-01 12:00:00,680_31
2000-01-01 13:00:00,680_63
2000-01-01 14:00:00,680_95
2000-01-01 15:00:00,681_27
2000-01-01 16:00:00,681_59
2000-01-01 17:00:00,681_91
2000-01-01 18:00:00,682_22
2000-01-01 19:00:00,682_54
2000-01-01 20:00:00,682_86
2000-01-01 21:00:00,683_18
2000-01-01 22:00:00,683_5
2000-01-01 23:00:00,683_82
2000-01-02 00:00:00,684_14
2000-01-02 01:00:00,684_46
2000-01-02 02:00:00,684_78
2000-01-02 03:00:00,685_11
2000-01-02 04:00:00,685_44
2000-01-02 05:00:00,685_76
2000-01-02 06:00:00,686_09
2000-01-02 07:00:00,686_43
2000-01-02 08:00:00,686_76
2000-01-02 09:00:00,687_1
2000-01-02 10:00:00,687_44
2000-01-02 11:00:00,687_78
2000-01-02 12:00:00,688_13
2000-01-02 13:00:00,688_44
2000-01-02 14:00:00,688_76
2000-01-02 15:00:00,689_08
2000-01-02 16:00:00,689_4
2000-01-02 17:00:00,689_73
2000-01-02 18:00:00,690_06
2000-01-02 19:00:00,690_4
2000-01-02 20:00:00,690_74
2000-01-02 21:00:00,691_08
2000-01-02 22:00:00,691_43
2000-01-02 23:00:00,691_78
2000-01-03 00:00:00,692_13
2000-01-03 01:00:00,692_48
2000-01-03 02:00:00,692_83
2000-01-03 03:00:00,693_18
2000-01-03 04:00:00,693_53
2000-01-03 05:00:00,693_88
2000-01-03 06:00:00,694_22
2000-01-03 07:00:00,694_57
2000-01-03 08:00:00,694_9
2000-01-03 09:00:00,695_24
2000-01-03 10:00:00,695_57
2000-01-03 11:00:00,695_9
2000-01-03 12:00:00,696_22
2000-01-03 13:00:00,696_49
2000-01-03 14:00:00,696_75
2000-01-03 15:00:00,697_01
2000-01-03 16:00:00,697_26
2000-01-03 17:00:00,697_52
2000-01-03 18:00:00,697_78
2000-01-03 19:00:00,698_04
2000-01-03 20:00:00,698_31
2000-01-03 21:00:00,698_59
2000-01-03 22:00:00,698_88
2000-01-03 23:00:00,699_18
2000-01-04 00:00:00,699_5
2000-01-04 01:00:00,699_84
2000-01-04 02:00:00,700_19
2000-01-04 03:00:00,700_57
2000-01-04 04:00:00,700_96
2000-01-04 05:00:00,701_38
2000-01-04 06:00:00,701_81
2000-01-04 07:00:00,702_27
2000-01-04 08:00:00,702_76
2000-01-04 09:00:00,703_26
2000-01-04 10:00:00,703_79
2000-01-04 11:00:00,704_35
2000-01-04 12:00:00,704_93
2000-01-04 13:00:00,705_52
2000-01-04 14:00:00,706_14
2000-01-04 15:00:00,706_78
2000-01-04 16:00:00,707_45
2000-01-04 17:00:00,708_14
2000-01-04 18:00:00,708_85
2000-01-04 19:00:00,709_59
2000-01-04 20:00:00,710_36
2000-01-04 21:00:00,711_14
2000-01-04 22:00:00,711_96
2000-01-04 23:00:00,712_82
2000-01-05 00:00:00,713_73
2000-01-05 01:00:00,714_67
2000-01-05 02:00:00,715_64
2000-01-05 03:00:00,716_61
2000-01-05 04:00:00,717_62
2000-01-05 05:00:00,718_67
2000-01-05 06:00:00,719_78
2000-01-05 07:00:00,720_94
2000-01-05 08:00:00,722_15
2000-01-05 09:00:00,723_41
2000-01-05 10:00:00,724_72
2000-01-05 11:00:00,726_09
2000-01-05 12:00:00,727_51
2000-01-05 13:00:00,728_95
2000-01-05 14:00:00,730_44
2000-01-05 15:00:00,731_95
2000-01-05 16:00:00,733_58
2000-01-05 17:00:00,735_31
2000-01-05 18:00:00,737_14
2000-01-05 19:00:00,739_07
2000-01-05 20:00:00,741_12
2000-01-05 21:00:00,743_23
2000-01-05 22:00:00,745_43
2000-01-05 23:00:00,747_74
2000-01-06 00:00:00,750_17
2000-01-06 01:00:00,752_69
2000-01-06 02:00:00,755_31
2000-01-06 03:00:00,758_02
2000-01-06 04:00:00,760_81
2000-01-06 05:00:00,763_68
2000-01-06 06:00:00,766_63
2000-01-06 07:00:00,769_65
2000-01-06 08:00:00,772_74
2000-01-06 09:00:00,775_88
2000-01-06 10:00:00,779_07
2000-01-06 11:00:00,782_31
2000-01-06 12:00:00,785_58
2000-01-06 13:00:00,788_93
2000-01-06 14:00:00,792_32
2000-01-06 15:00:00,795_74
2000-01-06 16:00:00,799_17
2000-01-06 17:00:00,802_64
2000-01-06 18:00:00,806_12
2000-01-06 19:00:00,809_62
2000-01-06 20:00:00,813_13
2000-01-06 21:00:00,816_65
2000-01-06 22:00:00,820_21
2000-01-06 23:00:00,823_8
2000-01-07 00:00:00,827_42
2000-01-07 01:00:00,831_07
2000-01-07 02:00:00,834_78
2000-01-07 03:00:00,838_55
2000-01-07 04:00:00,842_4
2000-01-07 05:00:00,846_33
2000-01-07 06:00:00,850_34
2000-01-07 07:00:00,854_43
2000-01-07 08:00:00,858_61
2000-01-07 09:00:00,862_88
2000-01-07 10:00:00,867_27
2000-01-07 11:00:00,871_74
2000-01-07 12:00:00,876_29
2000-01-07 13:00:00,880_91
2000-01-07 14:00:00,885_5
2000-01-07 15:00:00,890_11
2000-01-07 16:00:00,894_76
2000-01-07 17:00:00,899_42
2000-01-07 18:00:00,904_08
2000-01-07 19:00:00,908_7
2000-01-07 20:00:00,913_28
2000-01-07 21:00:00,917_79
2000-01-07 22:00:00,922_17
2000-01-07 23:00:00,926_44
2000-01-08 00:00:00,930_59
2000-01-08 01:00:00,934_61
2000-01-08 02:00:00,938_47
2000-01-08 03:00:00,942_17
2000-01-08 04:00:00,945_71
2000-01-08 05:00:00,949_08
2000-01-08 06:00:00,952_3
2000-01-08 07:00:00,955_37
