Time [yyyy-MM-dd HH:mm:ss],50878ObsUS: Discharge at (IJssel02_A_ 960_331)_ Flow1D [m³/s]
1999-12-29 00:00:00,455_94
1999-12-29 01:00:00,278_98
1999-12-29 02:00:00,372_68
1999-12-29 03:00:00,396_3
1999-12-29 04:00:00,426_07
1999-12-29 05:00:00,454_73
1999-12-29 06:00:00,479_71
1999-12-29 07:00:00,500_6
1999-12-29 08:00:00,517_92
1999-12-29 09:00:00,532_29
1999-12-29 10:00:00,544_23
1999-12-29 11:00:00,554_04
1999-12-29 12:00:00,562_16
1999-12-29 13:00:00,569_01
1999-12-29 14:00:00,574_89
1999-12-29 15:00:00,579_98
1999-12-29 16:00:00,584_38
1999-12-29 17:00:00,588_2
1999-12-29 18:00:00,591_52
1999-12-29 19:00:00,594_4
1999-12-29 20:00:00,596_91
1999-12-29 21:00:00,599_08
1999-12-29 22:00:00,600_98
1999-12-29 23:00:00,602_64
1999-12-30 00:00:00,604_08
1999-12-30 01:00:00,605_34
1999-12-30 02:00:00,606_44
1999-12-30 03:00:00,607_4
1999-12-30 04:00:00,608_22
1999-12-30 05:00:00,608_93
1999-12-30 06:00:00,609_54
1999-12-30 07:00:00,610_07
1999-12-30 08:00:00,610_52
1999-12-30 09:00:00,610_91
1999-12-30 10:00:00,611_25
1999-12-30 11:00:00,611_53
1999-12-30 12:00:00,611_76
1999-12-30 13:00:00,611_96
1999-12-30 14:00:00,612_11
1999-12-30 15:00:00,612_24
1999-12-30 16:00:00,612_34
1999-12-30 17:00:00,612_41
1999-12-30 18:00:00,612_46
1999-12-30 19:00:00,612_48
1999-12-30 20:00:00,612_49
1999-12-30 21:00:00,612_48
1999-12-30 22:00:00,612_47
1999-12-30 23:00:00,612_44
1999-12-31 00:00:00,612_41
1999-12-31 01:00:00,612_36
1999-12-31 02:00:00,612_32
1999-12-31 03:00:00,612_26
1999-12-31 04:00:00,612_2
1999-12-31 05:00:00,612_13
1999-12-31 06:00:00,612_06
1999-12-31 07:00:00,611_98
1999-12-31 08:00:00,611_9
1999-12-31 09:00:00,611_82
1999-12-31 10:00:00,611_73
1999-12-31 11:00:00,611_64
1999-12-31 12:00:00,611_55
1999-12-31 13:00:00,611_46
1999-12-31 14:00:00,611_37
1999-12-31 15:00:00,611_28
1999-12-31 16:00:00,611_19
1999-12-31 17:00:00,611_1
1999-12-31 18:00:00,611_01
1999-12-31 19:00:00,610_92
