Time [yyyy-MM-dd HH:mm:ss],50872ObsUS: Discharge at (Bovenrijn_A_ 1071_391)_ Flow1D [m³/s]
1999-12-29 00:00:00,4891_7
1999-12-29 01:00:00,4891_7
1999-12-29 02:00:00,4891_7
1999-12-29 03:00:00,4891_7
1999-12-29 04:00:00,4891_7
1999-12-29 05:00:00,4891_7
1999-12-29 06:00:00,4891_7
1999-12-29 07:00:00,4891_7
1999-12-29 08:00:00,4891_7
1999-12-29 09:00:00,4891_7
1999-12-29 10:00:00,4891_7
1999-12-29 11:00:00,4891_7
1999-12-29 12:00:00,4891_7
1999-12-29 13:00:00,4891_7
1999-12-29 14:00:00,4891_7
1999-12-29 15:00:00,4891_7
1999-12-29 16:00:00,4891_7
1999-12-29 17:00:00,4891_7
1999-12-29 18:00:00,4891_7
1999-12-29 19:00:00,4891_7
1999-12-29 20:00:00,4891_7
1999-12-29 21:00:00,4891_7
1999-12-29 22:00:00,4891_7
1999-12-29 23:00:00,4891_7
1999-12-30 00:00:00,4891_7
1999-12-30 01:00:00,4891_7
1999-12-30 02:00:00,4891_7
1999-12-30 03:00:00,4891_7
1999-12-30 04:00:00,4891_7
1999-12-30 05:00:00,4891_7
1999-12-30 06:00:00,4891_7
1999-12-30 07:00:00,4891_7
1999-12-30 08:00:00,4891_7
1999-12-30 09:00:00,4891_7
1999-12-30 10:00:00,4891_7
1999-12-30 11:00:00,4891_7
1999-12-30 12:00:00,4891_7
1999-12-30 13:00:00,4891_7
1999-12-30 14:00:00,4891_7
1999-12-30 15:00:00,4891_7
1999-12-30 16:00:00,4891_7
1999-12-30 17:00:00,4891_7
1999-12-30 18:00:00,4891_7
1999-12-30 19:00:00,4891_7
1999-12-30 20:00:00,4891_7
1999-12-30 21:00:00,4891_7
1999-12-30 22:00:00,4891_7
1999-12-30 23:00:00,4891_7
1999-12-31 00:00:00,4891_7
1999-12-31 01:00:00,4891_7
1999-12-31 02:00:00,4891_7
1999-12-31 03:00:00,4891_7
1999-12-31 04:00:00,4891_7
1999-12-31 05:00:00,4891_7
1999-12-31 06:00:00,4891_7
1999-12-31 07:00:00,4891_7
1999-12-31 08:00:00,4891_7
1999-12-31 09:00:00,4891_7
1999-12-31 10:00:00,4891_7
1999-12-31 11:00:00,4891_7
1999-12-31 12:00:00,4891_7
1999-12-31 13:00:00,4891_7
1999-12-31 14:00:00,4891_7
1999-12-31 15:00:00,4891_7
1999-12-31 16:00:00,4891_7
1999-12-31 17:00:00,4891_7
1999-12-31 18:00:00,4891_7
1999-12-31 19:00:00,4891_7
1999-12-31 20:00:00,4891_7
1999-12-31 21:00:00,4891_7
1999-12-31 22:00:00,4891_7
1999-12-31 23:00:00,4891_7
2000-01-01 00:00:00,4891_7
2000-01-01 01:00:00,4896_9
2000-01-01 02:00:00,4902_1
2000-01-01 03:00:00,4907_3
2000-01-01 04:00:00,4912_5
2000-01-01 05:00:00,4917_6
2000-01-01 06:00:00,4922_8
2000-01-01 07:00:00,4928
2000-01-01 08:00:00,4933_2
2000-01-01 09:00:00,4938_4
2000-01-01 10:00:00,4943_6
2000-01-01 11:00:00,4948_8
2000-01-01 12:00:00,4953_9
2000-01-01 13:00:00,4959_1
2000-01-01 14:00:00,4964_3
2000-01-01 15:00:00,4969_5
2000-01-01 16:00:00,4974_7
2000-01-01 17:00:00,4979_9
2000-01-01 18:00:00,4985_1
2000-01-01 19:00:00,4990_2
2000-01-01 20:00:00,4995_4
2000-01-01 21:00:00,5000_6
2000-01-01 22:00:00,5005_8
2000-01-01 23:00:00,5011
2000-01-02 00:00:00,5016_2
2000-01-02 01:00:00,5007_2
2000-01-02 02:00:00,4998_3
2000-01-02 03:00:00,4989_4
2000-01-02 04:00:00,4980_5
2000-01-02 05:00:00,4971_6
2000-01-02 06:00:00,4962_6
2000-01-02 07:00:00,4953_7
2000-01-02 08:00:00,4944_8
2000-01-02 09:00:00,4935_9
2000-01-02 10:00:00,4927
2000-01-02 11:00:00,4918
2000-01-02 12:00:00,4909_1
2000-01-02 13:00:00,4900_2
2000-01-02 14:00:00,4891_3
2000-01-02 15:00:00,4882_4
2000-01-02 16:00:00,4873_4
2000-01-02 17:00:00,4864_5
2000-01-02 18:00:00,4855_6
2000-01-02 19:00:00,4846_7
2000-01-02 20:00:00,4837_8
2000-01-02 21:00:00,4828_8
2000-01-02 22:00:00,4819_9
2000-01-02 23:00:00,4811
2000-01-03 00:00:00,4802_1
2000-01-03 01:00:00,4799_7
2000-01-03 02:00:00,4797_2
2000-01-03 03:00:00,4794_8
2000-01-03 04:00:00,4792_4
2000-01-03 05:00:00,4790
2000-01-03 06:00:00,4787_5
2000-01-03 07:00:00,4785_1
2000-01-03 08:00:00,4782_7
2000-01-03 09:00:00,4780_3
2000-01-03 10:00:00,4777_8
2000-01-03 11:00:00,4775_4
2000-01-03 12:00:00,4773
2000-01-03 13:00:00,4770_6
2000-01-03 14:00:00,4768_2
2000-01-03 15:00:00,4765_7
2000-01-03 16:00:00,4763_3
2000-01-03 17:00:00,4760_9
2000-01-03 18:00:00,4758_5
2000-01-03 19:00:00,4756
2000-01-03 20:00:00,4753_6
2000-01-03 21:00:00,4751_2
2000-01-03 22:00:00,4748_8
2000-01-03 23:00:00,4746_3
2000-01-04 00:00:00,4743_9
2000-01-04 01:00:00,4758_7
2000-01-04 02:00:00,4773_5
2000-01-04 03:00:00,4788_3
2000-01-04 04:00:00,4803_2
2000-01-04 05:00:00,4818
2000-01-04 06:00:00,4832_8
2000-01-04 07:00:00,4847_6
2000-01-04 08:00:00,4862_4
2000-01-04 09:00:00,4877_2
2000-01-04 10:00:00,4892
2000-01-04 11:00:00,4906_8
2000-01-04 12:00:00,4921_7
2000-01-04 13:00:00,4936_5
2000-01-04 14:00:00,4951_3
2000-01-04 15:00:00,4966_1
2000-01-04 16:00:00,4980_9
2000-01-04 17:00:00,4995_7
2000-01-04 18:00:00,5010_5
2000-01-04 19:00:00,5025_3
2000-01-04 20:00:00,5040_1
2000-01-04 21:00:00,5055
2000-01-04 22:00:00,5069_8
2000-01-04 23:00:00,5084_6
2000-01-05 00:00:00,5099_4
2000-01-05 01:00:00,5103_6
2000-01-05 02:00:00,5107_9
2000-01-05 03:00:00,5112_1
2000-01-05 04:00:00,5116_4
2000-01-05 05:00:00,5120_6
2000-01-05 06:00:00,5124_9
2000-01-05 07:00:00,5129_1
2000-01-05 08:00:00,5133_4
2000-01-05 09:00:00,5137_6
2000-01-05 10:00:00,5141_8
2000-01-05 11:00:00,5146_1
2000-01-05 12:00:00,5150_3
2000-01-05 13:00:00,5154_6
2000-01-05 14:00:00,5158_8
2000-01-05 15:00:00,5163_1
2000-01-05 16:00:00,5167_3
2000-01-05 17:00:00,5171_6
2000-01-05 18:00:00,5175_8
2000-01-05 19:00:00,5180
2000-01-05 20:00:00,5184_3
2000-01-05 21:00:00,5188_5
2000-01-05 22:00:00,5192_8
2000-01-05 23:00:00,5197
2000-01-06 00:00:00,5201_3
2000-01-06 01:00:00,5219_6
2000-01-06 02:00:00,5237_9
2000-01-06 03:00:00,5256_2
2000-01-06 04:00:00,5274_5
2000-01-06 05:00:00,5292_9
2000-01-06 06:00:00,5311_2
2000-01-06 07:00:00,5329_5
2000-01-06 08:00:00,5347_8
2000-01-06 09:00:00,5366_1
2000-01-06 10:00:00,5384_5
2000-01-06 11:00:00,5402_8
2000-01-06 12:00:00,5421_1
2000-01-06 13:00:00,5439_4
2000-01-06 14:00:00,5457_7
2000-01-06 15:00:00,5476
2000-01-06 16:00:00,5494_4
2000-01-06 17:00:00,5512_7
2000-01-06 18:00:00,5531
2000-01-06 19:00:00,5549_3
2000-01-06 20:00:00,5567_6
2000-01-06 21:00:00,5586
2000-01-06 22:00:00,5604_3
2000-01-06 23:00:00,5622_6
2000-01-07 00:00:00,5640_9
2000-01-07 01:00:00,5674_4
2000-01-07 02:00:00,5708
2000-01-07 03:00:00,5741_5
2000-01-07 04:00:00,5775
2000-01-07 05:00:00,5808_6
2000-01-07 06:00:00,5842_1
2000-01-07 07:00:00,5875_6
2000-01-07 08:00:00,5909_2
2000-01-07 09:00:00,5942_7
2000-01-07 10:00:00,5976_2
2000-01-07 11:00:00,6009_7
2000-01-07 12:00:00,6043_3
2000-01-07 13:00:00,6076_8
2000-01-07 14:00:00,6110_3
2000-01-07 15:00:00,6143_9
2000-01-07 16:00:00,6177_4
2000-01-07 17:00:00,6210_9
2000-01-07 18:00:00,6244_4
2000-01-07 19:00:00,6278
2000-01-07 20:00:00,6311_5
2000-01-07 21:00:00,6345
2000-01-07 22:00:00,6378_6
2000-01-07 23:00:00,6412_1
2000-01-08 00:00:00,6445_6
2000-01-08 01:00:00,6488_9
2000-01-08 02:00:00,6532_1
2000-01-08 03:00:00,6575_4
2000-01-08 04:00:00,6618_7
2000-01-08 05:00:00,6661_9
2000-01-08 06:00:00,6705_2
2000-01-08 07:00:00,6748_5
2000-01-08 08:00:00,6791_7
2000-01-08 09:00:00,6835
2000-01-08 10:00:00,6878_3
2000-01-08 11:00:00,6921_5
2000-01-08 12:00:00,6964_8
2000-01-08 13:00:00,7008
2000-01-08 14:00:00,7051_3
2000-01-08 15:00:00,7094_6
2000-01-08 16:00:00,7137_8
2000-01-08 17:00:00,7181_1
2000-01-08 18:00:00,7224_4
2000-01-08 19:00:00,7267_6
2000-01-08 20:00:00,7310_9
2000-01-08 21:00:00,7354_2
2000-01-08 22:00:00,7397_4
2000-01-08 23:00:00,7440_7
2000-01-09 00:00:00,7483_9
2000-01-09 01:00:00,7543_4
2000-01-09 02:00:00,7602_8
2000-01-09 03:00:00,7662_2
2000-01-09 04:00:00,7721_6
2000-01-09 05:00:00,7781
2000-01-09 06:00:00,7840_5
2000-01-09 07:00:00,7899_9
2000-01-09 08:00:00,7959_3
2000-01-09 09:00:00,8018_7
2000-01-09 10:00:00,8078_1
2000-01-09 11:00:00,8137_6
2000-01-09 12:00:00,8197
2000-01-09 13:00:00,8256_4
2000-01-09 14:00:00,8315_8
2000-01-09 15:00:00,8375_3
2000-01-09 16:00:00,8434_7
