Time [yyyy-MM-dd HH:mm:ss],50848ObsUS: Discharge at (IJssel04_A_ 109_4015)_ Flow1D [m³/s]
1999-12-29 00:00:00,0
1999-12-29 01:00:00,584_74
1999-12-29 02:00:00,609_72
1999-12-29 03:00:00,625_65
1999-12-29 04:00:00,633_13
1999-12-29 05:00:00,636_15
1999-12-29 06:00:00,636_84
1999-12-29 07:00:00,635_81
1999-12-29 08:00:00,633_97
1999-12-29 09:00:00,632_14
1999-12-29 10:00:00,630_47
1999-12-29 11:00:00,628_66
1999-12-29 12:00:00,626_66
1999-12-29 13:00:00,625_15
1999-12-29 14:00:00,624_05
1999-12-29 15:00:00,623_34
1999-12-29 16:00:00,622_99
1999-12-29 17:00:00,622_94
1999-12-29 18:00:00,623_17
1999-12-29 19:00:00,623_62
1999-12-29 20:00:00,624_27
1999-12-29 21:00:00,625_07
1999-12-29 22:00:00,626_02
1999-12-29 23:00:00,627_07
1999-12-30 00:00:00,628_22
1999-12-30 01:00:00,629_45
1999-12-30 02:00:00,630_73
1999-12-30 03:00:00,632_05
1999-12-30 04:00:00,633_41
1999-12-30 05:00:00,634_79
1999-12-30 06:00:00,636_17
1999-12-30 07:00:00,637_57
1999-12-30 08:00:00,638_95
1999-12-30 09:00:00,640_33
1999-12-30 10:00:00,641_7
1999-12-30 11:00:00,643_04
1999-12-30 12:00:00,644_35
1999-12-30 13:00:00,645_64
1999-12-30 14:00:00,646_9
1999-12-30 15:00:00,648_14
1999-12-30 16:00:00,649_34
1999-12-30 17:00:00,650_51
1999-12-30 18:00:00,651_64
1999-12-30 19:00:00,652_74
1999-12-30 20:00:00,653_81
1999-12-30 21:00:00,654_84
1999-12-30 22:00:00,655_85
1999-12-30 23:00:00,656_81
1999-12-31 00:00:00,657_75
1999-12-31 01:00:00,658_65
1999-12-31 02:00:00,659_52
1999-12-31 03:00:00,660_36
1999-12-31 04:00:00,661_15
1999-12-31 05:00:00,661_91
1999-12-31 06:00:00,662_64
1999-12-31 07:00:00,663_34
1999-12-31 08:00:00,664_02
1999-12-31 09:00:00,664_67
1999-12-31 10:00:00,665_29
1999-12-31 11:00:00,665_89
1999-12-31 12:00:00,666_47
1999-12-31 13:00:00,667_02
1999-12-31 14:00:00,667_55
1999-12-31 15:00:00,668_07
1999-12-31 16:00:00,668_56
1999-12-31 17:00:00,669_04
1999-12-31 18:00:00,669_5
1999-12-31 19:00:00,669_95
1999-12-31 20:00:00,670_37
1999-12-31 21:00:00,670_78
1999-12-31 22:00:00,671_17
1999-12-31 23:00:00,671_55
2000-01-01 00:00:00,671_92
2000-01-01 01:00:00,672_27
2000-01-01 02:00:00,672_6
2000-01-01 03:00:00,672_92
2000-01-01 04:00:00,673_23
2000-01-01 05:00:00,673_53
2000-01-01 06:00:00,673_83
2000-01-01 07:00:00,674_12
2000-01-01 08:00:00,674_41
2000-01-01 09:00:00,674_69
2000-01-01 10:00:00,674_97
2000-01-01 11:00:00,675_25
2000-01-01 12:00:00,675_54
2000-01-01 13:00:00,675_85
2000-01-01 14:00:00,676_17
2000-01-01 15:00:00,676_49
2000-01-01 16:00:00,676_81
2000-01-01 17:00:00,677_14
2000-01-01 18:00:00,677_48
2000-01-01 19:00:00,677_82
2000-01-01 20:00:00,678_18
2000-01-01 21:00:00,678_54
2000-01-01 22:00:00,678_91
2000-01-01 23:00:00,679_29
2000-01-02 00:00:00,679_68
2000-01-02 01:00:00,680_08
2000-01-02 02:00:00,680_49
2000-01-02 03:00:00,680_9
2000-01-02 04:00:00,681_33
2000-01-02 05:00:00,681_75
2000-01-02 06:00:00,682_18
2000-01-02 07:00:00,682_6
2000-01-02 08:00:00,683_02
2000-01-02 09:00:00,683_42
2000-01-02 10:00:00,683_81
2000-01-02 11:00:00,684_17
2000-01-02 12:00:00,684_51
2000-01-02 13:00:00,684_82
2000-01-02 14:00:00,685_1
